recno,EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Kmag,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,Mass_calc,Mass,Mass_e
186,203863529,16 02 14.88,-24 38 32.9,,11.15,,6.12,0.35,5.369359821608809,5.77,0.2543,0.3215,,,"USco,silver",no,Simbad,1,0.2527112092821987,0.257,0.0570870217639209
188,204271115,16 02 23.56,-22 59 33.5,,11.03,,6.38,0.28,5.269359821608809,6.1,1.0184,,,,"USco,gold",no,Simbad,1,0.27088066859230364,0.177,0.0570870217639209
190,203629401,16 02 24.41,-25 29 12.5,,12.47,,6.43,0.28,6.699359821608809,6.15,0.4951,,,,"USco,bronze",no,Simbad,1,,0.169,0.0
192,204417649,16 02 25.97,-22 24 57.7,,11.65,,6.18,0.23,5.889359821608808,5.96,1.435,,,,"USco,bronze",no,Simbad,1,0.16790007357237446,0.206,0.0570870217639209
194,204518814,16 02 34.17,-22 00 35.7,,11.75,,7.24,0.86,5.90935982160881,6.38,0.4513,,,,"USco,bronze",no,Simbad,1,0.16578018324641983,0.134,0.0570870217639209
197,204317053,16 02 41.41,-22 48 42.1,,11.99,,7.14,1.06,6.1293598216088085,6.08,1.5945,,,,"USco,gold",yes,Simbad,1,0.14275586576539628,0.181,0.0570870217639209
200,205078547,16 02 45.44,-19 30 38.1,,11.14,,6.44,0.52,5.339359821608809,5.93,0.7863,,,,"USco,gold",no,Simbad,1,0.25841839665215943,0.212,0.0570870217639209
201,204248645,16 02 45.73,-23 04 51.3,,11.5,,6.51,0.5,5.709359821608809,6.01,0.2621,0.3861,,,"USco,silver",yes,Simbad,1,0.19288391908465927,0.193,0.0570870217639209
204,203846183,16 02 57.42,-24 42 41.8,,11.4,,5.89,0.23,5.639359821608808,5.65,1.575,,,,"USco,bronze",no,Simbad,1,0.2036469540809347,0.29,0.0570870217639209
207,204489514,16 03 01.60,-22 07 52.7,,11.73,,6.91,0.62,5.9193598216088095,6.29,1.7049,,,,"USco,gold",yes,Simbad,1,0.1648600775502887,0.147,0.0570870217639209
210,203348744,16 03 02.35,-26 26 16.6,,12.15,,6.93,1.21,6.269359821608809,5.72,4.1674,,,,"USco,bronze",,Simbad,1,0.12845182241660094,0.27,0.0570870217639209
211,204376053,16 03 14.89,-22 34 45.9,,10.7,,6.46,0.41,4.9193598216088095,6.05,1.5654,2.0296,,,"USco,gold",no,Simbad,1,0.3464779831294942,0.186,0.0570870217639209
212,204360645,16 03 22.76,-22 38 21.0,,11.17,,6.16,0.4,5.389359821608808,5.76,1.9005,,,,"USco,bronze",yes,Simbad,1,0.24931055296733026,0.257,0.0570870217639209
215,204852633,16 03 24.35,-20 34 13.2,,12.34,,7.13,0.69,6.519359821608809,6.43,0.3454,,,,"USco,bronze",no,Simbad,1,0.10768430878097121,0.127,0.0570870217639209
216,203341895,16 03 25.98,-26 27 32.2,,10.77,,5.88,0.22,5.009359821608809,5.65,0.8336,,,,"USco,gold",no,Simbad,1,0.32472204667197285,0.289,0.0570870217639209
217,204538777,16 03 26.25,-21 55 38.1,,11.6,,6.52,0.91,5.7493598216088095,5.61,1.4806,,,,"USco,gold",yes,Simbad,1,0.1871313334434727,0.303,0.0570870217639209
219,205200173,16 03 28.71,-18 53 51.9,,10.12,,5.88,0.25,4.359359821608809,5.63,7.5153,,,,"USco,bronze",no,Simbad,1,0.5041819536051769,0.297,0.0570870217639209
220,204993463,16 03 29.40,-19 55 03.9,,11.03,,5.9,0.34,5.259359821608809,5.56,0.8547,1.1069,,,"USco,gold",no,Simbad,1,0.27283115874436786,0.32,0.0570870217639209
235,204599787,16 03 51.75,-21 40 15.7,,10.55,,6.56,0.54,4.7493598216088095,6.02,1.0318,0.8194,0.6002,,"USco,silver",no,Simbad,1,0.3879499083057346,0.191,0.0570870217639209
236,203723257,16 03 54.03,-25 09 39.7,,11.38,,5.85,0.0,5.64935982160881,5.85,1.461,,,,"USco,gold",maybe,Simbad,1,0.20197998853367516,0.233,0.0570870217639209
244,204376071,16 04 10.11,-22 34 45.7,,11.55,,6.38,0.19,5.7993598216088085,6.19,1.6268,,,,"USco,bronze",no,Simbad,1,0.18000220885782567,0.161,0.0570870217639209
245,203920102,16 04 14.73,-24 24 43.6,,11.68,,6.13,0.17,5.929359821608809,5.96,1.6063,,,,"USco,bronze",no,Simbad,1,0.16367228743275036,0.204,0.0570870217639209
265,204871862,16 07 01.69,-20 28 58.2,,12.32,,7.01,0.7,6.4993598216088095,6.31,1.6489,,,,"USco,gold",yes,Simbad,1,0.1092979882170203,0.144,0.0570870217639209
269,204919503,16 07 04.73,-20 15 56.0,,11.46,,6.18,0.52,5.65935982160881,5.65,3.1147,,,,"USco,gold",no,Simbad,1,0.20023793874144466,0.29,0.0570870217639209
281,204933717,16 07 22.39,-20 11 58.5,,11.59,,6.75,1.14,5.709359821608809,5.61,1.5522,,,,"USco,gold",yes,Simbad,1,0.19288391908465927,0.304,0.0570870217639209
285,204583750,16 07 26.41,-21 44 16.9,,13.68,,7.07,0.62,7.869359821608809,6.44,1.5372,,,,"USco,silver",no,Simbad,1,,0.125,0.0
286,204757338,16 07 27.46,-20 59 44.4,,10.22,,6.48,0.73,4.39935982160881,5.75,2.2977,1.0586,,,"USco,silver",yes,Simbad,1,0.4913033745615495,0.261,0.0570870217639209
287,204909952,16 07 27.53,-20 18 34.8,,11.44,,7.09,1.07,5.56935982160881,6.02,0.6305,0.5628,,,"USco,gold",no,Simbad,1,0.21649942220986892,0.191,0.0570870217639209
290,204878461,16 07 35.55,-20 27 13.7,,11.96,,6.32,0.5,6.1693598216088095,5.82,1.8261,,,,"USco,gold",no,Simbad,1,0.13845582897779826,0.241,0.0570870217639209
292,205063210,16 07 39.15,-19 35 04.3,,11.31,,6.51,0.45,5.519359821608809,6.07,2.4332,,,,"USco,bronze",yes,Simbad,1,0.22558637458408237,0.183,0.0570870217639209
296,204426231,16 07 45.21,-22 22 57.7,,11.52,,6.38,0.4,5.73935982160881,5.98,2.2514,2.0986,,,"USco,gold",no,Simbad,1,0.18856082794415036,0.201,0.0570870217639209
297,203753432,16 07 48.61,-25 03 14.3,,11.43,,5.62,0.0,5.699359821608809,5.62,1.1744,,,,"USco,bronze",no,Simbad,1,0.1943549157196813,0.3,0.0570870217639209
300,203843009,16 07 55.65,-24 43 27.1,,12.71,,6.94,1.33,6.809359821608808,5.61,1.351,,,,"USco,gold",yes,Simbad,1,,0.304,0.0
301,204830256,16 07 57.12,-20 40 17.7,,11.65,,6.63,0.66,5.82935982160881,5.98,3.65,,,,"USco,bronze",no,Simbad,1,0.17581959672410555,0.201,0.0570870217639209
306,204829482,16 08 00.50,-20 40 29.1,,11.33,,6.43,0.71,5.509359821608809,5.72,1.9464,2.5668,,,"USco,gold",no,Simbad,1,0.2273419651006206,0.27,0.0570870217639209
309,204273100,16 08 02.17,-22 59 05.9,,11.26,,6.44,0.38,5.47935982160881,6.06,0.5122,,,,"USco,gold",no,Simbad,1,0.23273138309008487,0.184,0.0570870217639209
310,204895410,16 08 02.37,-20 22 34.0,,10.62,,6.54,0.48,4.82935982160881,6.06,2.1105,2.4133,,,"USco,gold",no,Simbad,1,0.36850778468172707,0.184,0.0570870217639209
315,203844446,16 08 06.10,-24 43 05.9,,11.53,,5.98,0.0,5.7993598216088085,5.98,1.2936,0.8414,,,"USco,bronze",no,Simbad,1,0.18000220885782567,0.201,0.0570870217639209
318,204397408,16 08 10.80,-22 29 43.1,,11.68,,6.66,0.35,5.89935982160881,6.31,1.6454,,,,"USco,gold",yes,Simbad,1,0.16697786599539627,0.143,0.0570870217639209
327,204634894,16 08 20.77,-21 31 23.7,,10.83,,5.79,0.23,5.06935982160881,5.57,1.9677,,,,"USco,gold",no,Simbad,1,0.31007550544637097,0.318,0.0570870217639209
328,204451272,16 08 22.28,-22 17 03.2,,12.03,,6.72,0.6,6.219359821608808,6.12,0.9726,,,,"USco,gold",no,Simbad,1,0.1332145469251232,0.174,0.0570870217639209
337,204611292,16 08 28.68,-21 37 20.1,,10.76,,6.0,0.27,4.9993598216088095,5.74,1.7674,,,,"USco,gold",yes,Simbad,1,0.3268061969282156,0.265,0.0570870217639209
341,204472612,16 08 34.54,-22 11 56.1,,11.53,,6.49,0.71,5.709359821608809,5.78,1.9243,,,,"USco,gold",yes,Simbad,1,0.19288391908465927,0.253,0.0570870217639209
347,205192701,16 08 41.71,-18 56 10.7,,11.21,,6.93,0.72,5.389359821608808,6.21,2.1986,1.5705,,,"USco,gold",no,Simbad,1,0.24931055296733026,0.158,0.0570870217639209
348,205177770,16 08 43.07,-19 00 52.1,,10.27,,6.05,0.4,4.48935982160881,5.65,1.1423,0.9348,,,"USco,gold",no,Simbad,1,0.46408398352292374,0.29,0.0570870217639209
355,204094503,16 08 48.36,-23 41 21.1,,11.59,,6.41,0.57,5.789359821608809,5.84,1.6533,,,,"USco,gold",yes,Simbad,1,0.1814230838157134,0.236,0.0570870217639209
363,205152244,16 09 00.01,-19 08 37.1,,10.96,,6.29,0.67,5.139359821608808,5.62,1.8142,,,,"USco,gold",yes,Simbad,1,0.29469130392442533,0.3,0.0570870217639209
364,202957873,16 09 00.50,-27 45 19.7,,11.24,,6.13,0.05,5.509359821608809,6.08,0.7722,0.3686,,,"USco,gold",no,Simbad,1,0.2273419651006206,0.181,0.0570870217639209
368,202978875,16 09 01.67,-27 40 52.3,,11.95,,6.97,0.52,6.14935982160881,6.45,0.3057,,,,"USco,bronze",no,Simbad,1,0.14059934120516673,0.125,0.0570870217639209
377,204100531,16 09 07.75,-23 39 54.5,,11.13,,6.37,0.38,5.349359821608809,5.99,1.2548,,,,"USco,gold",no,Simbad,1,0.25651071134226694,0.196,0.0570870217639209
