recno,EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Teff,s_Teff,Mass,s_Mass,s_Lum,logL
789,202910245,16 18 09.10,-27 55 19.8,,11.4,,6.27,0.24,11.37,6.02,0.5882,,,,"USco,bronze",no,Simbad,1,0.999996,2944.0,157.0,0.543,0.021,0.00565,-1.6920762963881184
790,203097006,16 18 09.91,-27 16 11.8,,10.19,,5.6,0.48,10.13,5.11,19.5046,,,,"USco,bronze",maybe,Simbad,1,0.999019,3956.0,122.0,0.616,,,-0.5590122485238429
791,202569086,16 18 11.07,-29 11 12.6,10.46,8.38,2.08,2.08,0.95,8.26,1.14,1.1432,,,,"USco,gold",no,Simbad,1,0.999617,5288.0,122.3,0.908,0.116,0.05322,0.21385231375685534
792,202876718,16 18 16.16,-28 02 30.1,7.06,7.04,0.02,0.02,0.7,6.95,-0.68,,,,,"USco,gold",yes,Simbad,1,0.99966,10008.0,123.0,2.563,,,1.4833320650623498
793,203385048,16 18 16.17,-26 19 08.3,,10.94,,7.28,1.83,10.7,5.45,1.0777,1.3248,,,"USco,bronze",yes,Simbad,1,1.0,,,,,,
794,205272194,16 18 37.58,-18 31 06.7,,11.13,,6.69,0.49,11.07,6.19,0.3751,0.4368,,,"USco,bronze",no,Simbad,1,0.999999,2862.0,157.0,0.547,0.022,0.00535,-1.7347103741391698
795,205267399,16 18 41.87,-18 32 40.1,,10.08,,5.7,0.18,10.06,5.53,0.3311,0.3344,,,"USco,bronze",no,Simbad,1,0.999019,3145.0,157.0,0.629,0.021,0.00987,-1.4249276742861876
796,205264786,16 18 42.08,-18 33 29.3,,9.93,,4.72,0.0,9.93,4.71,5.3646,,,,"USco,bronze",no,Simbad,1,0.992964,3471.0,157.0,0.646,0.02,0.01442,-1.2245351906542608
797,203004488,16 18 44.30,-27 35 30.6,,12.24,,6.94,1.09,12.1,5.85,1.4538,,,,"USco,bronze",no,Simbad,1,0.999998,2938.0,157.0,0.406,0.022,0.00326,-1.9415739755429946
798,204862767,16 18 44.84,-20 31 27.9,,10.41,,5.92,0.4,10.36,5.52,1.0482,,,,"USco,bronze",no,Simbad,1,0.999591,3192.0,157.0,0.621,0.021,0.01,-1.4138629747692069
799,204608015,16 19 02.14,-21 38 09.9,,10.4,,5.51,0.7,10.31,4.81,8.8518,,,,"USco,gold",no,Simbad,1,0.996487,3213.0,157.0,0.619,0.02,0.01008,-1.4067139329795428
800,202552141,16 19 16.09,-29 15 12.6,,10.44,,5.27,0.04,10.43,5.23,1.8206,,,,"USco,gold",no,Simbad,1,0.996487,,,,,,
801,205004288,16 19 19.52,-19 51 58.7,,12.28,,6.7,1.83,12.05,4.87,,,,,"USco,bronze",no,Simbad,1,0.999999,3414.0,157.0,0.661,0.023,0.01549,-1.2265061077290293
802,204435866,16 19 23.92,-22 20 41.5,,11.9,,6.69,0.7,11.81,5.99,1.398,,,,"USco,bronze",yes,Simbad,1,0.999992,3085.0,159.0,0.384,0.021,0.00343,-1.8979094744881633
803,204662993,16 19 29.24,-21 24 13.2,9.11,7.8,1.31,1.31,0.32,7.76,0.99,1.6944,,,,"USco,gold",yes,Simbad,1,0.99885,6280.0,128.8,1.227,0.188,0.14223,0.5285284885550565
804,204402572,16 19 33.95,-22 28 29.3,11.31,8.51,2.8,2.8,0.48,8.45,2.32,4.0273,,,,"USco,gold",no,Simbad,1,0.999853,4629.0,172.3,0.734,0.09,0.07277,-0.17216566052810786
805,205008727,16 19 35.70,-19 50 42.6,,10.75,,9.25,1.65,10.54,7.6,,,,,"USco,bronze",yes,Simbad,1,0.999866,3611.0,158.0,0.555,0.024,0.01234,-1.3169529617611504
806,204454456,16 19 43.08,-22 16 17.8,,11.3,,5.7,0.27,11.26,5.43,3.1811,,,,"USco,silver",no,Simbad,1,0.999739,3132.0,157.0,0.488,0.021,0.00547,-1.6823544567788413
807,204569229,16 19 45.38,-21 47 57.7,,9.08,,4.38,0.16,9.06,4.22,22.9226,1.2634,,,"USco,gold",no,Simbad,2,1.0E-6,3694.0,123.5,0.546,0.09,0.03585,-0.6042019938366077
808,204508462,16 19 47.10,-22 03 11.4,,10.55,,5.89,0.36,10.5,5.53,1.5753,,,,"USco,gold",yes,Simbad,1,0.999772,3138.0,157.0,0.604,0.022,0.00907,-1.4741780478433373
809,204468718,16 19 48.36,-22 12 52.1,,10.32,,5.07,0.38,10.27,4.69,15.1305,,,,"USco,gold",no,Simbad,2,1.0E-6,3328.0,157.0,0.652,0.021,0.01299,-1.285921835018144
