recno,EPIC_1,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Ksmag0,Per1,Per2,Per3,Per4,Memb,Simbad_1,single,PSS,(V-Ks)0,P1,P2,Mass,Disk,_RA,_DE,Separation
194,204518814,16 02 34.17,-22 00 35.7,,11.75,,7.24,0.86,11.64,0.4513,,,,"USco,bronze",Simbad,1,0.999999,6.38,0.4513,,0.134,,240.64245,-22.00985,0.3467869646505502
197,204317053,16 02 41.41,-22 48 42.1,,11.99,,7.14,1.06,11.86,1.5945,,,,"USco,gold",Simbad,1,0.999998,6.08,1.5945,,0.181,Y,240.67262,-22.81164,0.3255555891727412
200,205078547,16 02 45.44,-19 30 38.1,,11.14,,6.44,0.52,11.07,0.7863,,,,"USco,gold",Simbad,1,0.999999,5.928,0.7863,,0.212,,240.68937,-19.5105,0.32477758191283884
201,204248645,16 02 45.73,-23 04 51.3,,11.5,,6.51,0.5,11.44,0.2621,0.3861,,,"USco,silver",Simbad,1,0.999999,6.013,0.2621,0.3861,0.193,Y,240.69063,-23.08081,0.48274062695644926
204,203846183,16 02 57.42,-24 42 41.8,,11.4,,5.89,0.23,11.37,1.575,,,,"USco,bronze",Simbad,1,0.999977,5.654,1.575,,0.29,,240.73932,-24.71157,0.2725979225154693
207,204489514,16 03 01.60,-22 07 52.7,,11.73,,6.91,0.62,11.65,1.7049,,,,"USco,gold",Simbad,1,0.999998,6.289,1.7049,,0.147,Y,240.75673,-22.13122,0.37345703197074415
210,203348744,16 03 02.35,-26 26 16.6,,12.15,,6.93,1.21,12.0,4.1674,,,,"USco,bronze",Simbad,1,0.999991,5.719,4.1674,,0.27,,240.75982,-26.43788,0.24933037987450596
211,204376053,16 03 14.89,-22 34 45.9,,10.7,,6.46,0.41,10.65,1.5654,2.0296,,,"USco,gold",Simbad,1,0.999997,6.051,1.5654,2.0296,0.186,,240.812,-22.57933,0.3413603379958551
212,204360645,16 03 22.76,-22 38 21.0,,11.17,,6.16,0.4,11.12,1.9005,,,,"USco,bronze",Simbad,1,0.999995,5.765,1.9005,,0.257,Y,240.84491,-22.63906,0.46080927043447095
215,204852633,16 03 24.35,-20 34 13.2,,12.34,,7.13,0.69,12.25,0.3454,,,,"USco,bronze",Simbad,1,0.999999,6.434,0.3454,,0.127,,240.85157,-20.57029,0.4074184008284992
216,203341895,16 03 25.98,-26 27 32.2,,10.77,,5.88,0.22,10.74,0.8336,,,,"USco,gold",Simbad,1,0.999893,5.655,0.8336,,0.289,,240.85824,-26.45894,0.03598218210206546
217,204538777,16 03 26.25,-21 55 38.1,,11.6,,6.52,0.91,11.48,1.4806,,,,"USco,gold",Simbad,1,0.999994,5.611,1.4806,,0.303,Y,240.85939,-21.92718,0.25693066625499805
219,205200173,16 03 28.71,-18 53 51.9,,10.12,,5.88,0.25,10.09,7.5153,,,,"USco,bronze",Simbad,1,0.996487,5.63,7.5153,,0.297,,240.86967,-18.8977,0.23641288610435351
220,204993463,16 03 29.40,-19 55 03.9,,11.03,,5.9,0.34,10.99,0.8547,1.1069,,,"USco,gold",Simbad,1,0.999948,5.562,0.8547,1.1069,0.32,,240.87256,-19.91768,0.3236437559871162
235,204599787,16 03 51.75,-21 40 15.7,,10.55,,6.56,0.54,10.48,1.0318,0.8194,0.6002,,"USco,silver",Simbad,1,0.999793,6.02,1.0318,0.8194,0.191,,240.96564,-21.67097,0.2139681272142643
236,203723257,16 03 54.03,-25 09 39.7,,11.38,,5.85,0.0,11.38,1.461,,,,"USco,gold",Simbad,1,0.999981,5.85,1.461,,0.233,,240.97519,-25.16094,0.38041307496641574
244,204376071,16 04 10.11,-22 34 45.7,,11.55,,6.38,0.19,11.53,1.6268,,,,"USco,bronze",Simbad,1,0.999998,6.187,1.6268,,0.161,,241.04218,-22.57927,0.3755106906503926
245,203920102,16 04 14.73,-24 24 43.6,,11.68,,6.13,0.17,11.66,1.6063,,,,"USco,bronze",Simbad,1,0.999995,5.962,1.6063,,0.204,,241.06142,-24.41205,0.2648795176964784
265,204871862,16 07 01.69,-20 28 58.2,,12.32,,7.01,0.7,12.23,1.6489,,,,"USco,gold",Simbad,1,0.999999,6.31,1.6489,,0.144,Y,241.75707,-20.48277,0.24721255504215192
269,204919503,16 07 04.73,-20 15 56.0,,11.46,,6.18,0.52,11.39,3.1147,,,,"USco,gold",Simbad,1,0.999988,5.653,3.1147,,0.29,,241.76976,-20.26549,0.2934985745759186
281,204933717,16 07 22.39,-20 11 58.5,,11.59,,6.75,1.14,11.44,1.5522,,,,"USco,gold",Simbad,1,0.999999,5.61,1.5522,,0.304,Y,241.84335,-20.19949,0.3895358144937844
285,204583750,16 07 26.41,-21 44 16.9,,13.68,,7.07,0.62,13.6,1.5372,,,,"USco,silver",Simbad,1,0.999999,6.445,1.5372,,0.125,,241.86008,-21.73804,0.13552767978429775
286,204757338,16 07 27.46,-20 59 44.4,,10.22,,6.48,0.73,10.13,2.2977,1.0586,,,"USco,silver",Simbad,1,0.999964,5.75,2.2977,1.0586,0.261,Y,241.86443,-20.99562,0.17387415001793913
287,204909952,16 07 27.53,-20 18 34.8,,11.44,,7.09,1.07,11.3,0.6305,0.5628,,,"USco,gold",Simbad,1,0.999999,6.022,0.6305,0.5628,0.191,,241.86477,-20.30957,0.40552506507012404
290,204878461,16 07 35.55,-20 27 13.7,,11.96,,6.32,0.5,11.9,1.8261,,,,"USco,gold",Simbad,1,0.999998,5.821,1.8261,,0.241,,241.89817,-20.45374,0.2805978931240317
292,205063210,16 07 39.15,-19 35 04.3,,11.31,,6.51,0.45,11.25,2.4332,,,,"USco,bronze",Simbad,1,0.999997,6.068,2.4332,,0.183,Y,241.91315,-19.58448,0.191765245371858
296,204426231,16 07 45.21,-22 22 57.7,,11.52,,6.38,0.4,11.47,2.2514,2.0986,,,"USco,gold",Simbad,1,0.999998,5.976,2.2514,2.0986,0.201,,241.93842,-22.38262,0.30702212126237294
297,203753432,16 07 48.61,-25 03 14.3,,11.43,,5.62,0.0,11.43,1.1744,,,,"USco,bronze",Simbad,1,0.999781,5.621,1.1744,,0.3,,241.95258,-25.05395,0.14842126977424333
300,203843009,16 07 55.65,-24 43 27.1,,12.71,,6.94,1.33,12.54,1.351,,,,"USco,gold",Simbad,1,0.999996,5.608,1.351,,0.304,Y,241.98197,-24.7241,0.4605465628915082
301,204830256,16 07 57.12,-20 40 17.7,,11.65,,6.63,0.66,11.56,3.65,,,,"USco,bronze",Simbad,1,0.999999,5.976,3.65,,0.201,,241.98806,-20.6715,0.3617207588427799
306,204829482,16 08 00.50,-20 40 29.1,,11.33,,6.43,0.71,11.24,1.9464,2.5668,,,"USco,gold",Simbad,1,0.999999,5.719,1.9464,2.5668,0.27,,242.00215,-20.6747,0.28778463077348615
309,204273100,16 08 02.17,-22 59 05.9,,11.26,,6.44,0.38,11.21,0.5122,,,,"USco,gold",Simbad,1,0.999998,6.06,0.5122,,0.184,,242.00907,-22.98494,0.1492433495518626
310,204895410,16 08 02.37,-20 22 34.0,,10.62,,6.54,0.48,10.56,2.1105,2.4133,,,"USco,gold",Simbad,1,0.999998,6.063,2.1105,2.4133,0.184,,242.0099,-20.37609,0.11355191137818367
315,203844446,16 08 06.10,-24 43 05.9,,11.53,,5.98,0.0,11.53,1.2936,0.8414,,,"USco,bronze",Simbad,1,0.999996,5.977,1.2936,0.8414,0.201,,242.02545,-24.71832,0.120772840042401
318,204397408,16 08 10.80,-22 29 43.1,,11.68,,6.66,0.35,11.63,1.6454,,,,"USco,gold",Simbad,1,0.999999,6.311,1.6454,,0.143,Y,242.04507,-22.49523,0.35803877293575614
327,204634894,16 08 20.77,-21 31 23.7,,10.83,,5.79,0.23,10.8,1.9677,,,,"USco,gold",Simbad,1,0.999881,5.566,1.9677,,0.318,,242.08654,-21.52318,0.2520618067361476
328,204451272,16 08 22.28,-22 17 03.2,,12.03,,6.72,0.6,11.95,0.9726,,,,"USco,gold",Simbad,1,0.999992,6.117,0.9726,,0.174,,242.09289,-22.28414,0.3510668075048063
337,204611292,16 08 28.68,-21 37 20.1,,10.76,,6.0,0.27,10.73,1.7674,,,,"USco,gold",Simbad,1,0.999987,5.736,1.7674,,0.265,Y,242.11955,-21.62215,0.39698953958099503
341,204472612,16 08 34.54,-22 11 56.1,,11.53,,6.49,0.71,11.44,1.9243,,,,"USco,gold",Simbad,1,0.999996,5.78,1.9243,,0.253,Y,242.14397,-22.19887,0.24459284255294542
347,205192701,16 08 41.71,-18 56 10.7,,11.21,,6.93,0.72,11.12,2.1986,1.5705,,,"USco,gold",Simbad,1,0.999999,6.205,2.1986,1.5705,0.158,,242.17379,-18.93632,0.052308783134561644
348,205177770,16 08 43.07,-19 00 52.1,,10.27,,6.05,0.4,10.22,1.1423,0.9348,,,"USco,gold",Simbad,1,0.995302,5.653,1.1423,0.9348,0.29,,242.17958,-19.01441,0.4708033438466805
355,204094503,16 08 48.36,-23 41 21.1,,11.59,,6.41,0.57,11.52,1.6533,,,,"USco,gold",Simbad,1,0.999998,5.841,1.6533,,0.236,Y,242.20154,-23.68914,0.23623025926504543
