   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
       40    0.55000  8.27352600000E+06   1.42390   4.26070  10.55664 -30.00000   0.49982   0.00000  0.00000E+00  8.35040E-01  1.58900E-01  5.81200E-03     0.03220     0.97760     0.00000     0.00060    -0.00916  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2200501479
       41    0.55000  8.57836600000E+06   1.42466   4.26039  10.55765 -30.00000   0.49982   0.00000  0.00000E+00  8.30900E-01  1.62700E-01  6.14100E-03     0.03190     0.97800     0.00000     0.00060    -0.00927  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2281579471
       42    0.55000  8.85851600000E+06   1.42537   4.26009  10.55860 -30.00000   0.49982   0.00000  0.00000E+00  8.26950E-01  1.66300E-01  6.45800E-03     0.03170     0.97810     0.00000     0.00060    -0.00912  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2356090688
       43    0.55000  9.12823600000E+06   1.42606   4.25982  10.55949 -30.00000   0.49982   0.00000  0.00000E+00  8.23630E-01  1.69300E-01  6.74600E-03     0.03140     0.97840     0.00000     0.00060    -0.00913  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2427827848
       44    0.55000  9.43689600000E+06   1.42681   4.25951  10.56048 -30.00000   0.49982   0.00000  0.00000E+00  8.19820E-01  1.72800E-01  7.08200E-03     0.03110     0.97860     0.00000     0.00060    -0.00911  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2509921841
       45    0.55000  9.74379600000E+06   1.42757   4.25919  10.56150 -30.00000   0.49982   0.00000  0.00000E+00  8.15530E-01  1.76700E-01  7.45200E-03     0.03080     0.97890     0.00000     0.00060    -0.00905  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2591547728
       46    0.55000  1.00145960000E+07   1.42826   4.25890  10.56242 -30.00000   0.49982   0.00000  0.00000E+00  8.11920E-01  1.80000E-01  7.77600E-03     0.03060     0.97930     0.00000     0.00060    -0.00923  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2663572135
       47    0.55000  1.02984360000E+07   1.42898   4.25862  10.56335 -30.00000   0.49982   0.00000  0.00000E+00  8.08510E-01  1.83100E-01  8.10200E-03     0.03030     0.97940     0.00000     0.00060    -0.00908  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2739064777
       48    0.55000  1.06126260000E+07   1.42977   4.25828  10.56441 -30.00000   0.49982   0.00000  0.00000E+00  8.04140E-01  1.87000E-01  8.50500E-03     0.03000     0.97960     0.00000     0.00060    -0.00901  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2822629579
       49    0.55000  1.08836660000E+07   1.43047   4.25800  10.56533 -30.00000   0.49982   0.00000  0.00000E+00  8.00560E-01  1.90300E-01  8.84900E-03     0.02980     0.98010     0.00000     0.00060    -0.00919  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2894717818
