recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,Mass,I07,single,PSS
113,1-4-891,07 56 46.88,-60 59 25.30,1.999,18.88,16.36,14.13,15,1.1,<,8.0,,-1.57,0.011,77,-1.58,0.41,0.45,-4.52,0.44,1,1,0.999019
114,1-4-917,07 56 47.21,-61 01 23.55,,18.69,16.27,14.07,21,0.64,<,8.0,,-1.54,,74,,0.39,0.48,-4.55,0.45,0,1,0.998613
115,1-5-1156,07 59 28.03,-61 26 01.00,0.895,19.48,16.76,14.35,13,1.73,,23.4,,-1.71,0.009,90,-2.0,0.17,0.07,-4.91,0.38,1,1,0.999726
116,1-5-121,07 58 52.91,-61 30 44.40,,18.88,16.47,14.22,10,24.24,,16.0,*,-1.63,,82,,0.0,-0.06,-6.65,0.42,0,1,0.999324
117,1-5-1336,07 59 35.64,-61 26 30.50,,19.4,16.73,14.36,15,13.85,<,8.0,*,-1.71,,90,,-0.03,-0.08,,0.39,0,1,0.997667
118,1-5-176,07 58 54.20,-61 30 33.74,,16.92,15.16,13.19,24,17.57,<,8.0,*,-1.18,,49,,0.13,0.09,-4.97,0.61,0,1,0.997298
119,1-5-2025,08 00 02.88,-61 25 58.51,,16.41,14.42,13.01,59,26.94,<,8.0,*,-0.83,,33,,-0.06,-0.06,,0.71,0,1,0.999989
120,1-5-2081,08 00 04.93,-61 25 49.01,,16.58,14.88,13.94,35,52.84,<,8.0,*,-1.06,,43,,0.01,0.02,-6.04,0.65,0,1,0.999994
121,1-5-230,07 58 56.29,-61 31 12.50,0.375,17.63,15.5,13.4,19,2.69,,53.0,,-1.25,0.025,53,-2.15,0.55,0.66,-4.38,0.56,1,1,0.997667
122,1-5-2323,08 00 14.23,-61 27 10.50,5.716,17.19,15.1,13.23,39,1.32,<,8.0,,-1.1,0.024,45,-0.89,0.45,0.53,-4.47,0.62,1,1,0.99885
