recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,Mass,I07,single,PSS
445,3-5-1009,07 54 10.61,-61 07 35.00,0.78,20.6,17.61,15.18,8,0.69,,10.7,,-2.01,0.026,127,-2.21,0.3,0.23,-4.71,0.25,1,1,0.99997
446,3-5-1035,07 54 11.48,-61 07 44.45,,19.42,16.67,14.11,16,1.03,,61.6,,-1.67,,86,,0.39,0.51,-4.56,0.4,0,1,0.999751
447,3-5-1300,07 54 20.18,-61 06 26.50,2.977,19.19,16.51,14.27,17,1.42,<,8.0,,-1.62,0.009,81,-1.44,0.34,0.37,-4.62,0.42,1,1,0.999591
448,3-5-1317,07 54 20.89,-61 06 12.23,,16.5,14.94,13.08,41,56.02,<,8.0,*,-1.08,,43,,-0.19,-0.18,,0.64,0,1,0.999996
449,3-5-1999,07 54 44.79,-61 07 55.22,,18.77,16.37,14.16,17,15.31,,8.8,*,-1.58,,78,,0.01,0.0,-6.0,0.44,0,1,0.999887
450,3-5-2009,07 54 45.90,-61 09 55.10,,20.85,17.96,15.08,7,30.32,<,8.0,*,-2.17,,153,,0.01,-0.03,-6.39,0.21,0,1,0.999978
451,3-5-2482,07 55 02.38,-61 10 37.60,2.911,18.19,15.75,13.5,29,1.02,,8.9,,-1.33,0.011,58,-1.3,0.5,0.53,-4.43,0.53,1,1,0.996487
452,3-5-2531,07 55 03.96,-61 05 52.93,,16.42,14.29,12.42,64,59.58,<,8.0,*,-0.77,,31,,-0.02,-0.02,,0.73,0,1,0.999324
453,3-5-2593,07 55 06.68,-61 07 13.30,6.372,18.22,15.91,13.74,26,0.87,<,8.0,,-1.41,0.005,64,-1.0,0.18,0.2,-4.88,0.5,1,1,0.997667
454,3-5-2773,07 55 12.88,-61 09 39.97,,19.61,16.9,14.82,15,16.82,<,8.0,*,-1.77,,96,,0.03,-0.01,-5.69,0.36,0,1,0.999697
455,3-5-2861,07 55 16.41,-61 13 37.10,8.634,17.46,15.38,13.43,37,0.49,<,8.0,,-1.21,0.012,51,-0.77,0.34,0.42,-4.59,0.58,1,1,0.999712
456,3-5-2879,07 55 17.64,-61 14 18.52,,20.7,17.65,15.2,10,0.51,,19.0,,-2.02,,128,,0.2,0.21,-4.88,0.25,0,1,0.999994
457,3-5-3013,07 55 22.13,-61 09 23.15,,15.77,14.48,12.78,61,1.24,<,8.0,,-0.87,,34,,0.18,0.25,-4.86,0.7,0,1,0.999739
458,3-5-3184,07 55 28.15,-61 10 29.50,3.537,18.7,16.18,13.95,25,0.16,<,8.0,,-1.5,0.007,71,-1.3,0.47,0.5,-4.46,0.47,1,1,0.999019
459,3-5-3200,07 55 28.89,-61 13 34.90,4.968,18.78,16.26,14.07,24,1.39,<,8.0,,-1.53,0.006,73,-1.17,0.5,0.52,-4.44,0.46,1,1,0.999146
460,3-5-3259,07 55 31.05,-61 10 42.70,,18.63,16.13,13.81,24,0.12,,11.2,,-1.48,,69,,0.48,0.5,-4.45,0.47,0,1,0.992964
461,3-5-3333,07 55 34.53,-61 10 01.51,,19.6,16.69,14.26,19,22.12,<,8.0,*,-1.66,,85,,0.06,-0.05,-5.42,0.39,0,1,0.99987
462,3-5-3341,07 55 34.48,-61 11 52.87,,16.66,14.93,12.96,49,1.27,<,8.0,,-1.08,,44,,0.29,0.35,-4.61,0.64,0,1,0.999527
463,3-5-3354,07 55 35.48,-61 06 49.04,,21.85,18.38,15.33,5,0.62,,52.2,,-2.25,,168,,0.11,0.13,-5.18,0.17,0,1,0.999991
464,3-5-3418,07 55 38.45,-61 13 47.51,,21.08,18.05,15.44,6,30.38,,23.1,*,-2.18,,155,,-0.14,-0.01,,0.2,0,1,0.999965
465,3-5-366,07 53 46.86,-61 13 50.02,,20.82,17.61,14.85,7,2.01,,36.8,,-1.98,,123,,0.17,0.31,-4.97,0.25,0,1,0.999993
466,3-5-3702,07 55 47.46,-61 07 25.88,,20.19,17.03,14.43,15,18.38,,10.9,*,-1.75,,95,,1.24,1.47,-4.11,0.34,0,1,0.999979
467,3-5-3764,07 55 51.98,-61 13 21.10,1.216,16.83,15.07,13.04,39,0.39,,24.0,,-1.14,0.049,47,-1.58,0.53,0.64,-4.35,0.62,1,1,0.999245
468,3-5-399,07 53 47.82,-61 11 59.85,,20.01,17.08,14.53,11,50.54,<,8.0,*,-1.81,,101,,-0.01,-0.06,,0.33,0,2,
469,3-5-3994,07 56 01.95,-61 09 02.24,,18.29,15.73,13.51,33,0.15,,27.7,,-1.32,,57,,0.46,0.53,-4.48,0.53,0,1,0.997667
470,3-5-453,07 53 49.50,-61 11 39.42,,16.19,14.64,12.59,43,1.65,,49.4,,-0.96,,38,,0.54,0.67,-4.36,0.68,0,1,0.999488
471,3-5-454,07 53 49.61,-61 10 45.42,,20.63,17.62,15.07,7,0.23,,24.7,,-2.01,,127,,0.21,0.21,-4.85,0.25,0,1,0.999966
472,3-5-517,07 53 52.06,-61 11 47.20,,18.21,15.57,13.19,29,2.12,,19.3,*,-1.25,,53,,0.41,0.42,-4.53,0.55,0,2,1.0E-6
473,3-5-679,07 53 57.06,-61 06 13.50,1.747,19.03,16.37,14.02,18,1.18,,13.0,,-1.56,0.023,76,-1.64,0.56,0.5,-4.4,0.44,1,1,0.998613
474,3-5-767,07 54 00.76,-61 06 26.40,1.685,19.07,16.46,14.08,17,1.9,,17.3,,-1.61,0.016,80,-1.68,0.34,0.39,-4.61,0.43,1,1,0.998613
475,3-5-778,07 54 01.53,-61 08 36.04,,20.35,17.41,15.01,7,3.82,,41.8,,-1.94,,117,,0.41,0.32,-4.57,0.28,0,1,0.999896
476,3-5-854,07 54 04.22,-61 10 10.84,,18.72,16.26,14.04,21,0.8,<,8.0,,-1.53,,74,,0.22,0.21,-4.8,0.46,0,1,0.999442
477,3-5-998,07 54 09.43,-61 07 55.50,,16.06,14.63,12.84,49,0.64,<,8.0,,-0.94,,37,,0.15,0.22,-4.93,0.68,0,1,0.999853
478,3-6-1162,07 54 12.66,-61 01 53.10,0.282,20.52,17.56,15.14,8,0.09,,52.3,,-1.99,0.021,125,-2.65,0.14,0.26,-5.04,0.26,1,1,0.999924
479,3-6-1200,07 54 13.25,-60 57 12.10,5.808,18.24,15.89,13.6,26,0.78,<,8.0,,-1.39,0.009,63,-1.03,0.44,0.49,-4.49,0.51,1,1,0.99885
480,3-6-1277,07 54 16.55,-60 59 51.74,,19.01,16.44,14.12,16,0.84,,28.4,,-1.6,,80,,0.48,0.5,-4.46,0.43,0,1,0.998613
481,3-6-1367,07 54 19.25,-60 57 13.38,,18.54,16.22,13.82,21,14.46,<,8.0,*,-1.53,,73,,0.04,0.01,-5.55,0.46,0,1,0.910599
482,3-6-1424,07 54 21.18,-60 58 13.10,0.418,18.18,15.86,13.6,26,0.52,,34.4,,-1.39,0.016,62,-2.17,0.64,0.69,-4.32,0.51,1,1,0.998613
483,3-6-2189,07 54 47.52,-60 57 59.00,1.915,16.94,14.97,12.9,41,1.05,,16.5,,-1.05,0.028,42,-1.34,0.47,0.56,-4.44,0.64,1,1,0.998613
484,3-6-2424,07 54 56.36,-61 05 11.70,0.491,18.54,16.07,13.7,26,0.74,,31.4,,-1.46,0.016,67,-2.14,0.44,0.55,-4.49,0.48,1,1,0.996487
485,3-6-2510,07 54 59.53,-61 04 22.70,3.066,18.11,15.7,13.35,33,0.83,<,8.0,,-1.31,0.009,57,-1.27,0.51,0.56,-4.43,0.53,1,1,0.992964
486,3-6-2534,07 55 00.67,-60 59 52.70,0.893,20.37,17.43,14.94,7,3.21,<,8.0,*,-1.94,0.017,118,-2.12,0.37,0.17,-4.61,0.28,1,1,0.999962
487,3-6-257,07 53 39.51,-60 57 04.40,1.638,19.98,17.18,14.62,9,1.36,,9.1,,-1.87,0.015,108,-1.82,0.2,0.43,-4.85,0.32,1,1,0.999798
488,3-6-2616,07 55 03.41,-60 59 30.98,,20.34,17.3,14.85,9,3.71,,42.7,,-1.88,,109,,0.14,0.38,-5.05,0.3,0,1,0.999949
489,3-6-2656,07 55 05.03,-60 59 30.70,0.777,15.9,14.52,12.55,53,58.71,,39.8,*,-0.9,0.015,35,-1.66,0.49,0.67,-4.42,0.7,1,1,0.999591
490,3-6-2779,07 55 09.57,-60 57 02.30,11.522,16.35,14.8,13.04,42,29.5,<,8.0,*,-1.02,0.012,41,-0.55,0.07,0.12,-5.28,0.66,1,1,0.999908
491,3-6-3057,07 55 18.64,-60 56 50.20,2.155,19.54,16.83,14.55,11,1.11,,14.6,,-1.74,0.01,93,-1.64,0.41,0.39,-4.53,0.37,1,1,0.999146
492,3-6-3232,07 55 24.03,-61 01 45.20,0.409,16.02,14.52,12.75,49,1.37,,68.1,,-0.91,0.023,36,-1.94,0.55,0.74,-4.36,0.7,1,1,0.999389
493,3-6-3289,07 55 26.56,-61 04 09.70,,20.21,17.23,14.73,11,3.93,<,8.0,*,-1.86,,107,,0.12,0.02,-5.11,0.31,0,1,0.999934
494,3-6-3363,07 55 28.97,-61 04 40.40,5.126,17.82,15.62,13.47,34,0.4,<,8.0,,-1.3,0.013,56,-1.04,0.43,0.49,-4.49,0.55,1,1,0.998258
495,3-6-3495,07 55 34.00,-61 02 41.77,,20.76,17.66,14.95,9,2.51,,21.7,,-2.01,,128,,0.31,0.33,-4.7,0.25,0,1,0.999955
496,3-6-3532,07 55 34.89,-60 58 27.00,0.384,19.42,16.73,14.41,12,3.82,,44.9,,-1.7,0.016,89,-2.37,0.3,0.26,-4.66,0.39,1,1,0.99968
497,3-6-3671,07 55 40.01,-61 01 15.90,2.8,17.78,15.57,13.39,29,0.45,<,8.0,,-1.28,0.013,55,-1.29,0.5,0.58,-4.42,0.55,1,1,0.998613
498,3-6-3688,07 55 40.27,-60 59 34.02,,16.73,14.69,12.71,47,12.64,,9.7,*,-0.93,,37,,-0.01,-0.03,,0.67,0,1,0.998613
499,3-6-3743,07 55 42.29,-61 04 07.10,3.619,19.38,16.68,14.36,17,0.65,<,8.0,,-1.68,0.01,87,-1.38,0.31,0.34,-4.65,0.39,1,1,0.998613
500,3-6-3858,07 55 46.56,-60 59 40.60,14.453,17.96,15.75,13.63,28,19.69,,60.7,*,-1.35,0.005,59,-0.61,0.28,0.3,-4.67,0.53,1,1,0.99885
501,3-6-3868,07 55 46.34,-60 56 23.69,,17.97,15.64,13.23,24,21.31,<,8.0,*,-1.3,,56,,0.0,0.01,,0.54,0,1,0.999593
502,3-6-3886,07 55 47.75,-61 00 49.00,0.596,19.55,16.83,14.35,12,1.53,,37.8,,-1.74,0.015,93,-2.19,0.34,0.27,-4.62,0.37,1,1,0.999843
503,3-6-3905,07 55 49.00,-61 04 55.69,,19.65,16.76,14.15,16,0.26,,17.8,,-1.69,,88,,0.37,0.31,-4.61,0.38,0,1,0.999245
504,3-6-3999,07 55 51.41,-60 58 01.47,,16.67,14.89,12.84,39,1.32,,54.0,,-1.06,,43,,0.53,0.7,-4.35,0.65,0,1,0.998613
505,3-6-4112,07 55 55.53,-60 59 07.14,,17.51,15.39,13.31,27,13.31,,11.7,*,-1.21,,51,,0.13,0.21,-5.01,0.58,0,1,0.998613
506,3-6-4167,07 55 57.00,-61 00 47.20,1.546,18.98,16.36,14.08,20,0.74,,13.3,,-1.56,0.011,76,-1.69,0.44,0.53,-4.5,0.44,1,1,0.999324
507,3-6-4281,07 56 01.35,-60 57 44.12,,18.97,16.42,15.24,9,18.59,<,8.0,*,-1.59,,79,,-0.06,-0.11,,0.43,0,1,0.999998
508,3-6-441,07 53 46.67,-60 58 45.44,,20.21,16.93,13.96,15,15.6,<,8.0,*,-1.7,,89,,0.15,0.06,-5.03,0.36,0,1,0.999996
509,3-6-747,07 53 56.83,-61 00 39.97,,20.97,17.98,15.5,6,0.88,,14.8,,-2.16,,151,,0.17,0.15,-4.95,0.21,0,1,0.999985
510,3-7-1020,07 54 06.39,-60 48 39.10,0.458,21.09,18.05,15.44,6,2.96,,43.3,,-2.18,0.033,155,-2.53,0.28,0.06,-4.74,0.2,1,1,0.999976
511,3-7-1072,07 54 08.10,-60 49 37.33,,19.24,16.32,13.77,23,0.16,,22.9,,-1.5,,71,,0.23,0.29,-4.82,0.45,0,1,0.99964
512,3-7-1106,07 54 09.71,-60 55 22.86,,21.55,18.23,15.01,6,0.01,,24.4,,-2.21,,161,,0.11,0.29,-5.18,0.19,0,1,0.999989
513,3-7-1115,07 54 09.84,-60 53 14.21,,18.42,15.89,13.57,26,6.02,<,8.0,*,-1.38,,62,,0.0,-0.05,,0.51,0,1,0.997667
514,3-7-1127,07 54 10.28,-60 50 05.31,,20.79,17.62,14.85,8,1.99,,21.6,,-1.99,,124,,0.19,0.11,-4.92,0.25,0,1,0.999992
515,3-7-1245,07 54 14.03,-60 50 12.00,0.266,19.57,16.84,14.43,16,3.56,,93.5,,-1.74,0.009,93,-2.55,0.5,0.52,-4.45,0.37,1,1,0.99885
516,3-7-1308,07 54 16.38,-60 53 41.90,0.872,20.1,17.22,14.66,12,1.24,,26.6,,-1.87,0.023,108,-2.09,0.28,0.28,-4.72,0.31,1,1,0.999591
517,3-7-1402,07 54 18.83,-60 50 56.30,2.546,18.3,15.92,13.65,26,0.16,,8.9,,-1.4,0.013,63,-1.4,0.56,0.58,-4.38,0.5,1,1,0.992964
518,3-7-1435,07 54 19.67,-60 48 16.72,,17.6,15.6,13.58,31,14.42,<,8.0,*,-1.3,,56,,0.15,0.19,-4.93,0.55,0,1,0.999751
519,3-7-1875,07 54 34.28,-60 52 13.08,,19.08,16.53,14.26,19,31.08,<,8.0,*,-1.64,,83,,-0.01,-0.02,,0.42,0,1,0.999442
520,3-7-1913,07 54 35.54,-60 49 55.40,0.965,18.96,16.39,14.06,20,1.56,,26.1,,-1.58,0.007,77,-1.9,0.39,0.48,-4.55,0.44,1,1,0.999245
521,3-7-1981,07 54 35.32,-60 53 00.96,,18.15,15.82,13.75,28,3.75,<,8.0,*,-1.37,,61,,0.02,0.04,-5.92,0.52,0,2,1.0E-6
522,3-7-1991,07 54 37.79,-60 48 34.80,,20.25,17.08,14.61,14,29.25,,36.7,*,-1.77,,97,,0.38,0.22,-4.62,0.33,0,1,0.999971
523,3-7-2024,07 54 39.19,-60 50 58.00,0.584,20.49,17.56,14.84,9,1.61,,28.3,,-2.0,0.025,125,-2.33,0.24,0.24,-4.79,0.26,1,1,0.999968
524,3-7-2046,07 54 39.92,-60 50 32.10,0.397,20.79,17.71,15.15,8,0.08,,30.8,,-2.04,0.025,132,-2.52,0.26,0.28,-4.78,0.24,1,1,0.999974
525,3-7-2194,07 54 45.15,-60 54 36.00,0.498,20.03,17.03,14.51,13,0.44,,30.4,,-1.78,0.019,97,-2.29,0.23,0.32,-4.82,0.34,1,1,0.99995
526,3-7-2200,07 54 44.21,-60 49 47.30,3.711,17.91,15.62,13.58,30,0.55,<,8.0,,-1.29,0.008,56,-1.18,0.45,0.49,-4.47,0.55,1,1,0.999146
527,3-7-2433,07 54 51.87,-60 49 43.60,0.605,19.62,16.95,14.56,13,2.47,,32.9,,-1.79,0.01,99,-2.21,0.31,0.4,-4.66,0.35,1,1,0.999527
528,3-7-2472,07 54 53.66,-60 54 33.90,0.486,19.23,16.6,14.34,15,1.52,,24.4,,-1.66,0.008,85,-2.24,0.34,0.36,-4.61,0.41,1,1,0.997667
529,3-7-2519,07 54 54.67,-60 49 51.50,0.226,17.51,15.33,13.28,32,6.28,,77.3,*,-1.18,0.007,49,-2.34,0.54,0.71,-4.39,0.59,1,1,0.996487
530,3-7-2978,07 55 10.63,-60 50 20.22,,19.72,16.78,14.31,13,0.9,,50.6,,-1.69,,88,,0.33,0.38,-4.66,0.38,0,1,0.999389
531,3-7-3074,07 55 14.51,-60 55 36.40,0.839,18.47,16.05,13.84,20,0.98,,33.1,,-1.45,0.014,67,-1.9,0.56,0.66,-4.38,0.48,1,1,0.996487
532,3-7-312,07 53 42.05,-60 50 22.42,,19.14,16.65,14.37,18,2.93,<,8.0,*,-1.69,,88,,-0.08,-0.11,,0.4,0,1,0.999527
533,3-7-318,07 53 41.88,-60 49 34.30,,16.36,14.25,12.22,57,8.44,<,8.0,*,-0.76,,30,,0.04,0.06,-5.48,0.73,0,1,0.992964
534,3-7-3310,07 55 22.58,-60 48 04.05,,20.59,17.63,15.12,6,16.13,,10.2,*,-2.02,,129,,-0.06,0.03,,0.25,0,1,0.999923
535,3-7-3356,07 55 25.74,-60 52 33.95,,19.17,16.55,14.08,12,0.49,,14.0,,-1.64,,83,,0.5,0.42,-4.44,0.41,0,1,0.999488
536,3-7-3441,07 55 27.49,-60 48 33.20,2.432,18.07,15.77,13.64,19,0.81,<,8.0,,-1.35,0.005,60,-1.39,0.59,0.68,-4.36,0.52,1,1,0.998258
537,3-7-3448,07 55 27.68,-60 48 13.80,3.065,17.52,15.4,13.37,21,0.03,<,8.0,,-1.22,0.013,51,-1.22,0.52,0.6,-4.4,0.58,1,1,0.996487
538,3-7-3699,07 55 37.22,-60 51 40.31,,19.42,16.69,14.42,6,25.2,<,8.0,*,-1.68,,87,,-0.02,0.0,,0.39,0,1,0.999712
539,3-7-3731,07 55 38.71,-60 53 52.93,,19.94,17.11,14.87,7,0.07,,26.4,,-1.83,,104,,0.14,0.03,-5.02,0.33,0,1,0.999874
540,3-7-3884,07 55 43.62,-60 51 30.60,0.241,18.41,15.89,13.68,13,10.9,,69.1,*,-1.38,0.015,62,-2.41,0.69,0.62,-4.3,0.51,1,1,0.998258
541,3-7-4072,07 55 52.16,-60 54 03.60,0.313,17.9,15.64,13.41,14,10.46,,81.9,,-1.3,0.024,56,-2.26,0.34,0.77,-4.6,0.54,1,1,0.998258
542,3-7-689,07 53 55.21,-60 48 50.90,0.306,20.73,17.6,,7,11.46,,68.9,,-1.98,0.029,124,-2.61,0.33,0.24,-4.68,0.26,1,1,0.999991
543,3-7-694,07 53 55.30,-60 49 42.81,,21.29,18.27,15.59,5,4.07,,23.0,,-2.27,,172,,0.27,0.2,-4.76,0.18,0,2,
544,3-7-765,07 53 57.19,-60 52 52.51,,19.59,16.93,14.68,14,5.69,<,8.0,*,-1.79,,98,,0.04,-0.04,-5.54,0.36,0,1,0.999488
545,3-7-801,07 53 59.11,-60 49 42.20,,20.9,17.88,15.53,8,3.51,,17.5,,-2.12,,144,,0.09,0.13,-5.22,0.22,0,1,0.999983
546,3-7-869,07 54 01.20,-60 49 28.64,,19.83,17.14,14.7,12,5.93,,18.6,*,-1.87,,108,,0.02,-0.06,-5.89,0.32,0,1,0.999783
547,3-7-912,07 54 02.08,-60 55 24.48,,16.94,14.96,12.86,43,33.67,<,8.0,*,-1.04,,42,,0.05,0.07,-5.42,0.64,0,1,0.997667
548,3-7-974,07 54 04.87,-60 55 10.80,10.115,16.62,14.99,13.27,42,8.44,<,8.0,*,-1.1,0.005,45,-0.65,0.04,0.1,-5.54,0.63,1,1,0.999806
549,3-8-1170,07 54 06.92,-60 45 20.10,1.741,19.86,16.98,14.54,13,1.16,,12.0,,-1.78,0.017,97,-1.75,0.25,0.32,-4.77,0.35,1,1,0.999937
550,3-8-1214,07 54 17.22,-60 46 27.60,0.42,18.58,15.97,13.6,26,5.82,,53.6,*,-1.41,0.014,64,-2.18,0.46,0.49,-4.48,0.5,1,1,0.992964
551,3-8-1666,07 54 32.53,-60 44 34.46,,21.27,17.81,14.82,7,17.36,,21.0,*,-2.03,,130,,0.23,0.19,-4.87,0.23,0,1,0.999993
552,3-8-2195,07 54 52.89,-60 45 11.15,,19.5,16.83,14.55,12,11.53,<,8.0,*,-1.75,,94,,-0.04,-0.03,,0.37,0,1,0.999762
553,3-8-2312,07 54 56.23,-60 40 30.66,,19.52,16.62,14.17,13,24.59,<,8.0,*,-1.63,,82,,0.06,0.01,-5.39,0.4,0,1,0.998613
554,3-8-2333,07 54 57.55,-60 42 38.20,1.32,20.23,17.32,14.9,8,2.08,,14.3,,-1.91,0.021,113,-1.93,0.44,0.4,-4.53,0.29,1,1,0.999915
555,3-8-2456,07 55 02.07,-60 42 29.60,0.709,19.01,16.37,14.18,16,0.22,,27.8,,-1.56,0.017,76,-2.03,0.32,0.4,-4.64,0.44,1,1,0.99885
556,3-8-2611,07 55 07.76,-60 39 33.65,,18.62,15.96,13.66,19,23.18,<,8.0,*,-1.4,,63,,0.01,0.02,-6.3,0.5,0,1,0.999019
557,3-8-2683,07 55 11.83,-60 46 02.67,,18.86,16.39,14.36,17,72.67,<,8.0,*,-1.58,,78,,0.01,-0.05,-6.13,0.44,0,1,0.999245
558,3-8-2749,07 55 13.37,-60 41 12.94,,18.01,15.48,13.31,29,0.43,,16.6,,-1.22,,51,,0.47,0.53,-4.46,0.57,0,1,0.992964
559,3-8-3061,07 55 23.46,-60 41 51.30,0.714,18.44,16.02,13.83,15,0.86,,36.4,,-1.44,0.009,66,-1.97,0.51,0.58,-4.42,0.49,1,1,0.997667
560,3-8-3148,07 55 26.00,-60 44 31.01,,18.67,16.18,13.95,15,19.98,<,8.0,*,-1.5,,71,,0.41,0.31,-4.52,0.47,0,1,0.996487
561,3-8-3165,07 55 27.66,-60 43 02.74,,18.93,16.37,14.1,12,1.64,,16.1,,-1.57,,77,,0.3,0.41,-4.66,0.44,0,1,0.999324
562,3-8-3326,07 55 34.67,-60 46 32.78,,19.35,16.67,14.46,11,1.05,,9.4,,-1.68,,87,,0.36,0.26,-4.59,0.4,0,1,0.999324
563,3-8-3336,07 55 33.71,-60 40 51.00,1.446,19.81,17.03,14.65,9,1.22,,17.9,,-1.81,0.017,101,-1.84,0.17,0.27,-4.94,0.34,1,1,0.999488
564,3-8-3343,07 55 34.95,-60 45 35.74,,20.08,17.21,14.68,9,37.36,<,8.0,*,-1.87,,108,,0.14,-0.06,-5.01,0.31,0,1,0.999887
565,3-8-3360,07 55 34.64,-60 42 14.57,,19.24,16.54,14.22,11,0.64,,16.0,,-1.63,,82,,0.26,0.36,-4.73,0.41,0,1,0.999245
566,3-8-3619,07 55 44.89,-60 44 13.00,0.709,18.1,15.76,13.62,19,0.07,,32.3,,-1.34,0.026,59,-1.92,0.47,0.51,-4.46,0.53,1,1,0.99885
567,3-8-3738,07 55 49.64,-60 43 08.80,0.403,20.05,16.96,14.35,8,8.34,,56.6,,-1.74,0.017,93,-2.36,0.03,0.37,-5.7,0.35,1,1,0.999978
568,3-8-43,07 53 32.71,-60 44 35.94,,20.81,17.77,15.32,7,0.37,,44.5,,-2.07,,136,,0.46,0.44,-4.52,0.23,0,1,0.999955
569,3-8-798,07 54 01.03,-60 44 04.21,,20.51,17.67,15.49,8,2.61,<,8.0,,-2.05,,134,,0.0,-0.04,-7.16,0.25,0,1,0.999957
570,3-8-809,07 54 01.66,-60 45 29.20,1.18,18.86,16.17,13.81,22,0.65,,24.9,,-1.48,0.01,69,-1.77,0.29,0.36,-4.68,0.47,1,1,0.997667
571,3-8-860,07 54 03.69,-60 46 34.20,0.56,18.51,16.05,13.82,24,0.36,,22.9,,-1.45,0.009,67,-2.08,0.46,0.58,-4.47,0.48,1,1,0.997667
572,3-8-972,07 54 07.80,-60 46 30.01,,16.37,14.43,13.29,56,34.67,<,8.0,*,-0.84,,33,,-0.05,-0.04,,0.71,0,1,0.999981
