,recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,I07,single,Teff,s_Teff,Mass,s_Mass,Lum,s_Lum,Mass_calc,Mass_e
53,54,1-3-1747,07 57 11.17,-61 13 06.36,,19.95,17.03,14.6,13,21.21,<,8.0,*,-1.79,,99,,0.16,0.07,-4.98,0,1,3166.0,160.0,0.301,0.029,0.00935,0.0031,0.18578947368421053,0.033371469090881234
54,55,1-3-1888,07 57 09.67,-61 08 53.16,,16.09,14.57,12.61,57,0.0,<,8.0,,-0.93,,37,,0.24,0.33,-4.71,0,1,,,,,,,,0.033371469090881234
55,56,1-3-1904,07 57 15.88,-61 15 44.80,,21.76,18.38,15.43,5,0.67,,36.1,,-2.26,,170,,0.17,0.15,-5.01,0,1,,,,,,,,0.033371469090881234
56,57,1-3-1918,07 57 16.40,-61 07 46.42,,16.53,14.85,12.95,41,0.62,<,8.0,,-1.05,,42,,0.27,0.36,-4.65,0,1,3951.0,157.0,0.62,0.021,0.08996,0.02011,0.6354330708661418,0.033371469090881234
57,58,1-3-1944,07 57 17.63,-61 15 31.00,,21.03,17.85,15.07,8,2.21,,55.6,,-2.08,,138,,0.3,0.36,-4.73,0,1,3472.0,176.0,,,,,0.3247191011235955,0.033371469090881234
58,59,1-3-2082,07 57 22.07,-61 09 18.17,,16.96,14.67,12.6,44,4.65,<,8.0,*,-0.91,,36,,0.02,-0.02,-5.74,0,1,3494.0,157.0,0.552,0.023,0.04178,0.01069,0.33707865168539325,0.033371469090881234
59,60,1-3-2128,07 57 23.80,-61 08 51.10,0.634,20.52,17.55,15.04,10,1.75,,19.9,,-1.99,0.023,124,-2.29,0.27,0.36,-4.75,1,1,3317.0,168.0,0.352,0.057,0.01454,0.00687,0.25088495575221237,0.033371469090881234
60,61,1-3-2179,07 57 25.28,-61 15 31.11,,19.79,16.81,14.64,13,47.24,<,8.0,*,-1.69,,88,,0.01,0.01,-6.03,0,1,3162.0,160.0,0.142,0.021,0.00267,0.00085,0.1842105263157895,0.033371469090881234
61,62,1-3-2213,07 57 26.10,-61 11 55.72,,20.91,17.94,15.1,6,1.13,<,8.0,,-2.15,,149,,0.31,0.31,-4.68,0,1,3424.0,154.0,,,,,0.2982300884955752,0.033371469090881234
62,63,1-3-2266,07 57 27.39,-61 13 30.95,,19.83,17.07,14.59,10,43.73,,10.6,*,-1.83,,103,,-0.04,0.0,,0,1,3334.0,159.0,0.375,0.037,0.01652,0.00572,0.2584070796460177,0.033371469090881234
63,64,1-3-232,07 56 22.81,-61 12 36.00,1.192,18.82,16.29,14.04,24,0.34,,9.2,,-1.54,0.007,74,-1.79,0.47,0.51,-4.46,1,1,3405.0,157.0,0.461,0.028,0.02605,0.00741,0.28982300884955753,0.033371469090881234
64,65,1-3-2379,07 57 32.93,-61 07 25.10,0.681,20.06,17.13,14.72,11,1.86,,26.6,,-1.83,0.022,103,-2.18,0.37,0.32,-4.61,1,1,3205.0,159.0,0.333,0.038,0.01156,0.0043,0.2013274336283186,0.033371469090881234
65,66,1-3-2588,07 57 33.66,-61 15 18.40,0.393,17.28,15.04,12.89,31,1.9,,55.9,,-1.06,0.014,43,-2.04,0.65,0.7,-4.31,1,1,3555.0,157.0,0.634,0.021,0.06254,0.01517,0.37134831460674156,0.033371469090881234
66,67,1-3-2668,07 57 42.51,-61 09 44.70,0.539,20.48,17.53,14.8,8,0.22,,31.5,,-1.98,0.025,123,-2.36,0.31,0.41,-4.68,1,1,3270.0,162.0,0.308,0.04,0.01104,0.0044,0.23008849557522124,0.033371469090881234
67,68,1-3-2945,07 57 52.94,-61 15 35.99,,20.11,17.28,14.96,7,0.27,<,8.0,,-1.9,,112,,0.18,0.35,-4.92,0,1,3310.0,162.0,0.338,0.04,0.0135,0.00512,0.24778761061946902,0.033371469090881234
68,69,1-3-3005,07 57 55.36,-61 15 12.30,0.297,19.97,17.15,14.7,7,6.48,,53.0,,-1.85,0.012,106,-2.55,0.39,0.41,-4.57,1,1,3333.0,159.0,0.324,0.036,0.01295,0.0046,0.2579646017699115,0.033371469090881234
69,70,1-3-4292,07 58 39.61,-61 13 24.45,,21.0,17.92,15.58,5,2.63,,29.0,,-2.12,,145,,-0.19,0.12,,0,1,3389.0,149.0,,,,,0.2827433628318584,0.033371469090881234
70,71,1-3-4335,07 58 40.90,-61 14 54.40,,19.57,16.92,14.58,9,7.8,<,8.0,*,-1.78,,98,,0.01,0.43,-6.08,0,1,3343.0,158.0,0.327,0.03,0.01331,0.00424,0.26238938053097344,0.033371469090881234
71,72,1-3-4380,07 58 41.83,-61 12 02.07,,17.48,15.13,13.01,37,18.6,<,8.0,*,-1.09,,44,,0.26,0.29,-4.72,0,1,3723.0,122.0,0.56,,0.08509,,0.4745222929936306,0.033371469090881234
72,73,1-3-4503,07 58 46.35,-61 14 31.95,,19.66,17.01,14.85,11,21.05,<,8.0,*,-1.82,,102,,-0.04,0.04,,0,1,3324.0,158.0,0.295,0.033,0.01099,0.00382,0.25398230088495577,0.033371469090881234
73,74,1-3-461,07 56 27.54,-61 09 05.00,0.42,20.65,17.71,15.22,9,0.53,,46.3,,-2.06,0.049,134,-2.5,0.33,0.25,-4.65,1,1,3212.0,162.0,0.267,0.045,0.00813,0.00375,0.20442477876106196,0.033371469090881234
74,75,1-3-470,07 56 27.73,-61 09 16.57,,18.47,15.94,13.8,29,25.3,<,8.0,*,-1.4,,63,,0.04,0.0,-5.52,0,1,3371.0,157.0,0.318,0.022,0.01315,0.00345,0.2747787610619469,0.033371469090881234
75,76,1-3-664,07 56 35.06,-61 10 08.60,2.561,17.75,15.57,13.41,32,0.02,,9.3,,-1.28,0.024,55,-1.33,0.48,0.55,-4.44,1,1,3621.0,157.0,0.536,0.022,0.04506,0.01104,0.40955414012738856,0.033371469090881234
76,77,1-3-699,07 56 36.59,-61 13 17.60,1.59,19.25,16.62,14.33,20,0.57,,14.8,,-1.67,0.01,86,-1.73,0.46,0.48,-4.48,1,1,3387.0,158.0,0.441,0.033,0.02344,0.00739,0.281858407079646,0.033371469090881234
77,78,1-3-927,07 56 45.57,-61 14 31.30,1.36,18.82,16.33,14.17,22,0.92,<,8.0,,-1.56,0.008,76,-1.75,0.39,0.45,-4.54,1,1,3453.0,157.0,0.404,0.027,0.02168,0.00608,0.3140449438202247,0.033371469090881234
78,79,1-4-1142,07 56 54.83,-61 05 26.21,,17.05,15.11,13.16,38,34.23,<,8.0,*,-1.11,,45,,0.07,0.08,-5.27,0,1,3781.0,157.0,0.584,0.021,0.06515,0.01519,0.5125874125874126,0.033371469090881234
79,80,1-4-1225,07 56 58.33,-61 02 08.10,0.741,20.62,17.68,15.0,8,1.26,<,8.0,,-2.04,0.021,132,-2.25,0.25,0.09,-4.77,1,1,3249.0,168.0,0.356,0.067,0.01369,0.00717,0.22079646017699117,0.033371469090881234
80,81,1-4-1313,07 57 01.29,-61 01 10.10,3.532,18.82,16.31,13.97,18,0.62,<,8.0,,-1.55,0.009,75,-1.33,0.36,0.41,-4.58,1,1,3402.0,157.0,0.437,0.026,0.02349,0.0065,0.2884955752212389,0.033371469090881234
81,82,1-4-1401,07 57 02.76,-61 05 20.20,0.352,19.64,16.78,14.38,16,0.61,,51.7,,-1.7,0.024,89,-2.4,0.41,0.48,-4.56,1,1,3166.0,159.0,0.4,0.036,0.01507,0.00526,0.18578947368421053,0.033371469090881234
82,83,1-4-155,07 56 23.06,-61 00 01.20,,20.24,17.38,14.88,8,8.95,<,8.0,*,-1.94,,117,,0.05,-0.04,-5.46,0,1,3419.0,164.0,0.449,0.07,0.02524,0.01219,0.2960176991150442,0.033371469090881234
83,84,1-4-1609,07 57 10.37,-61 01 13.50,0.742,18.72,16.19,13.83,22,1.39,,26.8,,-1.5,0.015,71,-1.98,0.45,0.5,-4.48,1,1,3452.0,157.0,0.503,0.025,0.03269,0.00874,0.31348314606741573,0.033371469090881234
84,85,1-4-1930,07 57 21.55,-61 03 56.50,6.065,19.12,16.55,14.26,18,0.96,<,8.0,,-1.64,0.015,84,-1.14,0.83,0.79,-4.22,1,1,3371.0,158.0,0.386,0.029,0.01814,0.00545,0.2747787610619469,0.033371469090881234
85,86,1-4-2288,07 57 37.23,-61 04 22.86,,17.25,14.82,12.75,35,1.39,<,8.0,,-0.96,,38,,0.04,0.01,-5.57,0,1,3436.0,157.0,0.435,0.021,0.02422,0.00597,0.3044943820224719,0.033371469090881234
86,87,1-4-2755,07 57 54.32,-61 05 29.60,2.741,19.65,16.95,14.51,9,0.28,,8.4,,-1.79,0.014,99,-1.56,0.3,0.29,-4.67,1,1,3310.0,158.0,0.366,0.037,0.0154,0.00538,0.24778761061946902,0.033371469090881234
87,88,1-4-2793,07 57 55.65,-61 04 17.20,0.595,19.81,17.03,14.63,5,2.08,,32.1,,-1.81,0.009,101,-2.23,0.26,0.35,-4.75,1,1,3287.0,158.0,0.384,0.041,0.0163,0.00601,0.23761061946902656,0.033371469090881234
88,89,1-4-2846,07 57 57.76,-61 02 03.80,0.918,19.29,16.65,14.32,16,0.02,,31.1,,-1.68,0.012,87,-1.98,0.45,0.36,-4.48,1,1,3437.0,158.0,0.407,0.031,0.02156,0.00651,0.3050561797752809,0.033371469090881234
89,90,1-4-3146,07 58 06.99,-60 58 32.21,,19.6,16.85,14.34,15,2.88,,41.9,,-1.74,,94,,0.34,0.38,-4.63,0,1,3293.0,158.0,0.409,0.033,0.01833,0.0059,0.24026548672566372,0.033371469090881234
90,91,1-4-3259,07 58 10.51,-61 04 10.97,,20.73,17.76,14.99,6,0.86,,26.4,,-2.08,,137,,0.2,0.1,-4.87,0,1,3468.0,140.0,,,,,0.32247191011235954,0.033371469090881234
91,92,1-4-3317,07 58 12.62,-61 04 29.70,0.599,19.65,16.87,14.67,13,0.27,,43.7,,-1.75,0.025,94,-2.2,0.3,0.37,-4.68,1,1,3306.0,158.0,0.356,0.035,0.01468,0.00499,0.24601769911504423,0.033371469090881234
92,93,1-4-3373,07 58 11.90,-61 01 41.90,0.148,19.12,16.33,13.82,18,16.09,,125.9,,-1.53,0.013,73,-2.69,0.55,0.47,-4.42,1,1,3315.0,157.0,0.489,0.028,0.0262,0.0076,0.25,0.033371469090881234
