,recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,Mass,I07,single,PSS,Mass_calc,Mass_e
240,241,2-1-833,07 59 14.87,-60 57 31.43,,9.819990748440746,15.54,13.46,24,1.72,<,8.0,*,-1.27,,54,,0.18,0.17,-4.88,0.56,0,1,0.999245,0.4802053705192626,0.054546516370542725
241,242,2-1-912,07 59 17.09,-60 54 12.50,0.481,12.579990748440748,17.48,15.01,8,3.86,,44.2,,-1.95,0.032,119,-2.39,0.36,0.31,-4.64,0.27,1,1,0.999931,0.19393548774001276,0.054546516370542725
242,243,2-1-943,07 59 18.48,-60 55 06.11,,10.049990748440747,15.62,13.5,26,21.12,,11.7,*,-1.29,,55,,0.03,0.0,-5.67,0.55,0,1,0.992964,0.45717936448084623,0.054546516370542725
243,244,2-2-1247,07 59 36.56,-60 47 23.31,,10.399990748440745,15.97,,15,1.61,,8.0,,-1.43,,65,,0.37,0.39,-4.56,0.5,0,1,0.99979,0.42127925315980114,0.054546516370542725
244,245,2-2-1299,07 59 39.16,-60 50 15.39,,13.039990748440745,17.94,15.52,5,1.24,<,8.0,,-2.14,,148,,0.21,0.31,-4.87,0.22,0,1,0.999962,0.1648383385436039,0.054546516370542725
245,246,2-2-1311,07 59 39.14,-60 45 37.30,0.367,10.729990748440747,16.08,13.83,9,7.24,,44.1,,-1.45,0.024,67,-2.26,0.43,0.45,-4.51,0.48,1,1,0.999146,0.3858761749799837,0.054546516370542725
246,247,2-2-1402,07 59 42.35,-60 50 27.86,,8.239990748440748,14.6,12.89,41,1.61,<,8.0,*,-0.94,,37,,0.27,0.33,-4.67,0.68,0,1,0.999019,0.6341013736349048,0.054546516370542725
247,248,2-2-169,07 58 56.42,-60 47 22.80,0.452,9.179990748440746,15.2,13.13,18,3.1,,55.3,,-1.16,0.024,48,-2.02,0.53,0.56,-4.38,0.6,1,1,0.999389,0.5431797927615492,0.054546516370542725
248,249,2-2-19,07 58 50.90,-60 48 36.04,,12.219990748440745,17.29,,7,1.19,,21.3,,-1.9,,112,,0.36,0.25,-4.61,0.3,0,1,0.999848,0.22566715885585772,0.054546516370542725
249,250,2-2-1907,08 00 02.42,-60 48 44.73,,11.419990748440748,16.69,14.51,10,2.2,,21.0,,-1.69,,88,,0.29,0.37,-4.68,0.39,0,1,0.999245,0.3025441000331882,0.054546516370542725
250,251,2-2-2153,08 00 11.63,-60 48 32.40,6.784,9.069990748440746,15.05,13.08,20,1.94,<,8.0,*,-1.08,0.015,44,-0.81,0.37,0.48,-4.55,0.63,1,1,0.999389,0.5533815763012809,0.054546516370542725
251,252,2-2-2387,08 00 18.18,-60 48 17.20,2.247,10.439990748440747,15.98,13.88,11,0.09,,9.6,,-1.43,0.009,65,-1.46,0.48,0.5,-4.45,0.49,1,1,0.99885,0.4171588283438684,0.054546516370542725
252,253,2-2-3180,08 00 42.27,-60 46 50.69,,10.729990748440747,16.27,14.2,15,13.37,<,8.0,*,-1.54,,74,,-0.02,0.02,,0.45,0,1,0.999146,0.3858761749799837,0.054546516370542725
253,254,2-2-3311,08 00 47.43,-60 46 21.43,,12.579990748440748,17.6,15.12,9,0.93,,55.4,,-2.02,,128,,0.16,0.48,-4.96,0.26,0,1,0.999963,0.19393548774001276,0.054546516370542725
254,255,2-2-3336,08 00 48.53,-60 48 12.13,,13.329990748440748,18.17,15.42,6,1.93,,13.8,,-2.22,,162,,0.21,0.31,-4.88,0.19,0,1,0.999992,0.1494560141810743,0.054546516370542725
255,256,2-2-3494,08 00 52.80,-60 49 09.26,,7.709990748440747,14.27,12.45,57,7.38,<,8.0,*,-0.8,,31,,0.05,0.11,-5.38,0.73,0,1,0.999751,0.6863727223612669,0.054546516370542725
256,257,2-2-3759,08 01 03.29,-60 48 15.96,,12.369990748440747,17.29,14.75,12,2.3,,40.4,,-1.88,,110,,0.4,0.4,-4.58,0.3,0,1,0.989704,0.211526506827507,0.054546516370542725
257,258,2-2-3845,08 01 04.95,-60 41 55.99,,11.549990748440747,16.92,14.64,10,2.6,<,8.0,*,-1.79,,99,,0.03,-0.01,-5.61,0.36,0,1,0.999019,0.28958586534708125,0.054546516370542725
258,259,2-2-3933,08 01 07.66,-60 43 35.20,8.677,10.019990748440746,15.78,13.62,27,70.99,<,8.0,*,-1.36,0.016,60,-0.84,0.69,0.4,-4.28,0.52,1,1,0.998258,0.4598058812156644,0.054546516370542725
259,260,2-2-4051,08 01 12.71,-60 48 25.30,10.033,10.149990748440745,15.79,13.64,27,1.09,<,8.0,,-1.36,0.018,60,-0.78,0.56,0.59,-4.38,0.52,1,1,0.999324,0.44683916766229537,0.054546516370542725
260,261,2-2-464,07 59 06.93,-60 46 50.78,,8.359990748440746,14.8,13.19,32,33.03,<,8.0,*,-1.02,,41,,0.14,0.16,-4.94,0.66,0,1,0.99982,0.6224860464161707,0.054546516370542725
261,262,2-2-511,07 59 09.08,-60 47 57.00,0.392,11.629990748440745,16.64,14.3,10,1.15,,40.3,,-1.63,0.041,83,-2.32,0.42,0.16,-4.55,0.4,1,1,0.999826,0.28209824410390977,0.054546516370542725
262,263,2-2-745,07 59 17.98,-60 45 18.82,,9.689990748440747,15.3,13.09,21,0.12,,14.8,,-1.16,,48,,0.46,0.52,-4.47,0.59,0,1,0.996487,0.49376676669824066,0.054546516370542725
263,264,2-2-90,07 58 54.31,-60 50 05.75,,11.119990748440747,16.44,14.22,14,53.42,<,8.0,*,-1.6,,79,,0.06,-0.02,-5.37,0.43,0,1,0.999389,0.33864725530436024,0.054546516370542725
264,265,2-3-1157,07 59 36.36,-60 33 04.90,3.402,9.859990748440746,15.5,13.36,33,1.0,,12.0,,-1.24,0.02,53,-1.19,0.53,0.54,-4.41,0.56,1,2,1e-06,0.4764280103698716,0.054546516370542725
265,266,2-3-1199,07 59 37.51,-60 32 45.57,,10.679990748440746,16.14,,19,0.53,,34.8,,-1.48,,70,,0.51,0.49,-4.42,0.47,0,1,0.998613,0.39188439531799013,0.054546516370542725
266,267,2-3-1361,07 59 44.31,-60 32 19.72,,10.199990748440745,15.65,13.41,28,2.26,,41.1,,-1.29,,56,,0.63,0.65,-4.34,0.54,0,2,1e-06,0.4419928709080363,0.054546516370542725
267,268,2-3-1480,07 59 48.60,-60 33 33.71,,10.339990748440746,16.02,13.8,22,8.33,<,8.0,*,-1.45,,67,,0.1,0.08,-5.15,0.49,0,1,0.998613,0.42768520705433116,0.054546516370542725
268,269,2-3-1757,07 59 55.85,-60 37 45.71,,11.769990748440746,16.72,14.12,10,0.15,,43.3,,-1.66,,85,,0.26,0.28,-4.76,0.39,0,1,0.999714,0.26867167790027285,0.054546516370542725
269,270,2-3-1984,07 59 55.72,-60 33 47.15,,12.289990748440745,17.19,14.64,10,1.26,,24.5,,-1.84,,104,,0.23,0.16,-4.83,0.31,0,1,0.999924,0.21920571788218599,0.054546516370542725
270,271,2-3-2156,08 00 06.39,-60 38 21.46,,11.309990748440745,16.64,14.37,9,33.29,,21.6,*,-1.68,,87,,0.04,0.05,-5.52,0.4,0,1,0.99964,0.31587689359952537,0.054546516370542725
271,272,2-3-2191,08 00 07.19,-60 33 38.48,,11.849990748440748,17.03,14.49,14,17.87,,9.3,*,-1.81,,102,,0.02,-0.07,-5.85,0.34,0,1,0.999866,0.26115707995097975,0.054546516370542725
272,273,2-3-2256,08 00 09.22,-60 39 30.45,,9.669990748440748,15.03,12.84,17,9.51,<,8.0,*,-1.03,,41,,0.1,-0.01,-5.12,0.63,0,1,0.998258,0.49533973406485976,0.054546516370542725
273,274,2-3-2921,08 00 37.60,-60 36 22.76,,7.559990748440747,14.07,12.59,30,0.71,<,8.0,,-0.72,,29,,0.32,0.38,-4.6,0.75,0,1,0.999924,0.7018235191070438,0.054546516370542725
274,275,2-3-2979,08 00 40.83,-60 39 47.18,,10.309990748440745,15.5,13.25,7,16.75,,20.8,*,-1.2,,50,,0.19,-0.02,-4.88,0.56,0,1,0.992964,0.43081496843868655,0.054546516370542725
275,276,2-3-3015,08 00 42.32,-60 36 56.30,1.392,12.379990748440745,17.38,15.06,6,0.85,,18.8,,-1.93,0.023,116,-1.92,0.34,0.34,-4.64,0.29,1,1,0.999897,0.21047125443421302,0.054546516370542725
276,277,2-3-3402,08 00 57.82,-60 33 33.00,3.168,9.369990748440747,15.09,12.91,30,0.33,,9.4,,-1.08,0.013,44,-1.14,0.41,0.46,-4.51,0.62,1,1,0.997667,0.525016338030411,0.054546516370542725
277,278,2-3-3475,08 01 00.97,-60 34 20.60,0.713,12.189990748440747,17.06,14.64,8,0.07,,27.9,,-1.78,0.015,98,-2.14,0.24,0.33,-4.82,0.34,1,1,0.999926,0.2285490665851352,0.054546516370542725
278,279,2-3-3537,08 01 04.02,-60 35 22.40,6.364,9.839990748440746,15.58,13.54,14,0.86,<,8.0,,-1.28,0.015,55,-0.94,0.44,0.57,-4.48,0.55,1,1,0.999019,0.47803803748484863,0.054546516370542725
279,280,2-3-3611,08 01 07.20,-60 35 46.63,,10.729990748440747,16.15,14.08,10,1.54,,30.0,,-1.49,,70,,0.51,0.5,-4.43,0.47,0,1,0.998613,0.3858761749799837,0.054546516370542725
280,281,2-3-415,07 59 08.61,-60 32 59.74,,10.069990748440746,15.7,13.72,12,1.34,<,8.0,,-1.32,,58,,0.51,0.53,-4.42,0.53,0,1,0.998613,0.4549492282604059,0.054546516370542725
281,282,2-3-851,07 59 25.70,-60 35 00.08,,11.799990748440747,17.05,14.77,8,0.03,,18.8,,-1.83,,104,,0.2,0.27,-4.84,0.34,0,1,0.999826,0.2659058571922108,0.054546516370542725
282,283,2-3-933,07 59 29.02,-60 39 41.70,0.332,9.539990748440745,15.35,13.33,9,1.63,,67.5,,-1.2,0.017,50,-2.18,0.15,0.69,-4.96,0.58,1,1,0.997667,0.5081577197834103,0.054546516370542725
283,284,2-4-1242,07 59 34.86,-60 30 09.00,3.345,11.159990748440746,16.4,14.1,15,20.47,,9.8,*,-1.57,0.017,77,-1.36,0.23,0.23,-4.79,0.44,1,1,0.999324,0.3341383884237809,0.054546516370542725
284,285,2-4-1691,07 59 48.19,-60 30 03.49,,10.809990748440745,16.31,14.08,19,25.47,<,8.0,*,-1.56,,75,,-0.01,-0.03,,0.45,0,1,0.999245,0.3761589951994141,0.054546516370542725
285,286,2-4-1867,07 59 52.01,-60 29 13.44,,9.819990748440746,15.38,13.11,35,0.54,,55.8,,-1.19,,50,,0.48,0.65,-4.45,0.58,0,2,1e-06,0.4802053705192626,0.054546516370542725
286,287,2-4-1870,07 59 53.99,-60 29 16.88,,11.219990748440745,16.54,14.38,13,1.98,,17.4,,-1.64,,83,,0.39,0.36,-4.55,0.41,0,1,0.999245,0.3266466107767784,0.054546516370542725
287,288,2-4-1973,07 59 58.37,-60 24 17.18,,7.949990748440747,14.52,12.47,22,0.42,,63.8,,-0.89,,35,,0.51,0.73,-4.41,0.7,0,1,0.992964,0.6633382585231763,0.054546516370542725
288,289,2-4-2028,07 59 50.36,-60 31 47.51,,8.519990748440746,14.29,12.61,71,61.66,,20.5,*,-0.77,,31,,0.02,-0.01,-5.87,0.73,0,1,0.99997,0.606714080750317,0.054546516370542725
289,290,2-4-2110,08 00 02.13,-60 30 30.90,1.159,10.709990748440747,16.31,14.13,22,0.65,,20.8,,-1.56,0.012,76,-1.82,0.51,0.6,-4.42,0.45,1,1,0.992964,0.3879946691454768,0.054546516370542725
290,291,2-4-2259,08 00 07.40,-60 31 17.29,,13.059990748440745,17.92,15.53,7,13.78,<,8.0,*,-2.12,,145,,0.21,0.13,-4.87,0.22,0,1,0.999976,0.16363614581786531,0.054546516370542725
291,292,2-4-2314,08 00 09.16,-60 28 16.10,4.292,12.059990748440745,17.2,14.95,10,0.29,,8.1,,-1.88,0.01,109,-1.4,0.05,0.17,-5.47,0.31,1,1,0.999848,0.24113755314686625,0.054546516370542725
292,293,2-4-2408,08 00 11.82,-60 25 05.40,5.656,10.619990748440747,16.07,13.88,11,1.69,,8.6,,-1.46,0.014,67,-1.08,0.56,0.6,-4.39,0.48,1,1,0.998613,0.3990459416414148,0.054546516370542725
293,294,2-4-2573,08 00 17.40,-60 31 32.29,,12.909990748440746,17.8,15.23,8,0.32,,21.7,,-2.08,,138,,0.29,0.14,-4.72,0.23,0,1,0.999971,0.17221750146179224,0.054546516370542725
294,295,2-4-2908,08 00 27.65,-60 24 49.62,,11.789990748440745,16.79,14.23,7,0.29,,17.6,,-1.69,,88,,0.29,0.26,-4.71,0.38,0,1,0.999442,0.26669492863835376,0.054546516370542725
295,296,2-4-3227,08 00 38.32,-60 30 47.45,,12.479990748440747,17.62,15.46,7,0.34,<,8.0,,-2.04,,132,,0.09,-0.15,-5.23,0.25,0,1,0.999975,0.20095456515024007,0.054546516370542725
296,297,2-4-3516,08 00 34.92,-60 31 27.38,,8.839990748440746,14.86,13.12,45,219.34,<,8.0,*,-1.02,,41,,0.15,0.0,-4.94,0.65,0,1,0.999997,0.5761272120990607,0.054546516370542725
297,298,2-4-3615,08 00 51.72,-60 31 44.05,,11.969990748440745,17.24,14.82,9,38.81,<,8.0,*,-1.91,,113,,-0.02,-0.09,,0.31,0,1,0.999934,0.24950846014554326,0.054546516370542725
298,299,2-4-4035,08 01 04.82,-60 29 18.11,,11.399990748440745,16.62,14.45,9,1.45,,8.9,,-1.66,,85,,0.35,0.29,-4.61,0.4,0,1,0.999146,0.3052812569367997,0.054546516370542725
299,300,2-4-818,07 59 21.50,-60 27 52.97,,10.129990748440745,15.74,13.6,12,38.63,<,8.0,*,-1.34,,59,,0.03,0.02,-5.61,0.53,0,1,0.992964,0.44904464768180197,0.054546516370542725
300,301,2-5-107,08 01 22.88,-60 53 05.67,,8.709990748440747,14.8,12.97,45,0.51,<,8.0,,-1.01,,40,,0.31,0.39,-4.6,0.66,0,1,0.999561,0.5882762748956936,0.054546516370542725
301,302,2-5-1074,08 01 47.18,-60 57 54.50,0.864,11.239990748440748,16.55,14.28,15,0.41,,23.3,,-1.64,0.008,83,-1.98,0.28,0.42,-4.69,0.41,1,1,0.999019,0.32420378680782597,0.054546516370542725
302,303,2-5-1173,08 01 58.69,-60 50 49.05,,8.559990748440745,14.78,13.99,45,19.73,<,8.0,*,-1.02,,41,,-0.02,-0.01,,0.66,0,1,0.999992,0.6032668074690255,0.054546516370542725
303,304,2-5-1251,08 01 55.47,-60 52 13.20,,13.239990748440748,17.85,14.11,8,2.12,,25.9,,-2.06,,135,,0.34,0.22,-4.69,0.23,0,1,0.999989,0.1539425680357965,0.054546516370542725
304,305,2-5-1285,08 02 01.24,-60 55 11.98,,13.079990748440748,17.98,15.62,5,3.23,,26.0,,-2.15,,150,,0.19,0.18,-4.9,0.21,0,1,0.999991,0.16270200274730248,0.054546516370542725
305,306,2-5-1321,08 02 01.92,-60 58 50.27,,7.659990748440746,14.1,12.01,50,14.46,<,8.0,*,-0.74,,29,,0.5,0.55,-4.4,0.75,0,1,0.992964,0.6915978647389893,0.054546516370542725
306,307,2-5-1498,08 02 07.82,-60 59 19.81,,12.359990748440746,17.55,15.24,6,13.32,<,8.0,*,-2.02,,129,,0.04,0.07,-5.54,0.26,0,1,0.989146,0.2125250224541909,0.054546516370542725
307,308,2-5-1527,08 02 08.72,-60 55 45.35,,10.289990748440745,15.76,13.59,24,12.05,,8.6,*,-1.33,,59,,0.05,0.03,-5.46,0.53,0,1,0.99885,0.43238571813896387,0.054546516370542725
308,309,2-5-162,08 01 24.78,-60 53 13.67,,9.679990748440746,15.12,12.28,39,6.04,<,8.0,*,-1.08,,44,,0.03,-0.02,-5.64,0.62,0,2,,0.4942729498824929,0.054546516370542725
309,310,2-5-1637,08 02 12.20,-60 55 26.14,,8.519990748440746,14.7,12.8,41,0.91,<,8.0,,-0.99,,40,,0.28,0.27,-4.63,0.67,0,1,0.999488,0.606714080750317,0.054546516370542725
310,311,2-5-1670,08 02 13.46,-60 54 40.18,,11.289990748440745,16.6,14.41,17,17.97,<,8.0,*,-1.66,,85,,-0.01,-0.02,,0.41,0,1,0.999561,0.3183122571608178,0.054546516370542725
311,312,2-5-1750,08 02 15.48,-60 51 21.81,,8.739990748440748,14.91,13.1,42,7.98,<,8.0,*,-1.08,,43,,0.02,0.04,-5.87,0.64,0,1,0.999146,0.5853140004332386,0.054546516370542725
312,313,2-5-2067,08 02 25.76,-60 54 45.20,0.488,11.799990748440747,16.51,13.8,20,17.68,,35.4,*,-1.54,0.043,74,-2.18,0.55,0.54,-4.46,0.42,1,1,0.999991,0.2659058571922108,0.054546516370542725
313,314,2-5-2268,08 02 32.23,-60 57 52.80,1.143,11.759990748440748,16.92,14.59,9,1.56,,21.5,,-1.77,0.019,96,-1.93,0.43,0.34,-4.52,0.36,1,1,0.999806,0.2695422537532282,0.054546516370542725
314,315,2-5-2422,08 02 37.27,-60 51 14.81,,10.109990748440746,15.9,14.81,24,7.11,<,8.0,*,-1.41,,64,,-0.06,-0.04,,0.5,0,1,0.999987,0.45113721558560194,0.054546516370542725
315,316,2-5-2476,08 02 38.97,-60 57 23.00,1.262,10.949990748440745,16.19,13.9,16,0.08,,19.5,,-1.48,0.008,70,-1.74,0.3,0.42,-4.67,0.47,1,1,0.998258,0.3591801969299604,0.054546516370542725
316,317,2-5-2556,08 02 42.28,-60 54 14.91,,11.719990748440745,17.04,15.04,12,46.7,<,8.0,*,-1.84,,104,,-0.03,-0.08,,0.34,0,1,0.999772,0.2735312080466967,0.054546516370542725
317,318,2-5-2581,08 02 43.17,-60 53 05.10,0.359,10.919990748440748,16.08,13.79,20,0.32,,23.5,,-1.43,0.006,65,-2.26,0.27,0.26,-4.73,0.48,1,1,0.878061,0.36287768856430613,0.054546516370542725
318,319,2-5-2742,08 02 48.75,-60 52 00.90,,10.239990748440748,15.86,13.8,23,0.0,<,8.0,,-1.39,,62,,0.44,0.47,-4.48,0.51,0,1,0.998258,0.43774266276437335,0.054546516370542725
319,320,2-5-2906,08 02 56.33,-60 50 50.93,,11.559990748440745,16.94,14.81,11,14.75,<,8.0,*,-1.8,,100,,0.03,0.07,-5.65,0.35,0,1,0.999884,0.2887142236848983,0.054546516370542725
320,321,2-5-2945,08 02 56.42,-60 58 44.80,1.011,12.079990748440748,17.14,15.13,7,4.37,,10.5,*,-1.84,0.025,105,-2.01,0.33,0.28,-4.64,0.32,1,1,0.999956,0.23925119713958665,0.054546516370542725
321,322,2-5-358,08 01 30.70,-60 51 00.90,1.675,10.929990748440746,16.35,14.3,20,0.35,,14.5,,-1.56,0.007,76,-1.66,0.47,0.57,-4.47,0.44,1,1,0.999146,0.36182731093661424,0.054546516370542725
322,323,2-5-4520,08 03 47.57,-60 51 50.20,0.528,12.669990748440748,17.59,15.32,6,0.17,,32.9,,-2.0,0.013,125,-2.38,0.46,0.54,-4.53,0.26,1,1,0.999975,0.18799757471343922,0.054546516370542725
323,324,2-5-494,08 01 35.30,-60 53 42.20,,11.309990748440745,16.67,14.37,16,0.77,<,8.0,,-1.69,,88,,0.24,0.19,-4.76,0.4,0,1,0.999146,0.31587689359952537,0.054546516370542725
324,325,2-5-949,08 01 51.78,-60 56 30.55,,10.649990748440745,16.17,14.03,20,16.76,<,8.0,*,-1.5,,71,,0.07,-0.03,-5.29,0.47,0,1,0.997667,0.39514336682969364,0.054546516370542725
325,326,2-6-1094,08 01 55.82,-60 42 55.80,2.355,9.329990748440748,15.22,13.19,41,0.06,<,8.0,,-1.15,0.021,47,-1.3,0.58,0.62,-4.36,0.6,1,2,1e-06,0.5283144829174808,0.054546516370542725
326,327,2-6-117,08 01 22.49,-60 42 47.63,,8.219990748440745,14.17,13.06,66,36.14,<,8.0,*,-0.73,,29,,-0.02,-0.02,,0.74,0,1,0.999979,0.6367351397892905,0.054546516370542725
327,328,2-6-1200,08 01 58.39,-60 42 50.80,4.717,8.729990748440747,14.79,12.92,49,1.09,<,8.0,,-1.0,0.01,40,-0.93,0.25,0.32,-4.7,0.66,1,1,0.997667,0.5866722958807536,0.054546516370542725
328,329,2-6-121,08 01 23.27,-60 46 14.50,0.332,9.439990748440747,15.09,12.94,41,0.17,,51.7,,-1.08,0.026,44,-2.12,0.6,0.71,-4.35,0.62,1,1,0.992964,0.5176895155079496,0.054546516370542725
329,330,2-6-1250,08 01 58.22,-60 43 22.70,4.116,9.689990748440747,15.54,13.51,32,0.21,<,8.0,,-1.27,0.03,55,-1.12,0.54,0.58,-4.39,0.56,1,1,0.999146,0.49376676669824066,0.054546516370542725
330,331,2-6-136,08 01 24.05,-60 47 23.96,,12.089990748440746,17.29,14.91,11,28.45,,8.5,*,-1.92,,115,,0.01,-0.04,-6.45,0.3,0,1,0.999924,0.23811629086538358,0.054546516370542725
331,332,2-6-1571,08 02 09.97,-60 42 42.10,8.363,9.329990748440748,15.22,13.27,36,1.43,<,8.0,,-1.15,0.017,47,-0.75,0.34,0.42,-4.59,0.6,1,1,0.998258,0.5283144829174808,0.054546516370542725
332,333,2-6-1700,08 02 14.47,-60 45 43.90,0.771,11.649990748440745,16.87,14.65,14,0.9,,18.4,,-1.76,0.009,95,-2.09,0.46,0.4,-4.48,0.37,1,1,0.999488,0.2800498361197155,0.054546516370542725
333,334,2-6-1739,08 02 15.23,-60 45 27.47,,12.239990748440748,17.42,14.75,8,52.55,,54.2,*,-1.97,,121,,0.17,0.24,-4.93,0.28,0,1,0.999887,0.22385551817396168,0.054546516370542725
334,335,2-6-1857,08 02 18.74,-60 45 18.59,,9.509990748440748,15.4,13.44,35,0.2,<,8.0,,-1.22,,51,,0.18,0.23,-4.85,0.58,0,1,0.99885,0.5109541602416993,0.054546516370542725
335,336,2-6-2033,08 02 24.67,-60 42 37.40,3.919,10.649990748440745,16.0,13.72,25,2.97,<,8.0,*,-1.42,0.006,65,-1.22,0.21,0.19,-4.81,0.49,1,1,0.896753,0.39514336682969364,0.054546516370542725
336,337,2-6-2207,08 02 30.90,-60 48 44.40,0.715,12.089990748440746,17.2,14.71,12,0.62,,34.4,,-1.87,0.029,108,-2.18,0.35,0.37,-4.62,0.31,1,1,0.99987,0.23811629086538358,0.054546516370542725
337,338,2-6-2346,08 02 34.70,-60 46 04.70,10.988,10.329990748440748,15.69,13.43,32,0.29,,18.5,,-1.3,0.027,56,-0.71,0.42,0.46,-4.51,0.54,1,2,1e-06,0.4287383229958113,0.054546516370542725
338,339,2-6-240,08 01 27.59,-60 41 40.80,8.774,8.709990748440747,14.79,12.99,44,0.05,<,8.0,,-1.01,0.022,40,-0.66,0.36,0.44,-4.53,0.66,1,1,0.99968,0.5882762748956936,0.054546516370542725
339,340,2-6-2407,08 02 36.87,-60 47 26.00,0.363,11.199990748440745,16.33,13.88,22,12.02,,53.5,*,-1.52,0.01,73,-2.3,0.37,0.38,-4.59,0.45,1,1,0.999146,0.3291271870772032,0.054546516370542725
340,341,2-6-2478,08 02 39.22,-60 46 20.75,,12.509990748440748,17.56,14.99,9,2.4,,28.6,,-2.0,,127,,0.38,0.39,-4.59,0.26,0,1,0.999899,0.19878211830722767,0.054546516370542725
341,342,2-6-2753,08 02 48.35,-60 47 09.50,10.406,10.319990748440746,15.96,13.9,26,1.19,<,8.0,,-1.43,0.013,65,-0.8,0.29,0.33,-4.66,0.5,1,1,0.999019,0.429781603766682,0.054546516370542725
342,343,2-6-2921,08 02 46.18,-60 43 10.74,,8.729990748440747,14.77,12.92,48,23.16,<,8.0,*,-0.99,,39,,0.09,0.11,-5.16,0.66,0,1,0.999146,0.5866722958807536,0.054546516370542725
343,344,2-6-3335,08 03 06.00,-60 42 53.80,0.85,11.469990748440745,16.57,14.08,18,31.03,,23.6,*,-1.62,0.017,81,-1.98,0.23,0.33,-4.8,0.41,1,1,0.999245,0.2975386015352732,0.054546516370542725
344,345,2-6-3567,08 03 12.91,-60 49 03.98,,10.449990748440745,15.78,13.53,27,4.38,<,8.0,*,-1.33,,58,,0.06,0.0,-5.38,0.52,0,1,0.997667,0.4166002778855955,0.054546516370542725
345,346,2-6-3707,08 03 17.81,-60 49 58.10,3.297,9.149990748440745,15.22,13.31,32,0.3,<,8.0,,-1.18,0.01,49,-1.17,0.5,0.57,-4.4,0.6,1,1,0.998258,0.5459991377513449,0.054546516370542725
346,347,2-6-4103,08 03 29.88,-60 46 51.40,,11.749990748440746,16.52,13.96,12,29.3,,9.8,*,-1.55,,75,,0.08,0.08,-5.29,0.42,0,1,0.999949,0.2707167740397581,0.054546516370542725
347,348,2-6-4162,08 03 32.00,-60 49 11.55,,12.169990748440748,16.89,14.4,7,15.35,,17.0,*,-1.69,,88,,-0.02,-0.02,,0.36,0,1,0.999979,0.2304237209605633,0.054546516370542725
348,349,2-6-4184,08 03 32.16,-60 44 26.20,1.857,11.059990748440745,16.46,14.31,13,0.61,,15.5,,-1.61,0.018,81,-1.64,0.44,0.46,-4.49,0.43,1,1,0.999146,0.3458262292179003,0.054546516370542725
349,350,2-6-429,08 01 34.66,-60 41 49.50,1.179,11.289990748440745,16.47,13.99,14,1.15,,18.8,,-1.59,0.009,79,-1.82,0.23,0.2,-4.79,0.42,1,1,0.999488,0.3183122571608178,0.054546516370542725
350,351,2-6-440,08 01 34.70,-60 43 52.60,2.799,9.409990748440746,15.08,12.96,38,0.3,,8.8,,-1.08,0.012,43,-1.19,0.53,0.61,-4.4,0.62,1,1,0.996487,0.5211263693674996,0.054546516370542725
351,352,2-6-4563,08 03 42.78,-60 44 37.70,1.322,11.709990748440747,16.96,14.66,6,1.14,<,8.0,,-1.8,0.012,99,-1.88,0.16,0.26,-4.95,0.35,1,1,0.99979,0.27433164651523867,0.054546516370542725
352,353,2-6-4584,08 03 43.86,-60 47 47.68,,11.239990748440748,16.61,14.49,11,20.89,<,8.0,*,-1.67,,86,,-0.08,0.02,,0.4,0,1,0.999488,0.32420378680782597,0.054546516370542725
353,354,2-6-494,08 01 36.39,-60 45 27.80,0.489,9.029990748440747,14.96,12.76,39,0.93,,47.8,,-1.04,0.009,42,-1.93,0.76,0.91,-4.24,0.64,1,1,0.996487,0.5573851528425369,0.054546516370542725
354,355,2-6-565,08 01 39.71,-60 47 47.22,,9.739990748440748,15.59,13.6,31,37.99,<,8.0,*,-1.29,,56,,0.05,0.05,-5.39,0.55,0,1,0.999617,0.48869598374404544,0.054546516370542725
355,356,2-6-612,08 01 41.24,-60 44 42.70,1.758,11.059990748440745,16.44,14.13,20,1.04,,12.1,,-1.6,0.018,80,-1.66,0.4,0.44,-4.53,0.43,1,1,0.996487,0.3458262292179003,0.054546516370542725
356,357,2-6-649,08 01 42.37,-60 44 08.80,0.809,12.229990748440747,17.39,15.06,10,0.25,,27.3,,-1.95,0.037,119,-2.17,0.16,0.39,-4.96,0.28,1,1,0.999906,0.2249302679498716,0.054546516370542725
357,358,2-6-93,08 01 22.13,-60 41 38.40,,8.309990748440745,14.29,13.29,54,28.98,<,8.0,*,-0.78,,31,,-0.04,-0.04,,0.73,0,1,0.999986,0.6273448731579131,0.054546516370542725
358,359,2-7-154,08 01 24.96,-60 40 35.03,,12.679990748440746,17.67,15.1,8,3.66,,22.7,,-2.04,,132,,0.36,0.23,-4.62,0.25,0,1,0.999982,0.1874644358795218,0.054546516370542725
359,360,2-7-1803,08 02 18.19,-60 36 50.18,,12.689990748440747,17.59,15.04,8,0.33,,34.0,,-1.99,,125,,0.4,0.42,-4.59,0.26,0,1,0.999955,0.18663947171445625,0.054546516370542725
360,361,2-7-2171,08 02 29.60,-60 40 56.78,,13.149990748440745,17.91,15.27,7,1.7,,38.7,,-2.11,,143,,0.19,0.29,-4.93,0.22,0,1,0.999977,0.15894675247201595,0.054546516370542725
