recno,EPIC,RAJ2000,DEJ2000,Vmago,Ksmag,(V-Ks)o,VmKsu,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Vmag,Gmag,Teff,AG,logL,Mass_calc,Mass_e
1168,203917608,16 27 49.78,-24 25 21.9,,10.16,,12.09,9.12,8.99,2.97,0.4717,,,,"ROph,bronze",yes,Simbad,1,1.0,21.08,13.256068238465817,,,,,0.013866982803217402
1169,203916376,16 27 49.85,-24 25 40.1,,7.3,,7.56,7.03,6.4,0.53,0.4716,,,,"ROph,bronze",no,Simbad,1,0.999968,13.96,7.980484238465815,,,,,0.013866982803217402
1170,205121036,16 27 50.65,-19 18 00.4,,9.31,,4.27,0.0,9.31,4.27,,,,,"USco,bronze",no,Simbad,1,0.999992,13.58,7.2321912384658145,,,,,0.013866982803217402
1171,204271913,16 27 51.40,-22 59 22.2,,12.87,,7.75,2.31,12.57,5.43,,,,,"USco,bronze",no,Simbad,1,0.999996,20.32,12.402956238465816,4035.2,2.7269,-1.5220110133809452,0.7,0.013866982803217402
1172,203853992,16 27 52.08,-24 40 50.3,16.28,8.13,8.15,8.15,4.53,7.54,3.62,1.5516,,,,"ROph,gold",no,Simbad,1,0.999964,15.69,8.983690238465815,,,,,0.013866982803217402
1173,205462610,16 27 52.54,-17 25 35.2,,10.83,,5.28,0.7,10.74,4.58,,,,,"USco,bronze",no,Simbad,1,0.999998,16.02,9.196656238465817,5155.1,2.4091,,,0.013866982803217402
1174,202689729,16 27 54.85,-28 43 39.2,,9.02,,4.12,0.7,8.93,3.42,,,,,"USco,bronze",no,Simbad,1,0.999996,13.05,6.867054238465816,,,,,0.013866982803217402
1175,203904213,16 27 55.25,-24 28 39.5,,10.79,,,7.15,,,1.6727,,,,"ROph,bronze",yes,Simbad,1,0.999982,,13.257838238465816,,,,,0.013866982803217402
1176,203913804,16 27 55.56,-24 26 17.9,14.19,8.9,5.29,5.29,1.07,8.76,4.22,,,,,"ROph,bronze",yes,Simbad,1,0.997667,14.05,7.540522238465815,6820.2,3.675,-0.2728737150388886,1.4847770700636942,0.013866982803217402
1177,203857404,16 27 57.82,-24 40 01.7,,9.87,,12.38,8.76,8.74,3.62,0.7698,,,,"ROph,bronze",maybe,Simbad,1,1.0,21.119999,13.032515238465816,,,,,0.013866982803217402
1178,203652652,16 27 57.92,-25 24 19.0,,10.08,,4.94,0.16,10.06,4.78,6.2327,,,,"USco,gold",no,Simbad,1,0.992964,15.0,8.265111238465815,3476.4,0.563,-1.263444154651091,0.2768571428571429,0.013866982803217402
1179,203821589,16 27 59.96,-24 48 19.2,17.42,9.27,8.15,8.15,2.92,8.89,5.23,0.9105,0.6677,,,"ROph,silver",no,Simbad,1,1.0,17.04,9.412551238465817,,,-1.361211347697449,,0.013866982803217402
1181,203942313,16 28 02.08,-24 19 04.8,,10.7,,8.12,7.13,9.78,0.99,,,,,"ROph,bronze",no,Simbad,1,1.0,17.9,11.229746238465816,6016.0,5.3814,,,0.013866982803217402
1182,203798606,16 28 03.36,-24 53 23.6,,10.49,,7.8,2.18,10.21,5.62,2.3014,,,,"USco,bronze",no,Simbad,1,1.0,18.01,10.390063238465816,,,-1.597222919361493,,0.013866982803217402
1183,203943014,16 28 06.44,-24 18 55.0,,10.86,,8.1,6.73,9.99,1.37,,,,,"ROph,bronze",no,Simbad,1,0.999999,18.09,10.619847238465816,6281.3,4.504,,,0.013866982803217402
1184,204912809,16 28 07.37,-20 17 47.9,,10.06,,4.96,0.7,9.97,4.26,,,,,"USco,bronze",no,Simbad,1,0.999997,14.93,8.492033238465815,6100.0,3.0839,,,0.013866982803217402
1185,202828127,16 28 08.95,-28 12 56.6,,12.11,,7.7,1.31,11.94,6.39,1.1663,,,,"USco,bronze",yes,Simbad,1,0.999999,19.64,11.622988238465815,,,-1.940436572270189,,0.013866982803217402
1186,203925554,16 28 09.21,-24 23 20.7,,7.14,,14.26,11.51,5.66,2.75,,,,,"ROph,bronze",maybe,Simbad,1,1.0,19.92,8.931551238465815,,,,,0.013866982803217402
1187,203409747,16 28 09.52,-26 14 04.9,,12.03,,6.33,0.79,11.93,5.54,0.9422,,,,"USco,bronze",no,Simbad,1,0.999998,18.26,11.059517238465816,,,-1.8877302197391488,,0.013866982803217402
1188,203954277,16 28 10.20,-24 16 01.2,13.66,7.97,5.69,5.69,1.55,7.77,4.15,,,,,"ROph,bronze",no,Simbad,1,0.999964,13.46,6.933677238465815,,,,,0.013866982803217402
1189,205157696,16 28 10.26,-19 06 57.9,,11.44,,5.99,1.51,11.25,4.48,,,,,"USco,bronze",no,Simbad,1,0.989146,17.24,10.408024238465815,,,,,0.013866982803217402
1190,203991803,16 28 10.99,-24 06 17.7,,10.06,,8.54,3.76,9.58,4.78,1.5335,2.1109,,,"ROph,bronze",no,Simbad,1,1.0,18.119999,10.523131238465815,,,-1.5929491973427887,,0.013866982803217402
1191,203781238,16 28 11.00,-24 57 12.8,,9.67,,6.0,1.76,9.44,4.24,4.8086,,,,"USco,bronze",no,Simbad,1,0.999904,15.44,8.630523238465816,3665.2,1.493,,,0.013866982803217402
1192,203901467,16 28 11.08,-24 29 19.7,,10.62,,8.47,6.37,9.8,2.1,,,,,"ROph,bronze",no,Simbad,1,1.0,18.27,11.396449238465816,6883.1,5.7194,,,0.013866982803217402
1193,203979600,16 28 12.15,-24 09 27.4,,7.19,,11.14,6.36,6.37,4.78,,,,,"ROph,bronze",no,Simbad,1,1.0,17.51,9.441621238465816,,,,,0.013866982803217402
1194,203810698,16 28 12.28,-24 50 44.5,,9.56,,9.06,4.28,9.0,4.78,1.4925,3.994,,,"ROph,bronze",no,Simbad,1,1.0,18.060001,9.911340238465815,,,,,0.013866982803217402
