recno,EPIC,RAJ2000,DEJ2000,Vmago,Ksmag,(V-Ks)o,VmKsu,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Vmag,Gmag,Teff,AG,logL,S18_Mass,Tess_Mass,Tess_s_Mass,iso_Mass_calc,iso_Mass_e,rml_Mass_calc,rml_Mass_e
135,205153472,16 00 34.53,-19 08 16.1,,11.46,,6.65,0.42,11.4,6.22,0.761,,,,"USco,bronze",no,Simbad,1,0.999999,18.05,10.632149238465814,,,-1.7825160581393635,0.156,0.51,0.022,,0.013866982803217402,0.10880532755106066,0.009083756291806893
141,203895244,16 00 43.08,-24 30 50.5,,10.77,,5.84,0.2,10.75,5.65,0.5312,0.541,,,"USco,gold",no,Simbad,1,0.999948,16.59,9.447935238465815,,,-1.5406075197009614,0.292,0.584,0.021,,0.013866982803217402,0.2159445666817369,0.009083756291806893
142,203811459,16 00 44.61,-24 50 34.1,,11.74,,6.8,0.53,11.68,6.27,1.4821,0.9133,,,"USco,bronze",no,Simbad,1,0.999998,18.48,10.924805238465815,,,-1.4916049719574258,0.149,0.655,0.044,,0.013866982803217402,,0.0
150,204428324,16 01 10.36,-22 22 27.9,,9.76,,5.98,0.36,9.71,5.62,0.325,0.5604,,,"USco,gold",no,Simbad,1,0.999937,15.690001,8.472259238465815,3480.3,1.0466,,0.301,,,,0.013866982803217402,0.36765912090396763,0.009083756291806893
158,204317321,16 01 29.84,-22 48 38.8,,10.49,,6.42,0.51,10.42,5.91,1.9313,1.0656,,,"USco,gold",no,Simbad,1,0.999937,16.84,9.470086238465814,,,-1.412625831421239,0.217,0.651,0.021,,0.013866982803217402,0.21268760230206601,0.009083756291806893
162,204897050,16 01 40.97,-20 22 08.3,,10.86,,6.55,0.75,10.77,5.8,0.2639,,,,"USco,gold",no,Simbad,1,0.999999,17.32,10.045492238465815,,,-1.6185239047456583,0.247,0.593,0.022,,0.013866982803217402,0.15145119141056512,0.009083756291806893
164,203853244,16 01 47.68,-24 41 01.3,,13.01,,6.56,0.48,12.94,6.08,0.6493,,,,"USco,gold",no,Simbad,1,0.999998,19.5,12.001524238465816,,,-2.127843732072752,0.181,0.316,0.023,,0.013866982803217402,,0.0
165,204435603,16 01 49.50,-22 20 45.5,,12.42,,6.79,0.46,12.36,6.33,1.5936,,,,"USco,bronze",no,Simbad,1,0.999999,19.15,11.510998238465817,,,-2.0381045310939245,0.14,0.363,0.024,,0.013866982803217402,,0.0
166,204054129,16 01 49.54,-23 51 08.5,,11.93,,6.32,0.59,11.85,5.72,0.5272,0.6122,,,"USco,bronze",no,Simbad,1,0.999998,18.17,10.838709238465814,,,-1.8265223455832305,0.269,0.458,0.028,,0.013866982803217402,,0.0
175,204388640,16 02 04.29,-22 31 47.0,,11.55,,8.82,2.7,11.2,6.12,2.6268,,,,"USco,bronze",yes,Simbad,1,0.998613,20.02,11.625143238465814,3312.7,0.038,-1.4634415426794882,0.172,0.489,0.022,0.19927444794952676,0.013866982803217402,,0.0
176,204791347,16 02 04.29,-20 50 42.8,18.6,11.83,6.77,6.77,0.76,11.73,6.02,0.4224,0.245,,,"USco,gold",maybe,Simbad,1,0.999999,18.5,11.140801238465816,,,-1.9457700853500977,0.192,0.434,0.022,,0.013866982803217402,,0.0
181,204258708,16 02 09.54,-23 02 27.9,,11.83,,6.18,0.23,11.8,5.95,0.4837,,,,"USco,bronze",no,Simbad,1,0.999994,17.98,10.642355238465814,3369.7,1.0468,-1.792634967621407,0.207,0.465,0.022,0.22604761904761897,0.013866982803217402,0.10823765221853122,0.009083756291806893
183,204948308,16 02 10.95,-20 07 49.8,,11.42,,6.19,0.57,11.34,5.63,0.9397,,,,"USco,gold",no,Simbad,1,0.999996,17.53,10.264076238465815,3419.3,1.157,-1.686554644076269,0.299,0.526,0.022,0.24966666666666676,0.013866982803217402,0.13351292722448513,0.009083756291806893
186,203863529,16 02 14.88,-24 38 32.9,,11.15,,6.12,0.35,11.1,5.77,0.2543,0.3215,,,"USco,silver",no,Simbad,1,0.999998,17.220001,10.058900238465815,,,-1.8178707897507584,0.257,0.469,0.022,,0.013866982803217402,0.15030263140620803,0.009083756291806893
188,204271115,16 02 23.56,-22 59 33.5,,11.03,,6.38,0.28,11.0,6.1,1.0184,,,,"USco,gold",no,Simbad,1,0.999998,17.380001,9.987497238465815,,,-1.7476324813126387,0.177,0.514,0.022,,0.013866982803217402,0.156239604661168,0.009083756291806893
190,203629401,16 02 24.41,-25 29 12.5,,12.47,,6.43,0.28,12.43,6.15,0.4951,,,,"USco,bronze",no,Simbad,1,0.999997,18.86,11.395039238465817,,,-2.0925886361178163,0.169,0.335,0.022,,0.013866982803217402,,0.0
192,204417649,16 02 25.97,-22 24 57.7,,11.65,,6.18,0.23,11.62,5.96,1.435,,,,"USco,bronze",no,Simbad,1,0.999995,17.8,10.462141238465817,3331.2,0.9338,-1.7265357281647489,0.206,0.503,0.024,0.20771428571428563,0.013866982803217402,0.11985198764445443,0.009083756291806893
