,recno,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,single,G,AG,Gmag,Mass_calc,Mass_e
96,98,Par 1564,9.68,0.002,9.69,0.002,9.57,0.006,9.43,0.015,4.61,K8,R01,H,Parenago 1564,05 34 41.0,-05 45 17.4,1,13.203361,2.0066,3.1117582943955036,0.0,0.0
97,99,Par 1550,10.51,0.003,10.31,0.003,10.05,0.016,9.04,0.032,7.08,,,,Parenago 1550,05 34 41.8,-04 53 46.2,1,14.956728,,,0.0,0.0
98,100,R01- 1406,12.81,0.011,12.66,0.011,12.6,0.032,12.37,0.091,1.64,M4,R01,L,[R2001]  1406,05 34 42.0,-05 02 24.9,1,17.016937,0.7706,8.161336294395506,0.3050495133007021,0.0896731857449002
99,101,R01- 1407,12.04,0.007,11.75,0.007,11.23,0.013,10.5,0.026,3.3,,,,[R2001]  1407,05 34 42.0,-05 04 31.8,1,17.845938,,,0.0,0.0
100,102,Par 1569,9.84,0.003,9.88,0.003,9.84,0.03,9.58,0.125,4.1,K6,H97,H,Parenago 1569,05 34 43.0,-05 20 07.0,1,14.073436,,,0.0,0.0
101,103,R01- 1415,11.43,0.005,11.52,0.007,11.45,0.016,11.41,0.031,14.14,M2,R01,H,[R2001]  1415,05 34 43.1,-06 12 38.9,1,15.186908,0.5265,6.5754062943955045,0.6008704654714043,0.0896731857449002
102,104,JW 70,11.72,0.006,11.63,0.007,11.66,0.028,11.84,0.139,1.5,M5,H97,L,JW 70,05 34 44.4,-05 26 06.1,1,16.850363,,,0.0,0.0
103,105,R01- 1428,11.99,0.007,12.07,0.01,11.92,0.022,12.02,0.055,5.53,M4,R01,L,[R2001]  1428,05 34 44.4,-05 56 14.9,1,15.994729,0.5586,7.3511272943955035,0.4561764847532163,0.0896731857449002
104,106,Par 1567,10.7,0.004,10.73,0.004,10.69,0.021,10.51,0.086,1.63,K4,R01,H,Parenago 1567,05 34 44.5,-04 42 14.6,1,13.296471,0.4086,4.802869294395505,0.931498918865332,0.0896731857449002
105,107,JW 73,9.85,0.002,9.08,0.002,8.65,0.004,7.78,0.009,2.23,M1,H97,H,JW 73,05 34 44.7,-05 33 42.2,1,15.839243,,,0.0,0.0
106,108,R01- 1432,11.57,0.006,11.14,0.005,10.88,0.018,10.45,0.069,4.22,,,,[R2001]  1432,05 34 44.8,-04 56 40.8,1,16.722626,0.6953,7.942325294395504,0.34590128012104,0.0896731857449002
107,109,R01- 1435,12.78,0.01,12.74,0.012,12.71,0.068,12.25,0.19,2.03,M4.5,R01,L,[R2001]  1435,05 34 45.0,-04 55 39.4,1,17.09158,0.8977,8.108878294395504,0.31483441900632975,0.0896731857449002
108,110,Par 1587,8.93,0.003,9.0,0.004,8.95,0.004,8.78,0.019,3.45,K2,H97,H,Parenago 1587,05 34 45.2,-05 25 04.1,1,12.209391,1.4325,2.691889294395505,0.0,0.0
109,111,Par 1584,11.13,0.004,11.05,0.005,11.16,0.012,10.96,0.02,20.6,,,,Parenago 1584,05 34 45.5,-05 02 07.9,1,14.89719,,,0.0,0.0
110,112,JW 76,10.65,0.004,10.79,0.005,10.52,0.03,10.3,0.129,6.33,M4,H97,L,JW 76,05 34 45.6,-05 29 21.0,1,15.098366,,,0.0,0.0
111,113,R01- 1447,10.71,0.003,10.89,0.005,10.22,0.007,8.83,0.004,11.06,M3.5,R01,L,[R2001]  1447,05 34 45.9,-05 41 09.7,1,15.72539,,,0.0,0.0
112,114,JW 79,12.28,0.009,12.2,0.011,12.16,0.06,11.55,0.176,2.14,M4.5,H97,L,JW 79,05 34 46.1,-05 37 31.2,1,17.088572,,,0.0,0.0
113,115,Par 1600,10.35,0.003,10.46,0.004,10.19,0.021,9.71,0.073,4.41,M0,H97,H,Parenago 1600,05 34 46.4,-05 24 31.9,1,14.406723,,,0.0,0.0
114,116,R01- 1457,10.78,0.004,10.73,0.004,10.74,0.023,10.72,0.109,0.72,,,,[R2001]  1457,05 34 46.4,-04 54 02.1,1,18.359098,5.3876,4.886496794395503,0.915900016852339,0.0896731857449002
115,117,JW 83,10.17,0.005,9.71,0.004,9.12,0.025,8.14,0.055,7.4,M2,H97,H,JW 83,05 34 46.6,-05 23 25.6,1,16.369326,5.386,2.898324294395504,0.0,0.0
116,118,R01- 1461,11.76,0.006,11.72,0.007,11.62,0.03,11.49,0.133,5.6,M2.5,R01,L,[R2001]  1461,05 34 46.7,-04 57 44.1,1,15.480432,0.4958,6.899630294395504,0.5403934883042949,0.0896731857449002
117,119,Par 1593,11.06,0.004,11.02,0.005,11.03,0.012,10.88,0.024,13.07,,,,Parenago 1593,05 34 46.8,-04 59 12.4,1,16.809671,1.0695,7.655169294395504,0.3994640233321068,0.0896731857449002
118,120,Par 1606,10.06,0.002,10.15,0.003,10.02,0.009,9.86,0.038,3.25,M1.5,H97,H,Parenago 1606,05 34 46.9,-05 35 07.9,1,14.463654,4.3035,2.0751512943955035,0.0,0.0
119,121,Par 1616,10.9,0.003,10.93,0.004,10.9,0.01,10.97,0.025,11.44,,,,Parenago 1616,05 34 47.5,-05 46 30.1,1,16.0043,,,0.0,0.0
120,122,R01- 1471,10.58,0.003,10.49,0.004,10.35,0.025,9.42,0.055,12.46,,,,[R2001]  1471,05 34 47.6,-04 50 01.4,1,16.58563,3.959,4.541629294395504,0.9802275926053972,0.0896731857449002
121,123,Par 1756,10.35,0.002,10.35,0.003,10.4,0.008,10.4,0.031,4.18,,,,Parenago 1756,05 34 47.6,-05 43 50.7,1,12.716104,0.3753,4.2558012943955035,0.0,0.0
122,124,R01- 1473,10.66,0.003,10.11,0.003,9.86,0.005,9.25,0.005,3.67,,,,[R2001]  1473,05 34 47.7,-06 19 40.1,2,15.269289,,,0.0,0.0
123,125,Par 1604,10.92,0.005,10.71,0.005,10.26,0.03,8.99,0.053,17.08,M4,H97,L,Parenago 1604,05 34 47.9,-05 30 46.6,1,14.818172,,,0.0,0.0
124,126,JW 93,11.24,0.004,11.18,0.005,11.23,0.019,11.63,0.129,5.89,M4.5,H97,L,JW 93,05 34 47.9,-05 35 43.8,1,17.125353,,,0.0,0.0
125,127,CHS 5742,11.6,0.004,11.09,0.005,10.78,0.008,10.15,0.01,7.09,,,,[CHS2001] 5742,05 34 47.9,-06 21 41.8,1,17.222588,,,0.0,0.0
126,128,Par 1599,10.03,0.002,9.89,0.003,9.69,0.005,8.87,0.004,9.25,,,,Parenago 1599,05 34 47.9,-05 04 55.0,1,14.832779,,,0.0,0.0
127,129,R01- 1480,12.19,0.007,12.23,0.009,12.28,0.022,12.2,0.025,2.75,,,,[R2001]  1480,05 34 48.1,-06 18 11.6,1,16.096434,0.5543,7.457131294395504,0.4364037304613874,0.0896731857449002
128,130,Par 1598,9.59,0.003,9.63,0.003,9.52,0.018,9.42,0.032,6.82,M1,R01,H,Parenago 1598,05 34 48.2,-04 47 40.1,1,13.39537,,,0.0,0.0
