col1,recno,ID,m_ID,Parenago,Mem,Rproj,Imag,l_V-I,VmI,V,Vmag,logT,SpT_1,AV,log(L),R,M,log(age),Simbad_1,RAJ2000,DEJ2000,single,Name,SpT_2,e_SpT,ref1,Teff,logL,M*,e_M*_2,E_M*_2a,Age,e_Age_2,E_Age_2a,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad_2,_RA,_DE,Separation,Mass_calc,Mass_e
203,66,11,,,99.0,11.78,15.22,,3.58,18.8,10.714998294395505,3.465,M6-M6.5(H),0.0,-0.62,1.92,0.11,4.49,Simbad,05 34 29.92,-05 25 17.12,1,2MASS J05342999-0525173,M6.25,1.0,H,2762.5,-0.82,,,,,,,1.7,0.26,1.74,opt,R09,2.0,,b,Simbad,83.62497,-5.42149,1.1141612325280448,0.1295016073510662,0.05236065508113028
204,67,10,,1481.0,,16.36,13.69,,2.55,16.24,5.144998294395505,3.633,K5-K6e(H),3.01,0.23,2.36,0.59,5.66,Simbad,05 34 30.17,-05 11 48.01,1,IS Ori,K5.5,1.0,H,4080.0,0.113,0.78,0.17,0.18,1.3,0.5,0.8,2.28,0.31,8.66,opt,H02,2.0,,,Simbad,83.62603,-5.19672,1.1675131378174348,0.8278946584833516,0.05236065508113028
205,70,3063,,,,11.59,16.25,,3.24,19.49,11.114997294395502,3.5,M4.5(H),0.29,-1.23,0.81,0.13,6.35,Simbad,05 34 30.41,-05 21 55.50,1,2MASS J05343048-0521560,M5.5,2.0,H13,2840.0,-1.332,,,,,,,0.89,0.28,0.72,opt,R09,2.0,,b,Simbad,83.627,-5.36557,1.1821860567362388,0.11359594728160012,0.05236065508113028
206,72,15,,,99.0,11.43,14.07,,2.66,16.73,6.894998294395505,3.562,M1(H),1.75,-0.18,2.04,0.3,5.7,Simbad,05 34 31.08,-05 21 55.72,1,V1435 Ori,M1,1.0,H,3630.0,-0.361,0.41,0.06,0.1,1.7,0.4,1.3,1.67,0.23,0.9,opt,R09,2.0,N,,Simbad,83.62975,-5.36553,0.9155661798544692,0.45145670070129706,0.05236065508113028
207,73,17,,,99.0,12.58,13.54,,3.0,16.54,8.224999294395504,3.509,M4(H),0.23,-0.2,2.53,0.16,4.39,Simbad,05 34 31.20,-05 28 54.52,1,2MASS J05343128-0528548,M4,1.0,H,3160.0,-0.283,0.24,0.09,0.12,0.5,0.43,0.9,2.41,0.5,3.14,opt,H02,,,g,Simbad,83.63037,-5.48189,1.3559824176666595,0.3078526177315459,0.05236065508113028
208,76,18,,,99.0,12.3,14.42,,2.66,17.08,7.894998294395505,3.544,M2(H),1.1,-0.46,1.6,0.29,5.91,Simbad,05 34 31.60,-05 28 26.52,1,V1975 Ori,M2,1.0,H,3490.0,-0.587,0.35,0.07,0.07,2.5,0.7,1.2,1.39,0.19,5.29,opt,R09,2.0,,,Simbad,83.632,-5.47414,1.2547316652098008,0.3394283475719861,0.05236065508113028
209,78,20,,,99.0,11.6,13.79,,2.67,16.46,8.374998294395505,3.518,M3.5(H),0.0,-0.4,1.93,0.2,5.28,Simbad,05 34 31.83,-05 26 36.52,1,2MASS J05343190-0526368,K8,1.0,H13,3940.0,-0.028,0.62,0.05,0.08,1.3,0.3,0.7,2.08,0.25,0.67,opt,H02,3.0,,,Simbad,83.63292,-5.44356,1.0978662173985156,0.29318396999651525,0.05236065508113028
210,79,3115,,,,11.93,15.74,,3.68,19.42,8.434998294395504,3.526,M3(H),2.9,-0.5,1.66,0.23,5.87,Simbad,05 34 31.94,-05 27 42.25,1,V1978 Ori,M3.5,1.0,H13,3260.0,-0.665,0.26,0.1,0.09,2.3,1.4,1.2,1.46,0.27,0.85,opt,H02,2.0,,,Simbad,83.63342,-5.46184,1.2631357686232805,0.28721875699467886,0.05236065508113028
211,83,25,,,99.0,10.8,15.22,,2.54,17.76,9.674998294395506,3.5,M4.5(H),0.0,-0.88,1.21,0.14,6.05,Simbad,05 34 33.51,-05 22 08.62,1,2MASS J05343357-0522087,M4.5,1.0,H13,3020.0,-1.044,0.13,0.06,0.09,3.1,2.8,1.9,1.1,0.22,2.28,opt,H02,2.0,,,Simbad,83.63987,-5.36911,0.8955941278697566,0.1718016080487099,0.05236065508113028
212,91,32,,,99.0,12.09,14.66,,2.83,17.49,9.404998294395503,3.509,M4(H),0.0,-0.71,1.41,0.17,5.99,Simbad,05 34 35.61,-05 29 51.72,1,2MASS J05343569-0529520,M4,1.0,H13,3160.0,-0.837,0.21,0.09,0.11,2.8,2.3,1.7,1.27,0.27,4.78,opt,R09,3.0,N,,Simbad,83.64871,-5.49778,1.2345160596733984,0.1923658831684281,0.05236065508113028
213,94,35,,1524.0,33.0,16.33,12.9,,2.44,15.34,,,,,,,,,Simbad,05 34 36.42,-05 36 17.42,1,V759 Ori,M3,1.0,H13,3360.0,-0.204,0.3,0.06,0.11,1.1,0.9,0.2,2.34,0.39,5.99,opt,H02,,,g,Simbad,83.65225,-5.60478,1.8038953693902744,0.0,0.0
214,95,36,,,99.0,12.54,14.29,,3.08,17.369999,7.924996294395504,3.526,M3e(H),1.36,-0.3,2.1,0.21,5.15,Simbad,05 34 37.01,-05 31 08.52,1,V1992 Ori,M3.5e,1.0,H13,3260.0,-0.459,0.27,0.1,0.08,1.5,1.3,0.5,1.85,0.35,2.72,opt,H02,2.0,A,,Simbad,83.65458,-5.51917,1.4197704071263662,0.3368219037988993,0.05236065508113028
