recno,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,single,G,AG,Gmag
177,CHS 6568,9.93,0.003,9.61,0.002,9.37,0.006,9.02,0.029,6.19,,,,[CHS2001] 6568,05 34 56.8,-04 46 04.8,1,14.892733,2.2352,12.657533
178,JW 169,11.04,0.005,10.73,0.006,10.37,0.031,9.77,0.069,3.82,,,,JW 169,05 34 56.9,-05 22 06.3,1,17.33208,,
179,R01- 1603,11.81,0.007,11.72,0.009,11.64,0.021,11.59,0.074,5.99,M2.5,R01,L,[R2001]  1603,05 34 57.2,-05 42 02.8,1,15.521493,0.4934,15.028093
180,JW 175,10.51,0.009,10.03,0.008,9.49,0.052,8.06,0.069,9.19,M3,H97,L,JW 175,05 34 57.8,-05 22 51.2,1,15.652281,,
181,JW 177,10.45,0.004,10.06,0.004,9.8,0.028,9.58,0.132,9.09,M0,H97,H,JW 177,05 34 58.0,-05 17 37.7,1,16.020409,1.9456,14.074808
182,JW 178,10.91,0.004,10.83,0.004,10.97,0.029,10.8,0.124,1.27,M2,H97,H,JW 178,05 34 58.2,-05 09 27.6,1,15.492446,4.3728,11.119646
183,CHS 6721,11.16,0.004,11.0,0.004,10.9,0.014,10.98,0.07,4.42,,,,[CHS2001] 6721,05 34 58.3,-05 38 25.7,1,18.922098,5.2139,13.708199
184,JW 186,11.18,0.004,10.69,0.004,10.49,0.018,9.7,0.04,6.03,M2.5,H97,H,JW 186,05 34 58.5,-05 32 49.9,1,17.60719,,
185,R01- 1630,8.48,0.002,7.99,0.002,7.5,0.002,6.89,0.004,14.19,,,,[R2001]  1630,05 34 59.2,-05 44 55.3,1,17.234146,4.6416,12.592546
186,R01- 1632,10.97,0.003,10.75,0.004,10.76,0.012,10.45,0.039,5.59,,,,[R2001]  1632,05 34 59.3,-05 05 30.0,1,15.542288,,
187,Par 1686,10.02,0.005,9.45,0.003,9.09,0.021,8.33,0.055,8.73,M2,H97,H,Parenago 1686,05 34 59.6,-05 25 40.0,1,15.026439,,
188,JW 194,12.51,0.01,12.33,0.012,11.9,0.048,10.91,0.098,13.87,M5.5,H97,L,JW 194,05 35 00.4,-05 09 44.1,1,17.44552,,
189,JW 200,11.21,0.009,10.82,0.005,10.49,0.05,9.31,0.086,3.11,M2.5,H97,H,JW 200,05 35 00.9,-05 31 05.9,1,17.540552,,
190,JW 210,9.53,0.006,9.07,0.003,8.53,0.026,7.41,0.049,9.96,K6-K8,H97,H,JW 210,05 35 01.3,-05 20 22.1,1,15.604229,,
191,Par 1715,10.8,0.003,10.85,0.004,10.79,0.012,10.81,0.032,2.04,M0,R01,H,Parenago 1715,05 35 01.4,-05 55 54.8,1,14.249749,,
192,Par 1693,11.14,0.004,11.21,0.006,11.14,0.029,11.11,0.129,2.83,M1.5,H97,H,Parenago 1693,05 35 01.4,-05 09 32.6,1,14.908166,,
193,R01- 1659,11.28,0.005,11.19,0.007,11.3,0.033,10.61,0.09,5.44,M3,R01,L,[R2001]  1659,05 35 02.0,-04 41 14.5,1,17.445812,,
194,JW 222,9.77,0.004,9.48,0.003,9.11,0.027,8.7,0.093,5.06,M2,H97,H,JW 222,05 35 02.2,-05 29 09.9,1,16.897308,,
195,Par 1692,11.33,0.006,11.36,0.009,11.33,0.03,11.43,0.193,5.42,M2.5,R01,L,Parenago 1692,05 35 02.4,-04 49 16.2,2,15.69877,,
196,R01- 1663,9.79,0.003,9.87,0.005,9.79,0.008,9.73,0.031,6.96,,,,[R2001]  1663,05 35 02.7,-04 49 29.3,1,13.969032,,
197,JW 228,12.45,0.012,12.17,0.012,11.62,0.071,10.24,0.123,3.22,M5,H97,L,JW 228,05 35 02.8,-05 32 02.8,1,17.844366,,
198,Par 1741,11.32,0.004,11.35,0.006,11.4,0.015,11.28,0.022,6.41,,,,Parenago 1741,05 35 02.9,-06 05 25.2,1,14.846787,,
199,JW 229,10.88,0.007,10.73,0.009,10.64,0.063,10.01,0.184,7.75,M1.5,H97,H,JW 229,05 35 03.2,-05 18 29.9,1,15.435377,,
