,recno,ID,m_ID,Parenago,Mem,Rproj,Imag,l_V-I,VmI,V,Vmag,logT,SpT_1,AV,log(L),R,M,log(age),Simbad_1,RAJ2000,DEJ2000,single,recno_2,Name,SpT_2,e_SpT,ref1,Teff,logL,M*,e_M*_2,E_M*_2a,Age,e_Age_2,E_Age_2a,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad_2,_RA,_DE,Separation,Mass_calc,Mass_e
433,527,402,,,99,10.71,15.27,,3.73,19,10.5249982943955,3.483,M5.5(H),0.39,-0.7,1.62,0.12,4.92,Simbad,05 35 12.95,-05 34 03.22,1,579,V2231 Ori,M5.5,1,H,2840,-0.928,,,,,,,1.42,0.25,6.71,opt,R09,2,A,b,Simbad,83.80433,-5.56766,1.37845150443353,0.136692189351101,0.0791312828659902
434,528,9029,,,,1.42,14.21,,3.28,17.49,9.0049982943955,3.5,M4.5(H),0.4,-0.38,2.15,0.15,4.73,Simbad,05 35 12.96,-05 22 14.78,1,323,2MASS J05351304-0522151,M4.5,1,H,3020,-0.496,0.2,0.09,0.07,0.5,0.42,1.4,2.06,0.41,0.86,opt,R09,,N,"e,g",Simbad,83.80425,-5.37092,1.04207838493441,0.229715296612923,0.0791312828659902
435,531,9032,,,,2.32,15.64,,3.82,19.460001,7.6849982943955,3.535,M2.5e(H),3.69,-0.3,2.02,0.23,5.34,Simbad,05 35 13.03,-05 21 13.01,1,385,V2232 Ori,M5,1,H13,2880,-0.842,0.12,0.05,0.08,0.5,0.3,2.4,1.53,0.34,6.58,opt,R09,,A,g,Simbad,83.8045,-5.35372,0.838765260850371,0.359336595432097,0.0791312828659902
436,537,401,,,99,1.75,12.51,,2.59,15.1,2.5949982943955,3.719,K0-K2e(H)<M0(Sam),4.42,1.04,4.02,2.42,5.85,Simbad,05 35 13.11,-05 24 54.92,1,4,V2235 Ori,K1,1,H,4920,0.917,2.47,0.27,0.2,1.4,0.5,0.8,3.96,0.52,17.91,opt,H02,2,A,"a,d",Simbad,83.805,-5.4154,1.44106480432215,,0
437,543,414,,,99,13.91,15.92,,,,,,,,,,,,Simbad,05 35 13.23,-05 37 16.02,1,499,2MASS J05351331-0537158,M5.5,1,H13,2840,,,,,,,,,,0.87,opt,R09,3,,c,Simbad,83.8055,-5.62106,1.35890796319782,,0
438,548,406,,,99,6.25,13.88,,3.41,17.29,5.5349992943955,3.562,M1(H),3.67,0.37,3.83,0.21,3.91,Simbad,05 35 13.36,-05 17 10.12,1,127,V1327 Ori,M1,1,H,3630,0.183,0.41,0.07,0.14,0.6,0.51,0.2,3.12,0.43,2.26,opt,S99,2,N,,Simbad,83.80607,-5.28621,1.46495894402369,0.715128095812663,0.0791312828659902
439,549,416,,,99,7.46,14.09,,2.72,16.81,8.70499729439551,3.518,M3.5(H),0.02,-0.52,1.7,0.21,5.81,Simbad,05 35 13.38,-05 30 47.72,1,289,V1493 Ori,M3.5,1,H,3260,-0.604,0.24,0.07,0.12,2,1.4,0.9,1.57,0.29,2.11,opt,P09,3,N,,Simbad,83.80617,-5.51337,1.56037978421573,0.259963468565763,0.0791312828659902
440,552,408,,,99,6.14,15.35,,3.47,18.82,8.3649982943955,3.526,M3(H),2.37,-0.48,1.71,0.23,5.83,Simbad,05 35 13.41,-05 17 17.22,1,201,2MASS J05351351-0517173,M3,1,H,3360,-0.566,0.31,0.09,0.08,2,0.5,1,1.54,0.26,3.03,opt,R09,3,N,,Simbad,83.8063,-5.28815,1.5282067156017,0.294587554366596,0.0791312828659902
441,553,411,,1820,99,1.29,13.54,,2.59,16.13,6.7049972943955,3.555,M1.4(P),1.34,-0.06,2.41,0.26,5.01,Simbad,05 35 13.42,-05 22 19.22,1,150,[FW2011] J053513.515-052219.340,M1.4,1,P,3574,-0.228,0.38,0.07,0.1,1.2,0.2,0.5,2.01,0.28,,,,,,f,Simbad,83.80629,-5.37211,1.38992052210639,0.477923251802036,0.0791312828659902
442,554,415,,,99,4.16,14.25,,3.04,17.29,7.94499829439551,3.526,M3(H),1.26,-0.31,2.08,0.21,5.18,Simbad,05 35 13.43,-05 27 28.22,1,224,2MASS J05351352-0527286,M3,1,H,3360,-0.395,0.29,0.06,0.09,1.4,0.6,0.5,1.88,0.31,2.05,opt,R09,,N,g,Simbad,83.80637,-5.45796,1.5383596598115,0.33493579483173,0.0791312828659902
