recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,I07,single,Mass,s_Mass,Lum,s_Lum,Gmag,Teff,Mass_calc,Mass_e
365,2-7-2526,08 02 40.76,-60 37 36.43,,19.68,16.85,14.5,12,0.33,,26.0,,-1.73,,92,,0.06,0.03,-5.41,0,1,0.427,0.035,0.01684,0.00572,18.390177,3521.8,0.39451327433628336,0.009349559060936414
366,2-7-2687,08 02 46.14,-60 37 15.10,1.516,19.83,17.05,14.72,7,0.07,,12.0,,-1.82,0.024,102,-1.83,0.27,0.24,-4.72,1,1,0.32,0.033,0.01168,0.00402,18.556952,3334.1,0.24746753246753242,0.009349559060936414
367,2-7-28,08 01 20.29,-60 34 02.70,0.664,18.25,15.96,13.74,5,2.49,,32.4,,-1.43,0.02,65,-1.99,0.6,0.63,-4.35,1,1,0.496,0.025,0.03427,0.00909,17.291904,3583.9,0.43472049689441,0.009349559060936414
368,2-7-2821,08 02 51.36,-60 41 02.51,,18.82,16.23,14.11,21,4.25,<,8.0,*,-1.51,,72,,-0.01,0.0,,0,1,0.346,0.024,0.01421,0.00398,17.668058,3461.6,0.34123893805309724,0.009349559060936414
369,2-7-2941,08 02 55.15,-60 39 24.50,6.881,16.72,14.92,13.02,37,0.71,<,8.0,,-1.07,0.036,43,-0.8,0.34,0.41,-4.56,1,1,0.594,0.021,0.07741,0.01746,16.035685,4155.0,0.7,0.009349559060936414
370,2-7-432,08 01 33.39,-60 34 22.24,,15.86,14.63,12.86,12,1.8,<,8.0,,-0.93,,37,,0.05,0.17,-5.44,0,1,0.67,,0.13196,,15.656514,4342.8,0.9,0.009349559060936414
371,2-7-495,08 01 36.44,-60 41 05.51,,18.72,15.94,13.57,27,3.73,<,8.0,*,-1.37,,61,,0.1,0.04,-5.17,0,1,0.23,0.021,0.00632,0.00172,17.428093,3309.4,0.23142857142857148,0.009349559060936414
372,2-7-533,08 01 37.96,-60 40 51.23,,21.12,18.12,15.67,6,3.22,,30.7,,-2.22,,161,,0.33,0.25,-4.66,0,1,,,,,19.698824,,,0.009349559060936414
373,2-8-226,08 01 27.59,-60 31 40.97,,16.64,14.72,13.55,21,43.8,<,8.0,*,-0.96,,38,,-0.08,-0.05,,0,1,,,,,15.585911,5880.0,1.094478527607362,0.009349559060936414
374,3-1-1124,07 51 39.09,-61 06 40.95,,20.81,17.94,15.39,6,58.81,<,8.0,*,-2.16,,152,,-0.02,-0.21,,0,1,,,,,19.549976,,,0.009349559060936414
