Unnamed: 0,recno,RAJ2000_x,DEJ2000_x,i'mag_x,Per_x,Power_x,l_FAP_x,FAP_x,Amp_x,M13_Mass,bin_x,Vmag_x,Icmag_x,Jmag_x,Hmag_x,Kmag_x,Mmb_x,XH_x,PSS_x,M13_single,M13_Mass_calc,M13_Mass_e,RAJ2000_y,DEJ2000_y,i'mag_y,Per_y,Power_y,l_FAP_y,FAP_y,Amp_y,bin_y,Vmag_y,Icmag_y,Jmag_y,Hmag_y,Kmag_y,Mmb_y,XH_y,PSS_y,Tess_single,Tess_Mass,s_Mass,s_Lum,logL,Teff,Tess_Mass_calc,Tess_Mass_e,Age_calc (Myr),Age_e (Myr),Mass_calc,Mass_e
37,38,02 19 57.71,+57 10 37.4,16.58,8.47,367.2,<,0.001,0.012,1.33,1,17.56,16.13,15.19,14.67,2.6913608199120347,1.0,,0.999997,1,1.220159819470653,0.0037941954566645,02 19 57.71,+57 10 37.4,16.58,8.47,367.2,<,0.001,0.012,1.0,17.56,16.13,15.19,14.67,14.5,1.0,,0.999997,1.0,0.89,,,0.0447631215857335,,,0.0186945933377917,,,,
38,39,02 18 03.08,+57 16 15.9,18.6,2.12,364.8,<,0.001,0.066,0.93,1,20.1,18.08,16.56,15.77,3.711360819912034,1.0,,0.999995,1,0.8758303919827325,0.0037941954566645,02 18 03.08,+57 16 15.9,18.6,2.12,364.8,<,0.001,0.066,1.0,20.1,18.08,16.56,15.77,15.52,1.0,,0.999995,1.0,0.68,,,-0.5580379299114717,,,0.0186945933377917,,,,
39,40,02 19 21.38,+57 05 14.6,16.93,2.42,364.7,<,0.001,0.023,1.28,1,18.09,16.5,15.34,14.82,2.851360819912035,3.0,X,0.999997,1,1.1829827640366506,0.0037941954566645,02 19 21.38,+57 05 14.6,16.93,2.42,364.7,<,0.001,0.023,1.0,18.09,16.5,15.34,14.82,14.66,3.0,X,0.999997,1.0,0.85,,,0.1061432821024218,4651.0,0.8102094240837697,0.0186945933377917,3.37,1.552,1.2272,0.1085
40,41,02 18 30.58,+57 04 54.0,16.74,3.88,364.5,<,0.001,0.022,1.3,1,17.86,16.42,15.3,14.76,2.7713608199120348,3.0,X,0.999994,1,1.2043149967755686,0.0037941954566645,02 18 30.58,+57 04 54.0,16.74,3.88,364.5,<,0.001,0.022,1.0,17.86,16.42,15.3,14.76,14.58,3.0,X,0.999994,1.0,0.85,,,0.1266573094055292,5029.8,0.9104985337243402,0.0186945933377917,8.754,3.225,1.2873,0.0785
41,42,02 18 58.25,+57 01 40.5,17.52,1.88,364.4,<,0.001,0.066,1.17,1,,,15.85,15.26,3.261360819912035,,X,0.999997,1,1.0567749008252008,0.0037941954566645,02 18 58.25,+57 01 40.5,17.52,1.88,364.4,<,0.001,0.066,1.0,,,15.85,15.26,15.07,,X,0.999997,1.0,0.76,,,-0.0944523588397493,4239.2,0.9,0.0186945933377917,2.43,1.059,0.8653,0.1232
42,43,02 19 45.54,+57 02 53.5,17.73,1.6,364.1,<,0.001,0.032,1.14,2,18.97,17.18,15.88,15.11,3.081360819912036,3.0,X,0.999993,1,1.1161395463568444,0.0037941954566645,02 19 45.54,+57 02 53.5,17.73,1.6,364.1,<,0.001,0.032,2.0,18.97,17.18,15.88,15.11,14.89,3.0,X,0.999993,1.0,,,,,4599.5,,0.0186945933377917,,,,
43,44,02 18 31.49,+57 06 39.6,18.14,5.24,363.3,<,0.001,0.044,1.04,1,19.54,17.73,16.33,15.65,3.651360819912036,1.0,,0.999989,1,0.8990916506072822,0.0037941954566645,02 18 31.49,+57 06 39.6,18.14,5.24,363.3,<,0.001,0.044,1.0,19.54,17.73,16.33,15.65,15.46,1.0,,0.999989,1.0,,,,,3643.7,,0.0186945933377917,,,,
44,45,02 18 03.02,+57 06 37.3,16.56,2.55,360.7,<,0.001,0.03,1.33,2,17.74,16.07,14.78,14.1,2.101360819912035,3.0,X,0.999983,1,,0.0,02 18 03.02,+57 06 37.3,16.56,2.55,360.7,<,0.001,0.03,2.0,17.74,16.07,14.78,14.1,13.91,3.0,X,0.999983,1.0,,,,,,,0.0186945933377917,,,,
45,46,02 19 03.12,+57 11 26.5,17.79,4.57,360.3,<,0.001,0.048,1.12,1,19.03,17.31,16.09,15.38,3.331360819912036,0.0,,0.999989,1,1.0321814333843993,0.0037941954566645,02 19 03.12,+57 11 26.5,17.79,4.57,360.3,<,0.001,0.048,1.0,19.03,17.31,16.09,15.38,15.14,0.0,,0.999989,1.0,,,,,3682.0,,0.0186945933377917,,,,
46,47,02 18 36.48,+57 01 15.3,17.11,0.323,360.2,<,0.001,0.031,1.25,2,18.34,16.69,15.39,14.77,2.7713608199120348,3.0,"X,Ha",0.999986,1,1.2043149967755686,0.0037941954566645,02 18 36.48,+57 01 15.3,17.11,0.323,360.2,<,0.001,0.031,2.0,18.34,16.69,15.39,14.77,14.58,3.0,"X,Ha",0.999986,1.0,0.72,,,-0.267566029586576,,,0.0186945933377917,,,,
