recno,RAJ2000,DEJ2000,i'mag,Per,Power,l_FAP,FAP,Amp,Mass,bin,Vmag,Icmag,Jmag,Hmag,Kmag,Mmb,XH,PSS,single,Mass_calc,Mass_e
366,02 19 03.27,+57 05 47.8,16.0,7.46,171.1,<,0.001,0.004,1.4,1,16.89,15.6,14.71,14.27,2.2813608199120345,3.0,,0.999998,1,,0.0
367,02 18 32.00,+57 02 27.3,15.73,1.86,170.8,<,0.001,0.003,1.45,1,16.55,15.4,14.54,14.1,2.1513608199120355,3.0,X,0.999994,1,,0.0
368,02 18 23.17,+57 05 47.0,19.23,15.4,169.5,<,0.001,0.039,0.7,1,21.15,18.66,16.95,16.14,4.041360819912034,1.0,,0.999969,1,0.7004986432134263,0.012947409840164022
369,02 20 00.33,+57 14 35.4,18.16,0.326,169.4,<,0.001,0.021,1.04,2,19.81,17.65,16.2,15.36,3.301360819912034,1.0,,0.999976,1,1.0266594831529712,0.012947409840164022
370,02 18 46.33,+57 02 35.6,16.35,3.8,169.1,<,0.001,0.006,1.36,1,,,15.01,14.55,2.601360819912035,,,0.999998,1,1.258264480786742,0.012947409840164022
371,02 19 46.76,+57 11 33.3,16.61,4.02,168.7,<,0.001,0.007,1.32,1,17.74,16.24,15.18,14.64,2.641360819912034,3.0,X,0.999991,1,1.2482854037722384,0.012947409840164022
372,02 19 51.00,+57 13 17.5,19.44,0.245,168.6,<,0.001,0.051,0.69,1,21.0,18.63,17.11,16.28,4.171360819912035,1.0,,0.999995,1,0.6487701037840203,0.012947409840164022
373,02 18 50.34,+57 10 36.2,17.25,0.339,168.2,<,0.001,0.01,1.23,1,18.48,16.84,15.62,14.97,2.971360819912034,0.0,,0.999994,1,1.1525434289727772,0.012947409840164022
374,02 18 36.91,+57 06 27.8,19.3,4.65,167.1,<,0.001,0.054,0.69,1,,,17.09,16.27,4.251360819912033,,X,0.999996,1,0.6176615521339694,0.012947409840164022
375,02 19 22.39,+57 09 08.3,16.77,2.99,166.7,<,0.001,0.006,1.3,2,17.91,16.37,15.18,14.57,2.511360819912035,3.0,X,0.999992,1,1.2810379730379335,0.012947409840164022
376,02 19 16.54,+57 15 32.6,19.22,6.02,166.6,<,0.001,0.037,0.7,2,21.41,18.69,16.86,16.01,3.8613608199120346,1.0,,0.999999,1,0.7767836041120367,0.012947409840164022
377,02 18 42.97,+57 07 33.6,18.06,12.0,166.4,<,0.001,0.027,1.07,2,19.72,17.59,16.16,15.3,3.2413608199120354,1.0,X,0.999989,1,1.0513236718035803,0.012947409840164022
378,02 18 24.75,+57 09 42.1,18.87,0.426,166.4,<,0.001,0.027,0.84,1,,,16.81,16.0,3.9113608199120353,,,0.999997,1,0.756236686877803,0.012947409840164022
379,02 18 26.84,+56 59 20.6,18.62,7.46,165.8,<,0.001,0.023,0.9,1,20.16,18.11,16.74,15.97,3.9413608199120347,1.0,,0.999992,1,0.743166581385718,0.012947409840164022
380,02 18 15.62,+57 05 28.2,18.29,0.349,165.7,<,0.001,0.013,1.01,1,19.79,17.82,16.42,15.63,3.591360819912035,1.0,,0.999992,1,0.8962691754880261,0.012947409840164022
381,02 18 25.30,+57 13 28.8,19.05,3.41,165.2,<,0.001,0.023,0.77,1,20.82,18.4,16.86,16.06,3.981360819912034,1.0,,0.999999,1,0.7261363991574287,0.012947409840164022
382,02 20 01.41,+57 12 04.4,19.98,0.254,164.8,<,0.001,0.055,0.49,1,22.09,19.33,17.59,16.7,4.601360819912035,1.0,,0.999998,1,0.4876326829016735,0.012947409840164022
383,02 18 47.40,+57 11 40.7,19.92,0.54,164.4,<,0.001,0.041,0.49,1,22.03,19.4,17.55,16.73,4.611360819912036,0.0,,0.999994,1,0.4842115807408895,0.012947409840164022
384,02 18 10.66,+57 02 19.3,17.29,0.305,163.7,<,0.001,0.012,1.22,2,,,15.59,14.87,2.8713608199120344,,,0.999979,1,1.1862429923812117,0.012947409840164022
385,02 18 52.57,+57 04 25.3,15.88,0.435,162.9,<,0.001,0.009,1.4,2,,,14.57,13.92,1.931360819912035,,X,0.998634,1,,0.0
386,02 18 46.86,+57 11 36.2,20.01,8.0,162.2,<,0.001,0.04,0.48,1,22.69,19.35,17.43,16.7,4.561360819912036,1.0,,0.999997,1,0.500325811921982,0.012947409840164022
387,02 18 00.23,+56 59 45.6,18.75,4.67,161.4,<,0.001,0.066,0.86,1,,,16.77,15.96,3.921360819912035,,,0.999983,1,0.7511776825804246,0.012947409840164022
388,02 19 57.51,+57 07 16.1,18.24,1.49,161.4,<,0.001,0.013,1.01,1,19.74,17.81,16.36,15.61,3.6113608199120346,1.0,,0.999979,1,0.8872798823072786,0.012947409840164022
389,02 18 09.89,+57 04 58.9,19.13,0.545,161.1,<,0.001,0.025,0.74,2,,,16.71,15.86,3.7913608199120343,,,0.999976,1,0.8070428889019815,0.012947409840164022
390,02 19 40.72,+57 04 05.1,20.04,0.657,160.8,<,0.001,0.032,0.47,1,22.41,19.4,17.48,16.66,4.561360819912036,1.0,,0.999994,1,0.500325811921982,0.012947409840164022
391,02 19 32.87,+56 59 48.7,15.89,6.76,160.4,<,0.001,0.004,1.41,1,16.78,15.52,14.66,14.16,2.2013608199120345,3.0,,0.999993,1,,0.0
392,02 18 35.41,+57 15 08.8,18.6,2.69,160.1,<,0.001,0.018,0.92,1,20.12,18.1,16.66,15.89,3.841360819912035,1.0,,0.999998,1,0.7861282380602761,0.012947409840164022
393,02 19 16.94,+57 04 31.3,17.41,7.75,158.7,<,0.001,0.013,1.2,1,18.53,16.93,15.78,15.18,3.1913608199120347,1.0,X,0.999995,1,1.0725165240129424,0.012947409840164022
394,02 18 47.27,+57 07 16.3,18.51,0.468,158.4,<,0.001,0.042,0.94,1,,,16.54,15.74,3.7013608199120345,,,0.999999,1,0.8472563539958842,0.012947409840164022
395,02 17 56.26,+57 09 03.5,18.38,0.333,157.9,<,0.001,0.021,0.98,1,,,16.41,15.69,3.591360819912035,,,0.999996,1,0.8962691754880261,0.012947409840164022
396,02 20 00.73,+57 02 19.7,19.4,4.42,156.7,<,0.001,0.038,0.65,1,21.23,18.81,17.17,16.34,4.261360819912035,1.0,,0.999986,1,0.6133033729937276,0.012947409840164022
397,02 18 53.42,+57 05 19.5,19.66,4.2,155.5,<,0.001,0.045,0.57,1,21.77,19.1,17.35,16.52,4.451360819912036,1.0,,0.999997,1,0.5417566057859952,0.012947409840164022
398,02 19 15.70,+57 06 57.7,18.64,3.21,155.1,<,0.001,0.042,0.91,1,,,16.66,15.87,3.8213608199120355,,,0.999996,1,0.7944938339420535,0.012947409840164022
399,02 19 06.36,+57 02 25.5,19.47,6.85,153.7,<,0.001,0.044,0.63,1,21.49,18.92,17.28,16.44,4.371360819912034,1.0,,0.999989,1,0.5718119976079714,0.012947409840164022
400,02 18 23.94,+57 12 50.4,18.7,4.61,153.6,<,0.001,0.02,0.89,1,20.23,18.17,16.73,15.95,3.881360819912034,1.0,,0.999994,1,0.7684791800795461,0.012947409840164022
401,02 18 33.32,+57 07 12.4,19.21,0.541,153.2,<,0.001,0.031,0.7,2,21.43,18.64,16.81,16.03,3.921360819912035,1.0,X,0.999997,1,0.7511776825804246,0.012947409840164022
402,02 18 01.06,+57 13 54.6,17.51,3.69,152.9,<,0.001,0.009,1.18,1,18.73,17.09,15.71,15.03,3.011360819912035,1.0,,0.999992,1,1.1385104716673613,0.012947409840164022
403,02 18 18.92,+57 04 41.0,18.58,4.61,152.9,<,0.001,0.016,0.92,1,20.11,18.11,16.61,15.85,3.801360819912034,1.0,X,0.999993,1,0.8027822311366603,0.012947409840164022
404,02 19 21.62,+57 14 18.3,16.55,6.94,152.9,<,0.001,0.004,1.33,1,17.48,16.12,15.15,14.64,2.6613608199120353,1.0,,0.999996,1,1.2424896507923657,0.012947409840164022
405,02 18 25.53,+57 10 33.5,18.83,7.25,152.7,<,0.001,0.022,0.83,1,,,16.91,16.09,4.051360819912034,,,0.999994,1,0.6966661488285494,0.012947409840164022
406,02 18 29.89,+57 05 33.8,18.81,0.755,152.4,<,0.001,0.012,0.85,1,20.6,18.29,16.64,15.83,3.751360819912035,1.0,X,0.999997,1,0.8254643092411819,0.012947409840164022
407,02 19 01.42,+57 10 28.3,19.53,0.61,150.7,<,0.001,0.05,0.61,2,,,17.04,16.27,4.1513608199120355,,,0.999999,1,0.656962133700282,0.012947409840164022
408,02 19 36.76,+57 14 00.1,20.07,1.53,150.5,<,0.001,0.044,0.46,2,,,17.35,16.62,4.471360819912036,,,0.999781,1,0.5337919289076515,0.012947409840164022
