recno,RAJ2000,DEJ2000,i'mag,Per,Power,l_FAP,FAP,Amp,bin,Vmag,Icmag,Jmag,Hmag,Kmag,Mmb,XH,PSS,single,Teff,s_Teff,Mass,s_Mass,s_Lum,logL
109,02 18 34.71,+57 10 33.1,18.78,0.424,305.4,<,0.001,0.036,1,20.49,18.28,16.7,15.91,15.63,1,X,0.999978,1,,,,,,
110,02 19 38.04,+57 07 04.3,18.07,5.59,305.2,<,0.001,0.059,1,19.52,17.59,16.2,15.47,15.27,1,X,0.999997,1,,,,,,
111,02 19 15.75,+57 13 02.8,17.56,5.35,304.4,<,0.001,0.034,1,18.79,17.05,15.87,15.18,14.98,0,X,0.999996,1,4713.0,131.0,0.75,,,-0.42312906443135007
112,02 18 33.30,+57 02 23.0,17.1,5.32,303.2,<,0.001,0.014,2,18.51,16.73,15.41,14.71,14.52,3,X,0.999995,1,4607.0,143.0,0.73,,,-0.14079563249905125
113,02 18 56.02,+57 07 22.5,16.88,0.552,301.7,<,0.001,0.037,2,18.05,16.45,15.24,14.59,14.46,3,X,0.999999,1,4906.0,138.0,0.8,,,0.09738573910991333
114,02 19 14.30,+57 16 07.6,18.7,0.707,300.3,<,0.001,0.043,1,20.23,18.22,16.73,15.88,15.62,1,,0.999996,1,,,,,,
115,02 19 57.12,+57 16 39.4,16.66,0.617,299.9,<,0.001,0.039,1,17.6,16.09,15.41,14.73,14.41,3,,0.999993,1,5021.0,125.0,,,,
116,02 19 39.36,+57 09 45.4,16.25,0.397,299.3,<,0.001,0.031,2,17.33,15.84,14.76,14.2,14.0,3,X,0.999996,1,4887.0,125.0,,,,
117,02 19 34.29,+57 00 09.3,18.62,5.29,296.9,<,0.001,0.034,1,20.12,18.1,16.84,16.06,15.79,1,,0.999986,1,,,,,,
118,02 18 07.60,+57 11 31.8,18.85,4.41,295.5,<,0.001,0.042,2,20.83,18.23,16.49,15.69,15.41,1,,0.999994,1,,,,,,
119,02 19 05.11,+57 09 58.0,18.34,0.327,295.1,<,0.001,0.052,1,,,16.38,15.65,15.4,,,0.999995,1,,,,,,
120,02 19 18.31,+57 08 35.9,18.0,6.62,294.2,<,0.001,0.037,1,19.37,17.49,16.07,15.43,15.15,1,X,0.999995,1,,,,,,
121,02 18 02.35,+57 08 45.6,16.04,0.817,293.5,<,0.001,0.013,2,,,14.59,14.04,13.86,,X,0.999995,1,4955.0,130.0,,,,
122,02 18 34.79,+57 13 13.7,17.95,0.856,292.5,<,0.001,0.023,2,19.36,17.42,16.0,15.26,15.02,1,,0.999973,1,4444.0,154.0,0.7,,,-0.5139664478442136
123,02 18 58.25,+57 09 38.0,18.13,7.25,291.7,<,0.001,0.043,2,,,16.17,15.4,15.1,,X,0.999999,1,,,,,,
124,02 19 41.70,+57 06 13.4,17.18,3.13,291.5,<,0.001,0.016,1,18.35,16.79,15.51,14.86,14.7,0,X,0.99999,1,4922.0,148.0,,,,
125,02 18 21.01,+57 06 07.4,15.86,0.489,291.0,<,0.001,0.019,1,16.8,15.55,14.57,14.13,13.99,3,X,0.999992,1,5383.0,123.0,0.93,,,0.4969462449974249
126,02 18 22.17,+57 09 16.5,18.51,0.282,290.6,<,0.001,0.054,1,20.09,18.09,16.64,15.83,15.58,1,,0.999999,1,,,,,,
