Index,Vmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
360,8.844998294395504,0.20416253567097886,0.01718105414908555,0.14,1,99.0,5.41,2.2702,83.83683719416,-5.3583547217
362,9.504998294395504,0.10933690858354383,0.01718105414908555,0.14,1,99.0,4.23,2.3438,83.68505367023,-5.43502955014
363,9.304998294395505,0.13807194709488768,0.01718105414908555,0.14,1,99.0,2.66,2.017,83.74248406044,-5.19823251003
366,9.674998294395506,0.08491212584890118,0.01718105414908555,0.13,1,99.0,1.68,2.5948,83.63991904453,-5.36910437753
369,10.124998294395507,0.020258289198377133,0.01718105414908555,0.13,1,99.0,4.39,2.4303,83.9275682528,-5.43562021782
370,8.934998294395504,0.19123176834087396,0.01718105414908555,0.13,1,99.0,0.67,2.5845,83.81614907514,-5.34455274636
371,9.414998294395504,0.12226767591364851,0.01718105414908555,0.13,1,99.0,0.7,2.4279,83.82247009628,-5.403868517
375,10.194998294395505,0.010201025719406953,0.01718105414908555,0.13,1,99.0,1.58,2.3415,83.74663380355,-5.38551850779
376,9.984998294395504,0.04037281615631838,0.01718105414908555,0.13,1,99.0,2.27,2.9576,83.72667157664,-5.28923170844
380,9.404998294395503,0.12370442783921587,0.01718105414908555,0.13,1,99.0,9.0,2.6253,83.79407823515,-5.55378431507
385,9.764998294395504,0.07198135851879672,0.01718105414908555,0.12,1,99.0,6.58,2.5891,83.75671885146,-5.40282260965
390,10.114998294395503,0.021695041123944936,0.01718105414908555,0.12,1,99.0,2.47,2.2512,83.65693586528,-5.43930970363
391,9.824998294395504,0.06336084696539346,0.01718105414908555,0.12,1,99.0,20.78,,83.71251259269,-5.29901538531
393,8.074998294395504,0.31479243393965284,0.01718105414908555,0.12,1,99.0,1.07,2.4964,83.85192080208,-5.44210088828
395,10.004998294395502,0.03749931230518411,0.01718105414908555,0.12,1,99.0,2.51,2.5335,83.87689259989,-5.46981466687
402,10.094998294395504,0.02456854497507921,0.01718105414908555,0.11,1,99.0,7.14,2.4415,83.88202027671,-5.50115753035
403,10.694998294395504,-0.06163657055895255,0.01718105414908555,0.11,1,99.0,1.51,2.6123,83.73908741649,-5.24265479565
405,10.684998294395504,-0.060199818633385416,0.01718105414908555,0.11,1,99.0,0.59,2.5989,83.78441246796,-5.48670573858
407,10.744998294395502,-0.06882033018678846,0.01718105414908555,0.11,1,99.0,3.43,2.4064,83.76430546577,-5.43612271526
411,10.134998294395503,0.01882153727281044,0.01718105414908555,0.1,1,99.0,2.26,2.3061,83.83280777491,-5.50895345645
414,9.564998294395503,0.10071639703014079,0.01718105414908555,0.1,1,99.0,3.46,2.4836,83.94853575909,-5.62745889148
415,10.244998294395506,0.003017266091571047,0.01718105414908555,0.1,1,99.0,1.16,2.3389,83.80067377682,-5.50561020974
