Index,Kmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
320,3.8213608199120355,0.7979774131056963,0.06036238380157702,0.98,1,1.0,8.06,0.4873,34.65382192589,57.23796678815
322,3.481360819912034,0.9327188911359048,0.06036238380157702,0.91,2,1.0,0.543,-0.5571,34.57567542561,57.10189385286
324,4.421360819912035,0.560198334228859,0.06036238380157702,0.57,1,1.0,7.25,0.3511,34.86048874714,57.10616372143
325,3.9613608199120343,0.7424956280344346,0.06036238380157702,0.87,1,1.0,8.62,0.4364,34.51939476593,57.1552087381
326,3.7013608199120345,0.8455332288810642,0.06036238380157702,1.0,1,1.0,0.528,2.5933,34.5702938415,57.21971599092
328,4.681360819912033,0.4571607333822303,0.06036238380157702,0.47,1,1.0,1.15,1.442,34.78354335139,57.20391169867
330,4.191360819912035,0.6513469811316468,0.06036238380157702,0.57,2,1.0,2.64,0.8352,34.89154786515,57.10589741673
332,3.601360819912035,0.8851630753605368,0.06036238380157702,0.96,1,1.0,0.323,-0.0329,34.72377802172,57.07935071588
336,4.731360819912034,0.4373458101424934,0.06036238380157702,0.4,1,1.0,5.65,0.485,34.72284670331,56.9952362441
342,4.111360819912035,0.6830508583152253,0.06036238380157702,0.7,1,1.0,3.62,0.1209,34.56972881807,57.1643504454
343,3.681360819912035,0.8534591981769586,0.06036238380157702,0.97,1,1.0,6.85,,34.56435145764,57.15643173788
345,4.961360819912034,0.3461971632397056,0.06036238380157702,0.4,1,1.0,6.33,0.4828,34.53967802559,57.06608325073
346,4.361360819912036,0.5839762421165422,0.06036238380157702,0.54,1,1.0,0.44,-0.2935,34.92220734911,57.22564486437
348,4.2813608199120345,0.6156801193001213,0.06036238380157702,0.62,1,1.0,0.551,1.1173,34.71551250038,57.02501899101
349,3.8613608199120346,0.7821254745139075,0.06036238380157702,0.74,2,1.0,0.515,0.1192,34.64037441327,56.99212603178
352,3.7813608199120345,0.8138293516974857,0.06036238380157702,0.96,1,1.0,9.17,0.6317,34.90470088228,57.18802590129
354,3.9413608199120347,0.750421597330329,0.06036238380157702,0.72,1,1.0,1.35,0.9191,34.89770198612,57.27603528895
356,4.001360819912035,0.7266436894426451,0.06036238380157702,0.68,1,1.0,0.323,0.3651,34.84424614881,57.16453621425
357,3.841360819912035,0.7900514438098019,0.06036238380157702,0.9,1,1.0,0.483,0.6348,34.85661504755,57.0963580266
360,3.9613608199120343,0.7424956280344346,0.06036238380157702,0.83,1,1.0,7.87,-0.6843,34.74333220624,57.10304356563
361,3.891360819912034,0.7702365205700659,0.06036238380157702,0.84,1,1.0,3.88,0.7218,34.62746600793,57.01331549671
365,4.4113608199120335,0.5641613188768069,0.06036238380157702,0.62,1,1.0,6.49,0.3935,34.6332924649,57.04085517375
368,4.041360819912034,0.7107917508508563,0.06036238380157702,0.7,1,1.0,15.4,0.5545,34.69297019923,57.04317436034
372,4.171360819912035,0.6592729504275412,0.06036238380157702,0.69,1,1.0,0.245,0.7466,34.65377532055,57.10765919098
376,3.8613608199120346,0.7821254745139075,0.06036238380157702,0.7,2,1.0,6.02,1.1559,34.6031264336,57.1616273988
379,3.9413608199120347,0.750421597330329,0.06036238380157702,0.9,1,1.0,7.46,0.8427,34.60541293574,57.22462766321
381,3.981360819912034,0.7345696587385402,0.06036238380157702,0.77,1,1.0,3.41,2.4585,34.69747368569,57.19457607443
382,4.601360819912035,0.4888646105658079,0.06036238380157702,0.49,1,1.0,0.254,0.4579,34.54435963502,57.03863326909
386,4.561360819912036,0.5047165491575967,0.06036238380157702,0.48,1,1.0,8.0,0.5919,34.98967504128,57.12108360536
390,4.561360819912036,0.5047165491575967,0.06036238380157702,0.47,1,1.0,0.657,-0.0494,34.64753569584,57.25240751483
392,3.841360819912035,0.7900514438098019,0.06036238380157702,0.92,1,1.0,2.69,0.7481,34.69691337973,57.12112518464
396,4.261360819912035,0.6236060885960157,0.06036238380157702,0.65,1,1.0,4.42,0.4566,34.81538135349,57.11595474173
397,4.451360819912036,0.5483093802850167,0.06036238380157702,0.57,1,1.0,4.2,0.6484,34.77649371398,57.04037027921
399,4.371360819912034,0.5800132574685957,0.06036238380157702,0.63,1,1.0,6.85,0.9591,34.63882912082,57.12003766954
400,3.881360819912034,0.7741995052180131,0.06036238380157702,0.89,1,1.0,4.61,0.2042,34.50439405556,57.23178466229
401,3.921360819912035,0.7583475666262236,0.06036238380157702,0.7,2,1.0,0.541,0.3594,34.57881705956,57.07798523498
403,3.801360819912034,0.8059033824015913,0.06036238380157702,0.92,1,1.0,4.61,0.4733,34.60639220159,57.17593995364
406,3.751360819912035,0.8257183056413273,0.06036238380157702,0.85,1,1.0,0.755,,34.90319915628,57.23330378967
409,4.081360819912035,0.6949398122590669,0.06036238380157702,0.64,2,1.0,10.5,0.1613,34.72233108445,57.2721146243
411,4.341360819912033,0.5919022114124379,0.06036238380157702,0.56,1,1.0,0.447,0.4445,34.69479552603,57.04915681919
415,4.591360819912033,0.49282759521375574,0.06036238380157702,0.44,1,1.0,0.665,,34.63223766652,57.05689800928
418,4.701360819912036,0.44923476408633434,0.06036238380157702,0.45,1,1.0,0.64,0.665,34.59834234996,57.21122839714
419,4.611360819912036,0.48490162591786,0.06036238380157702,0.48,1,1.0,6.85,0.653,34.59557609042,57.21798367925
422,3.6213608199120344,0.8772371060646424,0.06036238380157702,0.99,1,1.0,0.423,0.5496,34.75373104252,57.08022179922
