Index,Kmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
481,5.219359821608808,0.24922449286013426,0.012963976336862026,0.26,2,3.0,0.6423,7.1863,240.48525681468,-21.6178572487
488,5.869359821608809,0.19666090219289928,0.012963976336862026,0.299,2,1.0,0.946,7.0559,240.51788389319,-20.84526344339
501,5.57935982160881,0.22011235033674253,0.012963976336862026,0.314,2,1.0,1.8105,6.8815,240.59855240444,-22.33882492712
505,6.73935982160881,0.12630655776136934,0.012963976336862026,0.147,2,3.0,1.7984,6.6819,240.63440026432,-22.01361364395
507,6.119359821608809,0.17644413655165508,0.012963976336862026,0.143,2,3.0,1.7422,7.1299,240.64942440064,-23.33818116272
509,6.599359821608809,0.13762794652046617,0.012963976336862026,0.162,2,3.0,1.184,6.8888,240.67257139746,-22.81175541692
510,5.47935982160881,0.2281990565932402,0.012963976336862026,0.317,2,3.0,1.8029,7.1153,240.67294463216,-21.6402833652
517,6.07935982160881,0.1796788190542541,0.012963976336862026,0.174,2,1.0,1.558,6.7428,240.74393111453,-22.9472009515
518,6.07935982160881,0.1796788190542541,0.012963976336862026,0.149,2,3.0,1.7416,0.3066,240.75070891219,-25.76975825398
519,5.4193598216088095,0.23305108034713884,0.012963976336862026,0.207,2,3.0,1.7852,7.1244,240.75666843992,-22.13134815589
521,5.089359821608809,0.2597372109935812,0.012963976336862026,0.222,2,1.0,0.92,7.0371,240.75747059621,-21.86635004978
526,4.459359821608809,0.31068346040951667,0.012963976336862026,0.22,2,1.0,1.0182,10.3798,240.84768072388,-25.75426447528
529,5.349359821608809,0.2387117747266872,0.012963976336862026,0.254,2,1.0,3.2611,7.0039,240.85935044253,-21.92730540233
536,5.509359821608809,0.2257730447162909,0.012963976336862026,0.173,2,3.0,0.7718,6.5998,240.90733782275,-18.75242923107
538,5.22935982160881,0.24841582223448438,0.012963976336862026,0.231,2,1.0,1.8003,6.5734,240.90955258557,-18.90223632047
540,5.56935982160881,0.22092102096239224,0.012963976336862026,0.289,2,3.0,0.9952,6.8216,240.91786805657,-23.59002711901
542,6.269359821608809,0.1643140771669085,0.012963976336862026,0.168,2,1.0,1.8511,7.1395,240.93055804871,-20.25885070722
545,6.2993598216088085,0.16188806528995925,0.012963976336862026,0.149,2,1.0,1.5999,6.9425,240.96000642051,-23.57820061983
547,5.7993598216088085,0.2023215965724477,0.012963976336862026,0.177,2,3.0,1.7776,,240.96559173864,-21.67111091508
550,4.40935982160881,0.31472681353776544,0.012963976336862026,0.182,2,3.0,3.7871,7.0001,240.99024162482,-20.51832505522
558,5.559359821608808,0.22172969158804218,0.012963976336862026,0.245,2,1.0,3.6251,6.4892,241.07247565328,-19.70810087732
564,6.889359821608808,0.11417649837662291,0.012963976336862026,0.121,2,3.0,0.2844,6.4798,241.16518931091,-26.05247817869
565,6.019359821608809,0.18453084280815274,0.012963976336862026,0.245,2,3.0,1.1876,6.6575,241.59920949779,-18.12189109644
