Index,Vmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
82,9.739990748440748,0.5324770349364423,0.013601094896210647,0.56,,1.0,,2.488,119.77976768629,-61.08438564795
83,12.099990748440748,0.30774199574760486,0.013601094896210647,0.32,,1.0,,2.4536,119.83034298122,-61.04770469787
84,9.099990748440748,0.5934221303096864,0.013601094896210647,0.62,,1.0,10.17,2.3794,119.79307726025,-61.04875457869
85,12.159990748440746,0.3020283930563632,0.013601094896210647,0.3,,1.0,,2.4406,119.08303885202,-61.3247983551
86,11.739990748440748,0.3420236118950546,0.013601094896210647,0.35,,1.0,,2.4079,119.19166763217,-61.28584584915
87,11.319990748440746,0.3820188307337462,0.013601094896210647,0.4,,1.0,,2.2008,119.15225296364,-61.22149967979
88,10.889990748440747,0.4229663166876445,0.013601094896210647,0.45,,1.0,,2.4335,119.09482415335,-61.20991606305
89,13.199990748440745,0.20299261307484184,0.013601094896210647,0.2,,1.0,,2.8554,119.28912586417,-61.23988264591
92,8.639990748440747,0.6372264176092056,0.013601094896210647,0.66,,1.0,8.039,2.4219,119.29430641771,-61.18770555467
93,12.589990748440746,0.2610809071024649,0.013601094896210647,0.26,,1.0,,2.2775,119.34907089774,-61.14743436505
95,8.899990748440745,0.6124674726138254,0.013601094896210647,0.62,,1.0,,2.4725,118.96634219605,-61.22240907482
97,12.579990748440748,0.2620331742176718,0.013601094896210647,0.25,,1.0,,2.1714,119.08169655852,-61.20153942797
98,9.819990748440746,0.5248588980147869,0.013601094896210647,0.55,,1.0,,2.466,119.14586346169,-61.16896034327
99,12.719990748440745,0.2487014346047749,0.013601094896210647,0.24,,1.0,,2.368,119.11454557748,-61.15131144746
105,12.689990748440747,0.2515582359503954,0.013601094896210647,0.25,,1.0,,2.3434,119.24297686374,-61.03551572287
106,9.389990748440747,0.5658063839686852,0.013601094896210647,0.58,,1.0,8.907,2.3817,119.1626566388,-61.06287636672
111,11.719990748440745,0.3439281461254686,0.013601094896210647,0.37,,1.0,,2.337,119.55257336738,-61.07487368794
112,12.129990748440745,0.30488519440198414,0.013601094896210647,0.32,,1.0,,2.4234,119.38714591266,-61.12355842505
120,11.189990748440747,0.3943983032314362,0.013601094896210647,0.45,,1.0,,2.584,119.54954077931,-61.02826572676
124,10.709990748440747,0.44010712476136926,0.013601094896210647,0.48,,1.0,,2.4954,119.65320823258,-61.0651726999
129,12.059990748440745,0.3115510642084327,0.013601094896210647,0.34,,1.0,,2.3353,119.61344527641,-61.04589563196
131,10.559990748440745,0.4543911314894735,0.013601094896210647,0.48,,1.0,4.08,2.4273,119.71967348698,-61.03387304754
132,12.859990748440746,0.23536969499187776,0.013601094896210647,0.24,,1.0,,2.2809,119.64258773405,-60.99723090457
133,8.859990748440746,0.6162765410746531,0.013601094896210647,0.63,,1.0,4.287,2.4599,119.63575846787,-60.99603408399
139,8.639990748440747,0.6372264176092056,0.013601094896210647,0.65,,1.0,7.377,2.4558,119.74250596883,-60.94238853176
140,9.469990748440745,0.5581882470470299,0.013601094896210647,0.59,,1.0,1.041,2.3608,119.73125662606,-60.93315629783
150,10.789990748440745,0.432488987839714,0.013601094896210647,0.47,,1.0,0.744,2.3623,119.29312688948,-61.02035198701
152,10.889990748440747,0.4229663166876445,0.013601094896210647,0.45,,1.0,,2.5401,119.25531958038,-61.0194125352
163,10.259990748440748,0.4829591449456815,0.013601094896210647,0.53,,1.0,,2.692,118.75987845437,-61.17709589559
164,10.289990748440745,0.4801023436000609,0.013601094896210647,0.5,,1.0,,2.4406,118.77776893634,-61.12035516732
165,10.609990748440746,0.44962979591343877,0.013601094896210647,0.48,,1.0,,2.3945,118.73477561346,-61.08657400217
166,12.669990748440748,0.2534627701808092,0.013601094896210647,0.25,,1.0,,2.5526,118.54418748267,-61.12631178127
167,11.259990748440748,0.38773243342498764,0.013601094896210647,0.42,,1.0,,2.3081,118.58398975135,-61.10728683653
168,11.099990748440748,0.4029687072682986,0.013601094896210647,0.44,,1.0,,2.5725,118.48764595909,-61.10367291126
169,11.139990748440747,0.39915963880747096,0.013601094896210647,0.43,,1.0,,2.4772,118.50307475538,-61.10727503263
170,12.119990748440747,0.30583746151719104,0.013601094896210647,0.3,,1.0,,2.3009,118.08649963845,-61.24339650721
171,12.809990748440745,0.24013103056791252,0.013601094896210647,0.23,,1.0,,2.4734,118.07481494452,-61.18102227348
172,10.499990748440746,0.46010473418071507,0.013601094896210647,0.51,,1.0,,2.4246,117.79476219213,-61.1430468573
173,11.019990748440746,0.4105868441899543,0.013601094896210647,0.47,,1.0,,2.3166,117.98594727199,-61.15943910003
174,11.299990748440747,0.38392336496416,0.013601094896210647,0.42,,1.0,,2.5116,118.11932639515,-61.10091459564
175,11.419990748440748,0.3724961595816767,0.013601094896210647,0.4,,1.0,,2.6853,118.32845756458,-61.12846523984
176,11.899990748440745,0.32678733805174387,0.013601094896210647,0.33,,1.0,,2.3972,118.30358550604,-61.06728141161
177,10.219990748440745,0.48676821340650944,0.013601094896210647,0.52,,1.0,,2.3919,118.34008254496,-61.03688722211
178,12.589990748440746,0.2610809071024649,0.013601094896210647,0.26,,1.0,,2.4263,118.55264029672,-61.03135470609
179,10.249990748440746,0.4839114120608886,0.013601094896210647,0.51,,1.0,,2.3979,118.58817462687,-60.97026783071
181,10.309990748440745,0.47819780936964706,0.013601094896210647,0.51,,1.0,,2.5049,118.55510766729,-60.95330875697
182,9.749990748440746,0.5315247678212355,0.013601094896210647,0.55,,1.0,,2.4121,118.33770572961,-60.97027011254
183,9.369990748440747,0.567710918199099,0.013601094896210647,0.6,,1.0,,2.3995,118.20904889539,-61.00081581717
184,12.049990748440747,0.3125033313236396,0.013601094896210647,0.32,,1.0,,2.4785,118.41457053829,-60.95120377504
185,10.769990748440746,0.4343935220701278,0.013601094896210647,0.47,,1.0,,2.4594,118.86725293325,-61.17484685695
186,9.889990748440747,0.5181930282083383,0.013601094896210647,0.55,,1.0,,2.3656,118.87071955319,-61.07787786623
187,11.449990748440745,0.369639358236056,0.013601094896210647,0.39,,1.0,,2.4121,118.92620445276,-61.0686034245
188,9.849990748440748,0.522002096669166,0.013601094896210647,0.55,,1.0,,2.4473,118.91670455263,-61.02105131117
189,11.619990748440747,0.3534508172775379,0.013601094896210647,0.37,,1.0,,2.5273,118.94898440483,-61.01357421074
190,9.869990748440747,0.5200975624387522,0.013601094896210647,0.57,,1.0,,2.1813,119.12038994441,-61.03359191577
193,10.949990748440745,0.41725271399640285,0.013601094896210647,0.44,,1.0,,2.3476,119.1953042031,-60.9903201817
194,9.289990748440745,0.5753290551207547,0.013601094896210647,0.61,,1.0,13.412,2.4553,119.12405612899,-60.99993551098
195,9.299990748440747,0.5743767880055477,0.013601094896210647,0.63,,1.0,2.785,2.3991,119.13081026601,-60.9924814777
198,11.049990748440747,0.40773004284433334,0.013601094896210647,0.44,,1.0,,2.5173,118.98751463223,-61.01305353855
201,10.179990748440746,0.4905772818673372,0.013601094896210647,0.53,,1.0,,2.4852,118.74796768157,-61.07296493877
202,8.089990748440746,0.6896011089455873,0.013601094896210647,0.7,,1.0,,2.4177,118.85011168047,-61.02919242508
203,11.489990748440748,0.3658302897752279,0.013601094896210647,0.39,,1.0,,2.4142,118.8954243208,-60.97411916571
204,12.439990748440747,0.27536491383056894,0.013601094896210647,0.28,,1.0,,2.387,118.75275597526,-60.99793212216
205,7.969990748440747,0.7010283143280704,0.013601094896210647,0.7,,1.0,,2.4066,118.77090545652,-60.99183222681
206,11.609990748440746,0.35440308439274504,0.013601094896210647,0.37,,1.0,,2.2913,118.82765628906,-60.9472451827
208,9.969990748440745,0.510574891286683,0.013601094896210647,0.54,,1.0,,2.4667,118.96738091381,-60.90095252246
260,9.009990748440748,0.6019925343465488,0.013601094896210647,0.64,,1.0,,2.4031,118.6979081496,-60.9663743118
261,10.539990748440745,0.45629566571988733,0.013601094896210647,0.48,,1.0,,2.4776,118.81044181452,-60.92676225362
262,11.299990748440747,0.38392336496416,0.013601094896210647,0.41,,1.0,,2.5926,118.72353759658,-60.90938174809
263,12.099990748440748,0.30774199574760486,0.013601094896210647,0.34,,1.0,,2.3063,118.68804713815,-60.90995158008
264,9.579990748440748,0.5477133087797532,0.013601094896210647,0.59,,1.0,,2.4264,118.72775067624,-60.83092831089
266,10.479990748440747,0.4620092684111289,0.013601094896210647,0.51,,1.0,,2.4726,118.93179403341,-60.85843362161
268,10.139990748440747,0.4943863503281648,0.013601094896210647,0.52,,1.0,2.437,2.43,118.86453519308,-60.80915929913
269,9.589990748440746,0.5467610416645465,0.013601094896210647,0.58,,1.0,3.238,2.4462,118.86532933875,-60.80378633879
272,10.169990748440748,0.49152954898254386,0.013601094896210647,0.53,,1.0,0.707,2.3974,118.93695797716,-60.73688079986
273,12.169990748440748,0.3010761259411563,0.013601094896210647,0.31,,1.0,,2.4521,118.56816410813,-60.89493497644
274,10.369990748440747,0.4724842066784052,0.013601094896210647,0.5,,1.0,,2.4443,118.57836701717,-60.84892615903
275,12.559990748440745,0.26393770844808584,0.013601094896210647,0.26,,1.0,,2.2069,118.66320211402,-60.84939870849
276,12.859990748440746,0.23536969499187776,0.013601094896210647,0.24,,1.0,,2.4567,118.66626134422,-60.84219900534
277,9.979990748440747,0.5096226241714759,0.013601094896210647,0.55,,1.0,3.692,2.4904,118.6841493231,-60.82975765336
278,11.689990748440747,0.34678494747108934,0.013601094896210647,0.35,,1.0,,2.2258,118.71605486001,-60.82872447895
280,11.639990748440747,0.3515462830471241,0.013601094896210647,0.37,,1.0,,2.3537,118.55834372714,-60.83662124844
282,13.159990748440746,0.20680168153566947,0.013601094896210647,0.2,,1.0,,2.3991,118.52654528923,-60.81082809852
284,10.649990748440745,0.44582072745261114,0.013601094896210647,0.5,,1.0,,2.3413,118.57161137307,-60.77430419243
289,12.299990748440747,0.28869665344346607,0.013601094896210647,0.29,,1.0,,2.6077,118.73977153283,-60.71054913313
