Index,Gmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
1413,10.171145661666396,0.3403072658742783,0.04209712602898778,0.356,1,1,,7.4183,57.19040905458,25.70026259762
1414,11.181154661666397,0.21371034538599964,0.04209712602898778,0.223,1,1,,7.2666,57.19179572683,24.16997873809
1415,6.400404661666396,0.8129408746430036,0.04209712602898778,0.806,1,1,6.2883,7.1949,57.19423481631,22.07002214
1416,11.205349661666396,0.210677686774825,0.04209712602898778,0.22,1,1,0.6231,7.1373,57.20100053549,21.41108489367
1422,11.601923661666397,0.160970162242154,0.04209712602898778,0.186,1,1,,6.6597,57.21790500712,25.37551520708
1424,9.299720661666395,0.44953373953589715,0.04209712602898778,0.469,1,1,1.706,7.4018,57.23905340917,24.32864061635
1427,9.862607661666397,0.3789801496343361,0.04209712602898778,0.4,1,1,13.6986,7.3895,57.24294597153,23.0940212472
1430,10.295290661666396,0.32474663750956334,0.04209712602898778,0.337,1,1,1.4972,7.6295,57.2542013232,24.90260777619
1431,9.106425661666396,0.4737617926975837,0.04209712602898778,0.492,1,1,8.5889,7.4793,57.25428791296,22.98021186954
1433,11.044008661666396,0.23090054988644027,0.04209712602898778,0.24,1,1,,7.2574,57.25630704318,24.19380165663
1434,6.073763661666396,0.8538828313039956,0.04209712602898778,0.852,1,1,6.1535,7.2668,57.25981898023,23.25223911266
1438,9.376426661666397,0.439919227800879,0.04209712602898778,0.487,1,1,0.8288,7.6312,57.27448410526,23.73959197267
1439,10.675060661666397,0.27714536614085916,0.04209712602898778,0.285,1,1,1.1187,7.4305,57.27475569261,23.10591765635
1441,9.608397661666396,0.4108434331865871,0.04209712602898778,0.432,1,1,,7.2933,57.2868834233,25.89671500101
1444,10.613764661666394,0.2848283519739059,0.04209712602898778,0.292,1,1,2.0109,7.3339,57.29606416461,24.34739901611
1446,7.594309661666395,0.6632939939166358,0.04209712602898778,0.666,1,1,5.9405,7.4258,57.29693913703,22.17655024293
