,recno,Name,SpT,e_SpT,ref1,AV,Imag,VmI,Vmag,l_V-I,Teff,logL*,Mass,e_M*,E_M*,Age,e_Age,E_Age,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad,_RA,_DE,Separation,Mass_calc,Mass_e
10,415,2MASS J05342073-0532351,M5,1.0,H,0.0,14.96,2.94,9.814998294395503,,2880.0,-0.888,0.1,0.03,0.1,0.3,0.15,2.9,1.45,0.33,1.16,opt,H02,2.0,N,,Simbad,83.58637,-5.54309,1.3722193556915043,0.16530588173128863,0.05568971782550209
11,327,V1674 Ori,M4,1.0,H13,0.0,14.75,2.52,9.184998294395504,,3160.0,-0.904,0.19,0.09,0.13,3.0,2.6,2.5,1.18,0.25,2.54,opt,R09,,,g,Simbad,83.58667,-5.39144,1.296399586551718,0.2115521200339485,0.05568971782550209
12,311,2MASS J05342099-0524485,M3.5,1.0,H,0.0,14.86,2.7,9.474998294395503,,3260.0,-0.924,0.22,0.08,0.11,3.5,1.2,3.2,1.08,0.2,2.53,opt,H02,3.0,,,Simbad,83.58746,-5.41348,1.1507540804596537,0.1870048387992548,0.05568971782550209
13,478,2MASS J05342239-0522269,M5.5,1.0,H13,0.0,15.49,2.71,10.114998294395503,,2840.0,-1.028,,,,,,,1.27,0.22,4.46,opt,R09,3.0,,b,Simbad,83.59331,-5.37416,1.193577405254721,0.15264920347244804,0.05568971782550209
14,123,V1676 Ori,M0.5,1.0,H,3.09,13.48,3.08,5.384997294395504,,3700.0,0.179,0.41,0.04,0.18,0.6,0.4,0.2,2.99,0.41,21.45,opt,Re01,,,"d,g",Simbad,83.59937,-5.26111,0.7602465955664863,0.7566893214053997,0.05568971782550209
15,482,2MASS J05342396-0528347,M6,1.0,H13,2.44,16.09,3.33,8.894998294395505,,2800.0,-1.196,,,,,,,1.07,0.17,2.3,opt,R09,2.0,A,b,Simbad,83.59987,-5.47633,1.2486487153359105,0.2411735650657282,0.05568971782550209
16,348,2MASS J05342678-0519414,M4,1.0,H,1.23,16.74,3.39,10.814998294395503,,3160.0,-1.319,0.16,0.08,0.11,6.5,2.5,9.5,0.73,0.15,0.73,opt,R09,2.0,,,Simbad,83.61158,-5.32819,1.1455083433489397,0.1255694593614092,0.05568971782550209
17,229,V1116 Ori,M3,1.0,H,0.52,13.15,2.75,7.294997294395504,,3360.0,-0.136,0.29,0.07,0.12,0.7,0.6,0.5,2.53,0.42,1.66,opt,H02,3.0,,,Simbad,83.61275,-5.54142,1.2480450490702752,0.3970266962601697,0.05568971782550209
18,328,2MASS J05342712-0516487,M4,1.0,H13,0.0,15.44,3.11,10.464998294395505,,3160.0,-0.974,0.19,0.08,0.11,3.5,2.4,3.1,1.09,0.23,0.56,opt,R09,2.0,N,,Simbad,83.613,-5.28022,1.1731100786451196,0.13916215300447646,0.05568971782550209
19,329,2MASS J05342753-0528284,M4.5,1.0,H13,,13.94,3.06,,,3020.0,-0.526,0.19,0.09,0.07,0.5,0.42,1.5,1.99,0.39,1.57,opt,H02,3.0,,,Simbad,83.61473,-5.47457,1.162758378922825,0.0,0.0
20,3,V1963 Ori,G8,1.0,H,1.97,10.78,1.55,2.2749982943955036,,5210.0,1.004,2.53,0.28,0.22,2.2,0.6,0.9,3.9,0.47,3.37,MIR,M11,3.0,N,a,Simbad,83.61542,-5.53203,1.3902045287261149,0.0,0.0
21,45,2MASS J05342792-0526346,K6e,1.0,H13,2.12,14.18,2.27,6.2449992943955035,,4020.0,-0.295,0.76,0.15,0.13,4.3,1.9,3.0,1.47,0.19,0.84,opt,H02,2.0,A,,Simbad,83.61637,-5.44296,1.258359951744864,0.5530627452944912,0.05568971782550209
22,584,2MASS J05342821-0526397,M5.5,1.0,H,0.11,15.6,3.62,11.024998294395504,,2840.0,-1.072,,,,,,,1.2,0.21,0.71,opt,R09,,N,b,Simbad,83.61754,-5.44436,1.2803822395929338,0.11715315042644218,0.05568971782550209
23,506,2MASS J05342896-0523481,M5,1.0,H13,,15.96,,,,2880.0,,,,,,,,,,2.99,opt,R09,3.0,,c,Simbad,83.6207,-5.39671,1.2472800448998131,0.0,0.0
24,595,2MASS J05342945-0523374,M5.5,1.0,H,0.0,15.73,,,,2840.0,,,,,,,,,,1.79,opt,R09,3.0,,c,Simbad,83.62272,-5.39374,1.114209865007602,0.0,0.0
25,574,2MASS J05342999-0525173,M6.25,1.0,H,0.0,15.22,3.58,10.714998294395505,,2762.5,-0.82,,,,,,,1.7,0.26,1.74,opt,R09,2.0,,b,Simbad,83.62497,-5.42149,1.1141612325280448,0.1295016073510662,0.05568971782550209
26,44,IS Ori,K5.5,1.0,H,3.01,13.69,2.55,5.144998294395505,,4080.0,0.113,0.78,0.17,0.18,1.3,0.5,0.8,2.28,0.31,8.66,opt,H02,2.0,,,Simbad,83.62603,-5.19672,1.1675131378174348,0.8278946584833516,0.05568971782550209
27,480,2MASS J05343048-0521560,M5.5,2.0,H13,0.29,16.25,3.24,11.114997294395502,,2840.0,-1.332,,,,,,,0.89,0.28,0.72,opt,R09,2.0,,b,Simbad,83.627,-5.36557,1.1821860567362388,0.11359594728160012,0.05568971782550209
28,126,V1435 Ori,M1,1.0,H,1.75,14.07,2.66,6.894998294395505,,3630.0,-0.361,0.41,0.06,0.1,1.7,0.4,1.3,1.67,0.23,0.9,opt,R09,2.0,N,,Simbad,83.62975,-5.36553,0.9155661798544692,0.45145670070129706,0.05568971782550209
29,286,2MASS J05343128-0528548,M4,1.0,H,0.23,13.54,3.0,8.224999294395504,,3160.0,-0.283,0.24,0.09,0.12,0.5,0.43,0.9,2.41,0.5,3.14,opt,H02,,,g,Simbad,83.63037,-5.48189,1.3559824176666595,0.3078526177315459,0.05568971782550209
30,174,V1975 Ori,M2,1.0,H,1.1,14.42,2.66,7.894998294395505,,3490.0,-0.587,0.35,0.07,0.07,2.5,0.7,1.2,1.39,0.19,5.29,opt,R09,2.0,,,Simbad,83.632,-5.47414,1.2547316652098008,0.3394283475719861,0.05568971782550209
31,79,2MASS J05343190-0526368,K8,1.0,H13,0.0,13.79,2.67,8.374998294395505,,3940.0,-0.028,0.62,0.05,0.08,1.3,0.3,0.7,2.08,0.25,0.67,opt,H02,3.0,,,Simbad,83.63292,-5.44356,1.0978662173985156,0.29318396999651525,0.05568971782550209
32,262,V1978 Ori,M3.5,1.0,H13,2.9,15.74,3.68,8.434998294395504,,3260.0,-0.665,0.26,0.1,0.09,2.3,1.4,1.2,1.46,0.27,0.85,opt,H02,2.0,,,Simbad,83.63342,-5.46184,1.2631357686232805,0.28721875699467886,0.05568971782550209
33,368,2MASS J05343357-0522087,M4.5,1.0,H13,0.0,15.22,2.54,9.674998294395506,,3020.0,-1.044,0.13,0.06,0.09,3.1,2.8,1.9,1.1,0.22,2.28,opt,H02,2.0,,,Simbad,83.63987,-5.36911,0.8955941278697566,0.1718016080487099,0.05568971782550209
34,316,2MASS J05343569-0529520,M4,1.0,H13,0.0,14.66,2.83,9.404998294395503,,3160.0,-0.837,0.21,0.09,0.11,2.8,2.3,1.7,1.27,0.27,4.78,opt,R09,3.0,N,,Simbad,83.64871,-5.49778,1.2345160596733984,0.1923658831684281,0.05568971782550209
