   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
       59    0.76000  1.14694006000E+07   1.72363   3.83552  11.55687 -30.00000   0.49976   0.00000  0.00000E+00  7.80410E-01  2.08600E-01  1.06400E-02     0.43740     0.56810     0.00000     0.00030    -0.00508  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3417380986
       60    0.76000  1.17154106000E+07   1.72362   3.83567  11.55656 -30.00000   0.49976   0.00000  0.00000E+00  7.77070E-01  2.11600E-01  1.10000E-02     0.43580     0.56990     0.00000     0.00030    -0.00533  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3490681233
       61    0.76000  1.19896806000E+07   1.72362   3.83586  11.55618 -30.00000   0.49976   0.00000  0.00000E+00  7.73310E-01  2.14900E-01  1.14100E-02     0.43410     0.57160     0.00000     0.00030    -0.00535  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3572401727
       62    0.76000  1.22615706000E+07   1.72360   3.83605  11.55579 -30.00000   0.49976   0.00000  0.00000E+00  7.69600E-01  2.18200E-01  1.18300E-02     0.43240     0.57340     0.00000     0.00030    -0.00535  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3653413085
       63    0.76000  1.25344106000E+07   1.72357   3.83625  11.55537 -30.00000   0.49976   0.00000  0.00000E+00  7.65480E-01  2.21900E-01  1.22800E-02     0.43050     0.57500     0.00000     0.00030    -0.00511  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3734707501
       64    0.76000  1.27804006000E+07   1.72355   3.83643  11.55501 -30.00000   0.49976   0.00000  0.00000E+00  7.61750E-01  2.25200E-01  1.27000E-02     0.42890     0.57660     0.00000     0.00030    -0.00508  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3808001789
       65    0.76000  1.30254406000E+07   1.72354   3.83658  11.55470 -30.00000   0.49976   0.00000  0.00000E+00  7.58470E-01  2.28100E-01  1.30900E-02     0.42730     0.57850     0.00000     0.00030    -0.00536  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3881013018
       66    0.76000  1.33016206000E+07   1.72352   3.83677  11.55431 -30.00000   0.49976   0.00000  0.00000E+00  7.54720E-01  2.31400E-01  1.35400E-02     0.42550     0.58030     0.00000     0.00030    -0.00537  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3963302609
       67    0.76000  1.35746806000E+07   1.72350   3.83697  11.55390 -30.00000   0.49976   0.00000  0.00000E+00  7.51040E-01  2.34600E-01  1.40000E-02     0.42370     0.58210     0.00000     0.00030    -0.00538  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4044662576
       68    0.76000  1.38487406000E+07   1.72346   3.83718  11.55347 -30.00000   0.49976   0.00000  0.00000E+00  7.46920E-01  2.38200E-01  1.44900E-02     0.42180     0.58370     0.00000     0.00030    -0.00512  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4126320499
       69    0.76000  1.40936606000E+07   1.72343   3.83735  11.55310 -30.00000   0.49976   0.00000  0.00000E+00  7.43220E-01  2.41500E-01  1.49400E-02     0.42020     0.58530     0.00000     0.00030    -0.00509  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4199295973
       70    0.76000  1.43376206000E+07   1.72342   3.83751  11.55278 -30.00000   0.49976   0.00000  0.00000E+00  7.39990E-01  2.44300E-01  1.53700E-02     0.41850     0.58730     0.00000     0.00030    -0.00547  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4271985410
       71    0.76000  1.46155306000E+07   1.72339   3.83771  11.55238 -30.00000   0.49976   0.00000  0.00000E+00  7.36360E-01  2.47400E-01  1.58500E-02     0.41670     0.58920     0.00000     0.00030    -0.00547  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4354790465
       72    0.76000  1.48964106000E+07   1.72336   3.83791  11.55195 -30.00000   0.49976   0.00000  0.00000E+00  7.32700E-01  2.50600E-01  1.63500E-02     0.41490     0.59100     0.00000     0.00030    -0.00546  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4438480450
       73    0.76000  1.51778106000E+07   1.72332   3.83813  11.55149 -30.00000   0.49976   0.00000  0.00000E+00  7.28480E-01  2.54200E-01  1.68900E-02     0.41290     0.59270     0.00000     0.00030    -0.00514  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4522325373
       74    0.76000  1.54219606000E+07   1.72328   3.83831  11.55112 -30.00000   0.49976   0.00000  0.00000E+00  7.24820E-01  2.57400E-01  1.73800E-02     0.41120     0.59440     0.00000     0.00030    -0.00511  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4595071421
       75    0.76000  1.56650906000E+07   1.72326   3.83846  11.55081 -30.00000   0.49976   0.00000  0.00000E+00  7.21740E-01  2.60100E-01  1.78200E-02     0.40950     0.59640     0.00000     0.00030    -0.00549  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4667513554
       76    0.76000  1.59537006000E+07   1.72324   3.83866  11.55039 -30.00000   0.49976   0.00000  0.00000E+00  7.18010E-01  2.63200E-01  1.83600E-02     0.40760     0.59830     0.00000     0.00030    -0.00545  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4753506742
       77    0.76000  1.62350806000E+07   1.72320   3.83886  11.54997 -30.00000   0.49976   0.00000  0.00000E+00  7.14350E-01  2.66400E-01  1.89000E-02     0.40570     0.60020     0.00000     0.00040    -0.00546  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4837345706
       78    0.76000  1.65145606000E+07   1.72315   3.83908  11.54951 -30.00000   0.49976   0.00000  0.00000E+00  7.10180E-01  2.69900E-01  1.94800E-02     0.40370     0.60190     0.00000     0.00040    -0.00515  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4920618553
       79    0.76000  1.67578706000E+07   1.72311   3.83925  11.54914 -30.00000   0.49976   0.00000  0.00000E+00  7.06540E-01  2.73100E-01  2.00000E-02     0.40190     0.60360     0.00000     0.00040    -0.00512  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.4993114318
       80    0.76000  1.70001406000E+07   1.72309   3.83940  11.54883 -30.00000   0.49976   0.00000  0.00000E+00  7.03470E-01  2.75700E-01  2.04800E-02     0.40030     0.60560     0.00000     0.00040    -0.00548  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.5065300208
       81    0.76000  1.72863906000E+07   1.72306   3.83960  11.54843 -30.00000   0.49976   0.00000  0.00000E+00  6.99770E-01  2.78800E-01  2.10600E-02     0.39830     0.60760     0.00000     0.00040    -0.00549  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.5150590219
       82    0.76000  1.75656706000E+07   1.72302   3.83979  11.54803 -30.00000   0.49976   0.00000  0.00000E+00  6.96190E-01  2.81800E-01  2.16200E-02     0.39640     0.60950     0.00000     0.00040    -0.00548  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.5233803475
